40-9901,http://tshop.r10s.jp/biccamera/cabinet/product/1872/00000003267676_a01.jpg?fitin=700:700,10013.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ－１３８,,<!-- -->■ちぎれにくく、クッション性に優れた衝撃吸収材です。<BR><BR>【用途】<BR>・工事現場や工場の危険防止に。<BR><BR>【仕様】<BR>色:オリーブドラブ、幅(mm):37、長さ(m):0.9、厚み(mm):9、質量(g):1000<BR>取付方法:貼付タイプ（両面テープ付属）<BR><BR>【材質/仕上】<BR>■ニトリルゴム（NBR）<BR><BR>【原産国】<BR>中国,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８,【送料無料】 トラスコ中山 ＴＲＵＳＣＯ 安心クッション Ｌ字型 小 １０本入り オリーブドラブ Ｔ１０ＡＣ&minus;１３８[rn]
40-9990,http://tshop.r10s.jp/biccamera/cabinet/product/1886/00000003273026_a01.jpg?fitin=700:700,1192.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ＴＲＵＳＣＯ ミニカッター アルミハンドルタイプ軽量 セーフティ孔付 ＧＷ－２００ＡＬ－Ａ,,<!-- -->■落下防止ロープ用のフック穴付です。<BR>■刃の開きを広げており、軽い力でも線材が切れます。<BR>■ハンドル部はアルミで超軽量（155g）です。<BR>■2mmの硬線が切れます。<BR><BR>【仕様】<BR>切断能力(mm)軟線:φ4、切断能力(mm)硬線:φ2、切断能力(mm)銅線:φ4、全長(mm):215<BR><BR>【材質/仕上】<BR>■スチール直刃<BR>■アルミハンドル<BR><BR>【原産国】<BR>日本,トラスコ中山 ＴＲＵＳＣＯ ミニカッター アルミハンドルタイプ軽量 セーフティ孔付 ＧＷ&minus;２００ＡＬ&minus;Ａ：ビックカメラ楽天市場店,トラスコ中山 ＴＲＵＳＣＯ ミニカッター アルミハンドルタイプ軽量 セーフティ孔付 ＧＷ&minus;２００ＡＬ&minus;Ａ,トラスコ中山 ＴＲＵＳＣＯ ミニカッター アルミハンドルタイプ軽量 セーフティ孔付 ＧＷ&minus;２００ＡＬ&minus;Ａ[rn]
40-9991,http://tshop.r10s.jp/biccamera/cabinet/product/1787/00000003191358_a01.jpg?fitin=700:700,1488.0000,,花・ガーデン・DIY > DIY・工具 > その他,アルスコーポレーション ファブリックラフト　500,,<!-- -->■刃がすべるようにひっかかりなく、生地をカットします■ハードクロムメッキです。<BR>■ソフトグリップです。<BR><BR>【用途】<BR>■布<BR><BR>【仕様】<BR>刃長(mm)：80、刃厚(mm)：2.9、全長(mm)：198、質量(g)：100<BR><BR>【材質/仕上】<BR>■刃部：高炭素刃物鋼■柄：ポリプロピレン(PP)<BR><BR>【原産国】<BR>日本,アルスコーポレーション ファブリックラフト　500：ビックカメラ楽天市場店,アルスコーポレーション ファブリックラフト　500,アルスコーポレーション ファブリックラフト　500[rn]
40-9992,http://tshop.r10s.jp/biccamera/cabinet/product/1863/00000003255856_a01.jpg?fitin=700:700,3611.2000,,花・ガーデン・DIY > DIY・工具 > その他,ミヅシマ工業 ミヅシマ マットエッジDX 5810050,,<!-- -->■壁際のマットのエンド部分をきれいに仕上げられます。<BR>■カットして接着するだけの簡単施工です。<BR>■ミヅシマ工業製のマット製品に使用可能です。<BR><BR>【用途】<BR>・施工用スロープ。<BR><BR>【仕様】<BR>色:ダークグレー、幅(mm):50、厚み(mm):21、長さ(mm):2000<BR>50ｍｍ×２ｍ×21ｍｍ<BR><BR>【材質/仕上】<BR>■特殊塩化ビニール<BR><BR>【注意】<BR>■切り売り不可<BR><BR>【原産国】<BR>日本,ミヅシマ工業 ミヅシマ マットエッジDX 5810050：ビックカメラ楽天市場店,ミヅシマ工業 ミヅシマ マットエッジDX 5810050,ミヅシマ工業 ミヅシマ マットエッジDX 5810050[rn]
40-9993,http://tshop.r10s.jp/biccamera/cabinet/product/1102/00000002015941_a01.jpg?fitin=700:700,2747.2000,,花・ガーデン・DIY > DIY・工具 > その他,ヘンケルジャパン スーパーフレックス　速硬化タイプ　ホワイト　300ml　1312042,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■2時間後には耐水性を持ちます。<BR><BR>【用途】<BR>・防水が必要で、かつ早急な稼動が必要な箇所に。<BR>・ポッティング、シーリングに。<BR><BR>【仕様】<BR>色：ホワイト、容量(ml)：300、質量(g)：410<BR>使用温度範囲：-34～121℃<BR><BR>【材質/仕上】<BR>■主成分：酢酸シリコーン<BR><BR>【原産国】<BR>アメリカ,ヘンケルジャパン スーパーフレックス　速硬化タイプ　ホワイト　300ml　1312042：ビックカメラ楽天市場店,ヘンケルジャパン スーパーフレックス　速硬化タイプ　ホワイト　300ml　1312042,AppStore/AndroidMarketでビック楽天を検索。ヘンケルジャパン スーパーフレックス　速硬化タイプ　ホワイト　300ml　1312042[rn]
40-9994,http://tshop.r10s.jp/biccamera/cabinet/product/1102/00000002016027_a01.jpg?fitin=700:700,611.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 大型カートリッジ専用ガン KGO,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■大型カートリッジ（850g・1kg）専用カートリッジガンです。<BR><BR>■使用後の先端からの液だれを少なくしたドリップレス仕様です。<BR><BR>【仕様】<BR>全長(mm)：405、全高(mm)：170、筒直径(mm)：73、質量(g)：780<BR>大型カートリッジ専用、適合コーキング剤：850g・1kg兼用<BR><BR>【材質/仕上】<BR>■スチール<BR><BR>【原産国】<BR>中国,トラスコ中山 大型カートリッジ専用ガン KGO：ビックカメラ楽天市場店,トラスコ中山 大型カートリッジ専用ガン KGO,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 大型カートリッジ専用ガン KGO[rn]
40-9995,http://tshop.r10s.jp/biccamera/cabinet/product/1102/00000002015898_a01.jpg?fitin=700:700,2574.4000,,花・ガーデン・DIY > DIY・工具 > その他,セメダイン EP007硬化剤 500g AP181,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■エポキシ樹脂系ではく離接着性、耐熱性に優れたタイプです。<BR><BR>【用途】<BR>・金属、ガラス、硬質プラスチックなどの接着。<BR>・電機・電子部品の接着<BR>・建築関係部材の接着<BR><BR>【仕様】<BR>色：淡褐色透明、容量(g)：500、硬化時間(分)：360、質量(g)：620<BR>硬化時間（23℃）：6時間、可使時間：1時間、2液混合型<BR><BR>【材質/仕上】<BR>■主成分：ポリアミドアミン<BR><BR>【注意】<BR>・この商品は、一般消費者様向けの製品ではない為、表示や取扱説明書などが一般消費者様向けに表記・同梱されておりません。<BR><BR>【原産国】<BR>日本,セメダイン EP007硬化剤 500g AP181：ビックカメラ楽天市場店,セメダイン EP007硬化剤 500g AP181,AppStore/AndroidMarketでビック楽天を検索。セメダイン EP007硬化剤 500g AP181[rn]
40-9996,http://tshop.r10s.jp/biccamera/cabinet/product/0624/00000001734944_a01.jpg?fitin=700:700,1710.4000,,花・ガーデン・DIY > DIY・工具 > その他,岩下エンジニアリング STDニ-ドル MN21G-13　12本入り　6300028,AppStore/AndroidMarketでビック楽天を検索,<!-- -->【用途】<BR>・S型バレル、ニードルアダプターに取り付けて使用します。<BR><BR>【仕様】<BR>内径(mm)：0.51、外径(mm)：0.81、針長(mm)：13、名称：MN21G-13、質量(g)：27<BR><BR>【材質/仕上】<BR>■針：ステンレス（SUS304）■針基：黄銅、Niメッキ<BR><BR>【原産国】<BR>日本,岩下エンジニアリング STDニ-ドル MN21G-13　12本入り　6300028：ビックカメラ楽天市場店,岩下エンジニアリング STDニ-ドル MN21G-13　12本入り　6300028,AppStore/AndroidMarketでビック楽天を検索。岩下エンジニアリング STDニ-ドル MN21G-13　12本入り　6300028[rn]
40-9997,http://tshop.r10s.jp/biccamera/cabinet/product/0629/00000001737033_a01.jpg?fitin=700:700,2574.4000,,花・ガーデン・DIY > DIY・工具 > その他,コニシ ボンド EセットM 1kgセット（箱）中粘度 M #45117 M BE1,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■耐水性、耐久性に優れた接着剤です。<BR><BR>【用途】<BR>・各種金属・タイル・陶磁器・ガラス・コンクリート・木材・硬質プラスチックなど硬質材の接着・充填。<BR><BR>【仕様】<BR>色：（主剤）淡黄色 （硬化剤）褐色、容量(g)：1000、粘度：中粘度、色(主剤/硬化剤)：淡黄色/褐色、質量(g)：1200<BR>硬化時間（23℃）：90分、2液混合型、使用温度範囲：-20～80℃、可使時間：80分<BR><BR>【材質/仕上】<BR>■主成分：エポキシ樹脂<BR><BR>【原産国】<BR>日本,コニシ ボンド EセットM 1kgセット（箱）中粘度 M #45117 M BE1：ビックカメラ楽天市場店,コニシ ボンド EセットM 1kgセット（箱）中粘度 M #45117 M BE1,AppStore/AndroidMarketでビック楽天を検索。コニシ ボンド EセットM 1kgセット（箱）中粘度 M #45117 M BE1[rn]
40-9998,http://tshop.r10s.jp/biccamera/cabinet/product/0471/00000001644501_a01.jpg?fitin=700:700,1451.2000,,花・ガーデン・DIY > DIY・工具 > その他,コニシ G103 1kg 44247,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■耐油性・耐可塑剤性に優れています。<BR><BR>■油にさらされる箇所への接着が可能です。<BR><BR>■日本接着剤工業会 JAIA 4VOC基準適合品です。<BR><BR>【用途】<BR>・軟質塩化ビニールの接着。<BR><BR>【仕様】<BR>色：黄褐色、容量(kg)：1.00、質量(kg)：1.2<BR><BR>【材質/仕上】<BR>■主成分：ニトリルゴム系<BR><BR>【原産国】<BR>日本,コニシ G103 1kg 44247：ビックカメラ楽天市場店,コニシ G103 1kg 44247,AppStore/AndroidMarketでビック楽天を検索。コニシ G103 1kg 44247[rn]
40-9999,http://tshop.r10s.jp/biccamera/cabinet/product/0624/00000001734946_a01.jpg?fitin=700:700,861.6000,,花・ガーデン・DIY > DIY・工具 > その他,岩下エンジニアリング プランジャー PP30S　10個入り　6203008,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■加圧時に独自のリップシール構造により、高粘度材料の高精度吐出に優れています。<BR><BR>【用途】<BR>・バレルと併せて使用。<BR>・空気圧でプランジャを押して材料の吐出に。<BR><BR>【仕様】<BR>名称：PP30S、材質：ポリエチレン、適合バレル：PS30S・50S、質量(g)：13<BR><BR>【原産国】<BR>日本,岩下エンジニアリング プランジャー PP30S　10個入り　6203008：ビックカメラ楽天市場店,岩下エンジニアリング プランジャー PP30S　10個入り　6203008,AppStore/AndroidMarketでビック楽天を検索。岩下エンジニアリング プランジャー PP30S　10個入り　6203008[rn]
40-10000,http://tshop.r10s.jp/biccamera/cabinet/product/0472/00000001644568_a01.jpg?fitin=700:700,2660.8000,,花・ガーデン・DIY > DIY・工具 > その他,ヘンケルジャパン ネジゆるみ止め接着剤　耐熱　2620　30g　262030,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ねじなどの金属部品の隙間に入り空気が遮断されると硬化する嫌気性接着剤です。<BR><BR>【用途】<BR>・ねじの緩み止め、シール。<BR><BR>【仕様】<BR>液色：赤、色：赤、容量(g)：30、質量(g)：30<BR>耐熱温度：310℃、ペースト状、推奨硬化促進剤：7649、嫌気性接着剤<BR><BR>【材質/仕上】<BR>■主成分：アクリル樹脂<BR><BR>【原産国】<BR>アメリカ,ヘンケルジャパン ネジゆるみ止め接着剤　耐熱　2620　30g　262030：ビックカメラ楽天市場店,ヘンケルジャパン ネジゆるみ止め接着剤　耐熱　2620　30g　262030,AppStore/AndroidMarketでビック楽天を検索。ヘンケルジャパン ネジゆるみ止め接着剤　耐熱　2620　30g　262030[rn]
