15-137101,http://tshop.r10s.jp/creer/cabinet/meltec/img60280159.jpg?fitin=700:700,1044.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ドライバー・レンチ > レンチ・スパナ,大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】,,"<center>
<font size=5><b>本日開催の<br>ポイントupイベントは<br>→→→ こちら ←←←</b></font>
<hr></center>
<br>


・大自工業のアルミホイール対応クロスレンチ、F-43です。
<BR>・特殊鋼製を採用した、クロスレンチです。


<BR><BR>
<font size=2>
<B>商品仕様</B>
<BR>材質:特殊鋼製
<BR>ソケットサイズ:薄型17・19・21・23 mm
<BR>重量:1.3kg
<BR>仕様:フェイスキャッチソケット採用


</font>",大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】：クレールオンラインショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得オーディオテクニカコムテックセルスターユピテルカーオーディオ車高調レーダー探知機デッドニング大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】,【カードOK!】。大自工業 Meltec F-43 クロスレンチ 【フェイスキャッチソケット採用!】[rn]
15-137173,http://tshop.r10s.jp/yminfo/cabinet/00076204/mnc-a05.jpg?fitin=700:700,1889.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）マイクロニッパー　125mmヨーロッパ仕様ツーコンポーネンツハンドルシリーズ　スプリング付MNC-A05,10万回以上切断可能。必要以上に開かないサイドストッパー機構。,"【ここがポイント！】 
● 10万回以上切断可能の耐摩耗性。長時間の仕様に耐える高周波焼入れとバナジウム添加の特殊合金を使用。銅線類・一般軟線が切断可能。 
● 形状・材質にこだわりフィット感を大切に開発したヨーロッパ仕様。しっかりと握れ、濡れてもすべらないヨーロッパメーカーのハンドルを使用。 
 
 
【商品仕様】 
サイズ 125mm 
A 129mm 
B 14mm 
C 53mm 
D 6.5mm 
E 23° 
重量 85g 
 
 
【切断能力】 
軟鉄線 φ1.6mm 
軟銅線 φ0.2～2",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）マイクロニッパー　125mmヨーロッパ仕様ツーコンポーネンツハンドルシリーズ　スプリング付MNC-A05：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）マイクロニッパー　125mmヨーロッパ仕様ツーコンポーネンツハンドルシリーズ　スプリング付MNC-A05,10万回以上切断可能。必要以上に開かないサイドストッパー機構。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）マイクロニッパー　125mmヨーロッパ仕様ツーコンポーネンツハンドルシリーズ　スプリング付MNC-A05[rn]
15-137174,http://tshop.r10s.jp/yminfo/cabinet/00076204/hn-d04.jpg?fitin=700:700,1760.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmスプリングは片側固定構造HN-D04,線材やプラスチックの切断に,"【ここがポイント！】 
● プロから初心者まで使えるプロホビーシリーズ。線材やプラスチックの切断に 
● スプリングは片側固定構造 
 
 
【商品仕様】 
サイズ 110mm 
A 108mm 
B 13.5mm 
C 50mm 
D 6mm 
E 15° 
重量 55g 
 
 
【切断能力】 
軟鉄線 φ1.0mm 
軟銅線 φ1.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmスプリングは片側固定構造HN-D04：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmスプリングは片側固定構造HN-D04,線材やプラスチックの切断に。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プロホビー　ニッパー　110mmスプリングは片側固定構造HN-D04[rn]
15-137175,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-717.jpg?fitin=700:700,2416.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　175mmPL-717,ジョイント部まで刃が付いている！プラスチック用！,"【ここがポイント！】 
● プラスチック専用のニッパーです。丸い刃面のスタンダードタイプ。開口を楽にするコイルスプリング付 
● ジョイント部まで刃がついていますので、切断物を刃元まで差し込んでも切断できます。 
 
 
【商品仕様】 
サイズ 175mm 
A 188mm 
B 25mm 
C 53mm 
D 12mm 
E 20° 
重量 215g 
 
 
【切断能力】 
ABS樹脂 φ6.0mm 
金属系 切断不可 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　175mmPL-717：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　175mmPL-717,ジョイント部まで刃が付いている！プラスチック用！。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー（刃部スタンダードアール）　175mmPL-717[rn]
15-137176,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-756.jpg?fitin=700:700,3459.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー45°タイプ（刃部フラット）　175mmPL-757,プラスチック専用,"【ここがポイント！】 
● プラスチック専用のニッパーです。平らな刃面のフラットタイプ。より角度のついた45°。開口を楽にするコイルスプリング付。 
● ジョイント部まで刃がついていますので、切断物を刃元まで差し込んでも切断できます。 
 
 
【商品仕様】 
サイズ 175mm 
A 175mm 
B 22.6mm 
C 51mm 
D 10mm 
E 45° 
重量 145g 
 
 
【切断能力】 
ABS樹脂 φ6.0mm 
金属系 切断不可 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー45&deg;タイプ（刃部フラット）　175mmPL-757：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー45&deg;タイプ（刃部フラット）　175mmPL-757,プラスチック専用。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）プラスチック用ニッパー45&deg;タイプ（刃部フラット）　175mmPL-757[rn]
15-137177,http://tshop.r10s.jp/yminfo/cabinet/00076204/et-225.jpg?fitin=700:700,1988.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　175mm硬鋼線・ピアノ線切断可能ET-226,ピアノ線も切断可能！,"【ここがポイント！】 
● 軟線・硬線の切断能力に優れた強力ニッパーとヨーロッパで古くから親しまれてきた形状の強力ニッパーですどちらも切断できます。 
● 握りやすい大型用のハンドル。ピアノ線も切断可能 
 
 
【商品仕様】 
サイズ 175mm 
A 173mm 
B 21mm 
C 53mm 
D 10mm 
E 15° 
重量 180g 
 
 
【切断能力】 
硬線（ピアノ線） φ1.8mm 
軟線 φ2.3mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　175mm硬鋼線・ピアノ線切断可能ET-226：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　175mm硬鋼線・ピアノ線切断可能ET-226,ピアノ線も切断可能！。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　175mm硬鋼線・ピアノ線切断可能ET-226[rn]
15-137178,http://tshop.r10s.jp/yminfo/cabinet/00076204/c-c08.jpg?fitin=700:700,1448.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（平刃）200mm硬線φ2.9、ピアノ線φ2.3までC-C08,硬線・ピアノ線も切断。極細線の切断には適しません,"【ここがポイント！】 
● ピアノ線も切断。耐久性NO.1。幅広い用途に使用可能な平刃タイプ。極細線の切断には適しません。 
 
 
【商品仕様】 
サイズ 200mm 
A 212mm 
B 40mm 
C 48mm 
D 16mm 
E - 
重量 280g 
 
 
【切断能力】 
硬線 φ2.9mm 
ピアノ線 φ2.3mm 
軟線 φ3.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（平刃）200mm硬線φ2.9、ピアノ線φ2.3までC-C08：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（平刃）200mm硬線φ2.9、ピアノ線φ2.3までC-C08,硬線・ピアノ線も切断。極細線の切断には適しません。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（平刃）200mm硬線φ2.9、ピアノ線φ2.3までC-C08[rn]
15-137179,http://tshop.r10s.jp/yminfo/cabinet/00076204/pl-736.jpg?fitin=700:700,2416.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）右用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736,右利き・プラスチック専用,"【ここがポイント！】 
● 人間工学を追求し理想的なエルゴノミックデザインコンセプトで開発されたプラスチック用のニッパーです。手首の角度を無理のない自然体に保ち作業時の疲労を軽減します。 
● プラスチック専用。丸い刃面のスタンダードタイプ。スプリング付。 
 
 
【商品仕様】 
サイズ 150mm 
A 154mm 
B 20.6mm 
C 53mm 
D 10.5mm 
E 15° 
重量 125g 
 
 
【切断能力】 
ABS樹脂 φ5.0mm 
金属系 切断不可 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）右用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）右用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736,右利き・プラスチック専用。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）右用　エルゴニッパー　プラスチック用（刃部スタンダードアール）　150mmPL-736[rn]
15-137180,http://tshop.r10s.jp/yminfo/cabinet/00076204/km-037.jpg?fitin=700:700,1699.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー　スプリング付　125mmKM-037,錆に強いステンレス製、軽さと剛性を両立。,"【ここがポイント！】 
● ステンレス製で軽さと剛性を両立。錆にも強い。ハンドルは握りやすいハード仕様。スプリング付。 
 
 
【商品仕様】 
サイズ 125mm 
A 128mm 
B 11mm 
C 45mm 
D 7mm 
E 20° 
重量 51g 
 
 
【切断能力】 
軟鉄線 φ0.2～0.9mm 
軟銅線 φ0.2～1.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー　スプリング付　125mmKM-037：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー　スプリング付　125mmKM-037,錆に強いステンレス製、軽さと剛性を両立。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー　スプリング付　125mmKM-037[rn]
15-137181,http://tshop.r10s.jp/yminfo/cabinet/00076204/n-205.jpg?fitin=700:700,1592.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）強力ニッパー　150mmN-206,硬線も切断できる強力型,"【ここがポイント！】 
● 線材を切断するための専門工具。軟線・硬線のどちらも切断できます。 
● 刃面にはビニールコード等の皮むき用の穴付。 
 
 
【商品仕様】 
サイズ 150mm 
A 163mm 
B 22mm 
C 51mm 
D 11mm 
E 15° 
重量 165g 
 
 
【切断能力】 
硬線 φ1.8mm 
軟線 φ2.3mm 
 
 <TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）強力ニッパー　150mmN-206：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）強力ニッパー　150mmN-206,硬線も切断できる強力型。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）強力ニッパー　150mmN-206[rn]
15-137182,,7984.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）光ファイバー専用カッターオフティックカッターI型用替刃ST-69T,替刃,"【ここがポイント！】 
● 光ファイバーケーブル専用カッターOC-569Tの替刃",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）光ファイバー専用カッターオフティックカッターI型用替刃ST-69T：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）光ファイバー専用カッターオフティックカッターI型用替刃ST-69T,替刃。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）光ファイバー専用カッターオフティックカッターI型用替刃ST-69T[rn]
15-137183,http://tshop.r10s.jp/yminfo/cabinet/00076204/km-017h.jpg?fitin=700:700,1478.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー）　スプリング付　125mmKM-017H,錆に強いステンレス製、軽さと剛性を両立。,"【ここがポイント！】 
● ステンレス製で軽さと剛性を両立。錆にも強い。ハンドルはソフトなビニール製。スプリング付。リードキャッチャー付 
 
 
【商品仕様】 
サイズ 125mm 
A 128mm 
B 11mm 
C 45mm 
D 7mm 
E 20° 
重量 36g 
 
 
【切断能力】 
軟鉄線 φ0.2～0.9mm 
軟銅線 φ0.2～1.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー）　スプリング付　125mmKM-017H：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー）　スプリング付　125mmKM-017H,錆に強いステンレス製、軽さと剛性を両立。。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ケイバ・ミニ（ステンレス製）　ニッパー（リードキャッチャー）　スプリング付　125mmKM-017H[rn]
15-137184,http://tshop.r10s.jp/yminfo/cabinet/00076204/et-225.jpg?fitin=700:700,1844.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　145mm硬鋼線・ピアノ線切断可能ET-225,ピアノ線も切断可能！,"【ここがポイント！】 
● 軟線・硬線の切断能力に優れた強力ニッパーとヨーロッパで古くから親しまれてきた形状の強力ニッパーですどちらも切断できます。 
● 握りやすい大型用のハンドル。ピアノ線も切断可能 
 
 
【商品仕様】 
サイズ 145mm 
A 146mm 
B 18mm 
C 53mm 
D 9mm 
E 15° 
重量 120g 
 
 
【切断能力】 
硬線（ピアノ線） φ1.6mm 
軟線 φ2.0mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　145mm硬鋼線・ピアノ線切断可能ET-225：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　145mm硬鋼線・ピアノ線切断可能ET-225,ピアノ線も切断可能！。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）ヨーロッパタイプ強力ニッパー　145mm硬鋼線・ピアノ線切断可能ET-225[rn]
15-137185,http://tshop.r10s.jp/yminfo/cabinet/00076204/sr-206.jpg?fitin=700:700,1760.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ニッパー　150mmSR-206,砲金サンドイッチ構造搭載で動きがなめらか,"【ここがポイント！】 
● 可動部の一部にに砲金を使用したスムースローテーション構造を搭載。強固な耐久性となめらかな可動！ 
● 滑りづらいエラストマーハンドル。 
 
 
【商品仕様】 
サイズ 150mm 
A 166mm 
B 22mm 
C 54mm 
D 11mm 
E 15° 
重量 165g 
 
 
【切断能力】 
硬線 φ1.8mm 
軟線 φ2.3mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ニッパー　150mmSR-206：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ニッパー　150mmSR-206,砲金サンドイッチ構造搭載で動きがなめらか。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スムース・ローテーション　ニッパー　150mmSR-206[rn]
15-137186,http://tshop.r10s.jp/yminfo/cabinet/00076204/c-c28.jpg?fitin=700:700,1616.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（喰切）200mm硬線φ2.9、ピアノ線φ2.3までC-C28,硬線・ピアノ線も切断。極細線の切断には適しません,"【ここがポイント！】 
● 力が伝わりやすい喰切タイプ。ピアノ線も切断。耐久性NO.1。幅広い用途に使用可能な平刃タイプ。極細線の切断には適しません。 
 
 
【商品仕様】 
サイズ 200mm 
A 210mm 
B 40mm 
C 48mm 
D 16mm 
E - 
重量 280g 
 
 
【切断能力】 
硬線 φ2.9mm 
ピアノ線 φ2.3mm 
軟線 φ3.2mm 
 
 
<TABLE border=0>

    <TR>
      <TD><IMG src=http://image.rakuten.co.jp/yminfo/cabinet/img55433813.jpg border=0></TD>
    </TR>
    <TR>
      <TD>
      <P><FONT size=-1>ペンチ</FONT></P>
      </TD>
    </TR>
    <TR>
      <TD><FONT size=-1>ニッパー</FONT></TD>
    </TR>
    <TR>
      <TD><FONT size=-1>作業工具</FONT></TD>
    </TR>

</TABLE>",和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（喰切）200mm硬線φ2.9、ピアノ線φ2.3までC-C28：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（喰切）200mm硬線φ2.9、ピアノ線φ2.3までC-C28,硬線・ピアノ線も切断。極細線の切断には適しません。和風総本家で紹介されたマルト長谷川工作所製【頑張って送料無料！】KEIBA（マルト長谷川）スモーククリッパー（喰切）200mm硬線φ2.9、ピアノ線φ2.3までC-C28[rn]
