15-187601,http://tshop.r10s.jp/bebike/cabinet/105/fc-5603.jpg?fitin=700:700,12053.6000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,FC-5603  シルバー  シマノ 105 クランクセット 50X39X30T トリプル用  自転車 bebike,【送料無料】,"特長   
HOLLOWTECHII クランクセット：剛性と軽量性を高い次元で両立 
高い回転性能：高精度ベアリングによりスムーズな回転性能 
ハイパードライブ対応：SG-X チェーンリング 
DUAL SIS 対応 
歯数構成：50-39-30T 
クランク長：165,170,172.5,175mm 
平均重量 922g(170mm) 
スペック   
ハイパードライブ Yes 
デュアルSIS対応 Yes 
チェーン対応 10スピードスーパーナローHG 
中空クランク HOLLOWTECH II 
強",FC-5603  シルバー  シマノ 105 クランクセット 50X39X30T トリプル用  自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイFC-5603  シルバー  シマノ 105 クランクセット 50X39X30T トリプル用  自転車 bebike,【送料無料】。FC-5603  シルバー  シマノ 105 クランクセット 50X39X30T トリプル用  自転車 bebike[rn]
15-187686,http://tshop.r10s.jp/bebike/cabinet/option15/0329330005.jpg?fitin=700:700,18240.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) クランク パワートルク 11s ブラック 172.5×36/52(FC17-PO262) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク,"カンパニョーロ(campagnolo) クランク パワートルク 11s ブラック 172.5×36/52(FC17-PO262) 自転車 ギアクランク<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0329330005.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0329330001-1.jpg"" width=""100%""></td>
  </tr>
</table>
<br>
●パフォーマンス4アームクランクセット：スーパーレコード、レコード、コーラスと同じ性能とエレガントな外観を身に着けながら、<br>
クランクアームを中空構造にして軽量化を施した理想的なアルミ製クランクセット。　<br>
●ユニバーサルBCD：新しい4アーム、8ボルトデザインを採用し、ひとつのクランクセットですべてのチェーンリングコンビネーションに対応します。<br>
50/34、52/36、53/39の歯数構成が選択でき、ボルトを外すだけで簡単に交換することができます。　<br>
●Newパワートルクプラス：パワートルクシステムの全ての機能（高い剛性とパワー伝達）を引き継ぎながら、<br>
左側クランクにインテグレーテッドエクストラクターを組み込み、パワートルクプラスとして生まれ変わりました。<br>
これによって取り外しは格段に容易になり、優れたメンテナンス性を確保しました。 
<br>
<br>
・重量：771g<br>
・鍛造アルミ製中空クランク<br>
・軽合金固定ボルト<br>
・軽合金チェーンリング<br>
・チェーンリングコンビネーションごとに異なるピンの数<br>
・パワートルクプラスアクスル<br>
・パワートルクBBカップが必要<br>
・統一されたBCD <br>",カンパニョーロ(campagnolo) クランク パワートルク 11s ブラック 172.5&times;36/52(FC17-PO262) 自転車 ギアクランク：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) クランク パワートルク 11s ブラック 172.5&times;36/52(FC17-PO262) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク。カンパニョーロ(campagnolo) クランク パワートルク 11s ブラック 172.5&times;36/52(FC17-PO262) 自転車 ギアクランク[rn]
15-187687,http://tshop.r10s.jp/bebike/cabinet/option15/0292600004.jpg?fitin=700:700,44800.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) COMP ONE オーバートルク 11s 172.5×39/53(FC14-CO1293) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク,"カンパニョーロ(campagnolo)  COMP ONE オーバートルク 11s 172.5x39/53(FC14-CO1293) 自転車 ギアクランク<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0292600004.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0292600004-1.jpg"" width=""100%""></td>
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0292600004-2.jpg"" width=""100%"">    </td>
  </tr>
</table>",カンパニョーロ(campagnolo) COMP ONE オーバートルク 11s 172.5&times;39/53(FC14-CO1293) 自転車 ギアクランク：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) COMP ONE オーバートルク 11s 172.5&times;39/53(FC14-CO1293) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク。カンパニョーロ(campagnolo) COMP ONE オーバートルク 11s 172.5&times;39/53(FC14-CO1293) 自転車 ギアクランク[rn]
15-187688,http://tshop.r10s.jp/bebike/cabinet/option3/nitto-ec01.jpg?fitin=700:700,720.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,日東 EC-01 バーエンドキャップ 左右ペア  シルバー  対応ハンドル内径：20mm NITTO　 日東  ロード  ピストバイク  bebike,日東 EC-01 バーエンドキャップ シルバー,"日東 EC-01 バーエンドキャップ 左右ペア 【シルバー】 対応ハンドル内径：20mm NITTO　【日東】【ロード】【ピストバイク】<br>

対応ハンドル内径：20mm
<br>重量：25g x 2<br>

<br>ハンドルを美しく引き立たせるアルミハンドルバーエンドキャップ<br>",日東 EC-01 バーエンドキャップ 左右ペア  シルバー  対応ハンドル内径：20mm NITTO　 日東  ロード  ピストバイク  bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイ日東 EC-01 バーエンドキャップ 左右ペア  シルバー  対応ハンドル内径：20mm NITTO　 日東  ロード  ピストバイク  bebike,日東 EC-01 バーエンドキャップ シルバー。日東 EC-01 バーエンドキャップ 左右ペア  シルバー  対応ハンドル内径：20mm NITTO　 日東  ロード  ピストバイク  bebike[rn]
15-187689,http://tshop.r10s.jp/bebike/cabinet/option9/0311120001.jpg?fitin=700:700,1900.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) SPARES スペアパーツ BR-SR500　ブレーキブロック BR-SR040ホルダー専用 4ｹセット(R1137191),カンパニョーロ(campagnolo)  SPARES,"カンパニョーロ(campagnolo) SPARES スペアパーツ BR-SR500　ブレーキブロック BR-SR040ホルダー専用 4ｹセット(R1137191)<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0311120001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0311120001-1.jpg"" width=""100%""></td>
  </tr>
</table>",カンパニョーロ(campagnolo) SPARES スペアパーツ BR-SR500　ブレーキブロック BR-SR040ホルダー専用 4ｹセット(R1137191)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) SPARES スペアパーツ BR-SR500　ブレーキブロック BR-SR040ホルダー専用 4ｹセット(R1137191),カンパニョーロ(campagnolo)  SPARES。カンパニョーロ(campagnolo) SPARES スペアパーツ BR-SR500　ブレーキブロック BR-SR040ホルダー専用 4ｹセット(R1137191)[rn]
15-187690,http://tshop.r10s.jp/bebike/cabinet/option9/0308070001.jpg?fitin=700:700,3200.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386,カンパニョーロ(campagnolo)  RECORD,"カンパニョーロ(campagnolo) RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0308070001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0308070001-1.jpg"" width=""100%""></td>
  </tr>
</table>",カンパニョーロ(campagnolo) RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386,カンパニョーロ(campagnolo)  RECORD。カンパニョーロ(campagnolo) RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386[rn]
15-187691,http://tshop.r10s.jp/bebike/cabinet/option9/0308120001.jpg?fitin=700:700,3200.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) SUPER RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386(RECORD),カンパニョーロ(campagnolo) SUPER RECORD,"カンパニョーロ(campagnolo) SUPER RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386(RECORD)<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0308120001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0308120001-1.jpg"" width=""100%""></td>
  </tr>
</table>",カンパニョーロ(campagnolo) SUPER RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386(RECORD)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) SUPER RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386(RECORD),カンパニョーロ(campagnolo) SUPER RECORD。カンパニョーロ(campagnolo) SUPER RECORD BBセット BBカップ BB386 ウルトラトルク(2015) IC15-UT386(RECORD)[rn]
15-187692,http://tshop.r10s.jp/bebike/cabinet/option9/0311150001.jpg?fitin=700:700,3274.4000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) SPARES スペアパーツ EC-SR600W レバーパッド ホワイト ウルトラシフト 2015～ (R1137199),カンパニョーロ(campagnolo)  SPARES,"カンパニョーロ(campagnolo) SPARES スペアパーツ EC-SR600W レバーパッド ホワイト ウルトラシフト 2015～ (R1137199)<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0311150001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0311150001-1.jpg"" width=""100%""></td>
  </tr>
</table>
<br>
・ウルトラシフト専用ラバーフード<br>
・色：白<br>",カンパニョーロ(campagnolo) SPARES スペアパーツ EC-SR600W レバーパッド ホワイト ウルトラシフト 2015～ (R1137199)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) SPARES スペアパーツ EC-SR600W レバーパッド ホワイト ウルトラシフト 2015～ (R1137199),カンパニョーロ(campagnolo)  SPARES。カンパニョーロ(campagnolo) SPARES スペアパーツ EC-SR600W レバーパッド ホワイト ウルトラシフト 2015～ (R1137199)[rn]
15-187693,http://tshop.r10s.jp/bebike/cabinet/option15/0329330012.jpg?fitin=700:700,18240.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) クランク パワートルク 11s シルバー 172.5×39/53(FC17-POS293) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク,"カンパニョーロ(campagnolo) クランク パワートルク 11s シルバー 172.5×39/53(FC17-POS293) 自転車 ギアクランク<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0329330012.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0329330007-1.jpg"" width=""100%""></td>
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0329330007-2.jpg"" width=""100%"">    </td>
  </tr>
</table>
<br>
●パフォーマンス4アームクランクセット：スーパーレコード、レコード、コーラスと同じ性能とエレガントな外観を身に着けながら、<br>
クランクアームを中空構造にして軽量化を施した理想的なアルミ製クランクセット。　<br>
●ユニバーサルBCD：新しい4アーム、8ボルトデザインを採用し、ひとつのクランクセットですべてのチェーンリングコンビネーションに対応します。<br>
50/34、52/36、53/39の歯数構成が選択でき、ボルトを外すだけで簡単に交換することができます。　<br>
●Newパワートルクプラス：パワートルクシステムの全ての機能（高い剛性とパワー伝達）を引き継ぎながら、<br>
左側クランクにインテグレーテッドエクストラクターを組み込み、パワートルクプラスとして生まれ変わりました。<br>
これによって取り外しは格段に容易になり、優れたメンテナンス性を確保しました。 
<br>
<br>
・重量：771g<br>
・鍛造アルミ製中空クランク<br>
・軽合金固定ボルト<br>
・軽合金チェーンリング<br>
・チェーンリングコンビネーションごとに異なるピンの数<br>
・パワートルクプラスアクスル<br>
・パワートルクBBカップが必要<br>
・統一されたBCD <br>",カンパニョーロ(campagnolo) クランク パワートルク 11s シルバー 172.5&times;39/53(FC17-POS293) 自転車 ギアクランク：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) クランク パワートルク 11s シルバー 172.5&times;39/53(FC17-POS293) 自転車 ギアクランク,カンパニョーロ(campagnolo) 自転車 ギアクランク。カンパニョーロ(campagnolo) クランク パワートルク 11s シルバー 172.5&times;39/53(FC17-POS293) 自転車 ギアクランク[rn]
15-187694,,18240.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) ATHENA ギアクランク（ロード） クランク パワートルク(2015) ブラック172.5x36/52(FC15-ATB262),カンパニョーロ(campagnolo)  ATHENA,,カンパニョーロ(campagnolo) ATHENA ギアクランク（ロード） クランク パワートルク(2015) ブラック172.5x36/52(FC15-ATB262)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) ATHENA ギアクランク（ロード） クランク パワートルク(2015) ブラック172.5x36/52(FC15-ATB262),カンパニョーロ(campagnolo)  ATHENA。カンパニョーロ(campagnolo) ATHENA ギアクランク（ロード） クランク パワートルク(2015) ブラック172.5x36/52(FC15-ATB262)[rn]
15-187695,http://tshop.r10s.jp/bebike/cabinet/option9/0223640001.jpg?fitin=700:700,5263.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) SPARES スペアパーツ CG-ER600/ケーブルセット ブラック(ウルトラシフト用) ブラック(R1137043),カンパニョーロ(campagnolo)  SPARES,"カンパニョーロ(campagnolo) SPARES スペアパーツ CG-ER600/ケーブルセット ブラック(ウルトラシフト用) ブラック(R1137043)<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0223640001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0223640001-1.jpg"" width=""100%""></td>
  </tr>
</table>
<br>
・ウルトラシフト、パワーシフト兼用シフト、ブレーキケーブルセット<br>
・カラー：ブラック<br>",カンパニョーロ(campagnolo) SPARES スペアパーツ CG-ER600/ケーブルセット ブラック(ウルトラシフト用) ブラック(R1137043)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) SPARES スペアパーツ CG-ER600/ケーブルセット ブラック(ウルトラシフト用) ブラック(R1137043),カンパニョーロ(campagnolo)  SPARES。カンパニョーロ(campagnolo) SPARES スペアパーツ CG-ER600/ケーブルセット ブラック(ウルトラシフト用) ブラック(R1137043)[rn]
15-187696,http://tshop.r10s.jp/bebike/cabinet/baner/noimage.jpg?fitin=700:700,17280.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) バーエンドシフトレバー 11S(2017)アルミ (119965) 自転車 シフター,カンパニョーロ(campagnolo) 自転車 シフター,"カンパニョーロ(campagnolo)  バーエンドシフトレバー 11S(2017)アルミ (119965) 自転車 シフター<br>
<br>",カンパニョーロ(campagnolo) バーエンドシフトレバー 11S(2017)アルミ (119965) 自転車 シフター：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) バーエンドシフトレバー 11S(2017)アルミ (119965) 自転車 シフター,カンパニョーロ(campagnolo) 自転車 シフター。カンパニョーロ(campagnolo) バーエンドシフトレバー 11S(2017)アルミ (119965) 自転車 シフター[rn]
15-187697,http://tshop.r10s.jp/bebike/cabinet/option15/0264780001.jpg?fitin=700:700,768.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) EPS ケーブルパワーキット(コンセント先端) US(JAPAN)AC12-CAUSEPS,カンパニョーロ(campagnolo),"カンパニョーロ(campagnolo)  EPS ケーブルパワーキット(コンセント先端) US(JAPAN)AC12-CAUSEPS <br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0264780001.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option15/0264780001-1.jpg"" width=""100%""></td>
  </tr>
</table>
<br>
・電子制御システム（EPS）専用ケーブルパワーキット<br>
・RECORD共用<br>",カンパニョーロ(campagnolo) EPS ケーブルパワーキット(コンセント先端) US(JAPAN)AC12-CAUSEPS：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) EPS ケーブルパワーキット(コンセント先端) US(JAPAN)AC12-CAUSEPS,カンパニョーロ(campagnolo) 。カンパニョーロ(campagnolo) EPS ケーブルパワーキット(コンセント先端) US(JAPAN)AC12-CAUSEPS[rn]
15-187698,http://tshop.r10s.jp/bebike/cabinet/option9/0302820004.jpg?fitin=700:700,69760.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,カンパニョーロ(campagnolo) SUPER RECORD ギアクランク（ロード） クランク ウルトラトルク Tiシャフト(2015) 172.5x34/50(FC15-SR240CT),カンパニョーロ(campagnolo) SUPER RECORD,"カンパニョーロ(campagnolo) SUPER RECORD ギアクランク（ロード） クランク ウルトラトルク Tiシャフト(2015) 172.5x34/50(FC15-SR240CT)<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0302820004.jpg"" width=""100%""><br>
<br>
<table width=""100%"" cellpadding=""5"" cellspacing=""3"">
  <tr> 
    <td width=""50%"" bgcolor=""#000000"" align=""center""><img src=""http://image.rakuten.co.jp/bebike/cabinet/option9/0302820004-1.jpg"" width=""100%""></td>
  </tr>
</table>
<br>
完全に再設計されたクランクセットは新鮮で最先端の外観だけではなく、剛性も大きく向上しました。<br>
このクランクセットには4アーム・スパイダー・デザインが採用され、ボルト・パターンを統一し、<br>
ひとつのクランク・アームで53/39、52/36、50/34のすべてのチェーンリングを取り付けることができます。<br>
<br>
・重量：603ｇ<br>
・ユニディレクション＆マルチディレクションフルカーボン製クランク<br>
・ホロークランク（ウルトラホロー構造）<br>
・軽合金固定ボルト＆ナット<br>
・変速性向上のために独自設計されたアルミ製チェーンリング<br>
・ハードアノダイズド処理チェーンリング<br>
・歯数構成によって異なる数のピン<br>
・CULTベアリング（セラミック・アルティメット・レベル・テクノロジー）<br>
・チタン製ウルトラトルクセミアクスル<br>
・スーパーレコードウルトラトルクBBカップが必要<br>",カンパニョーロ(campagnolo) SUPER RECORD ギアクランク（ロード） クランク ウルトラトルク Tiシャフト(2015) 172.5x34/50(FC15-SR240CT)：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイカンパニョーロ(campagnolo) SUPER RECORD ギアクランク（ロード） クランク ウルトラトルク Tiシャフト(2015) 172.5x34/50(FC15-SR240CT),カンパニョーロ(campagnolo) SUPER RECORD。カンパニョーロ(campagnolo) SUPER RECORD ギアクランク（ロード） クランク ウルトラトルク Tiシャフト(2015) 172.5x34/50(FC15-SR240CT)[rn]
15-187699,http://tshop.r10s.jp/bebike/cabinet/shimano3/y8aa98140-2.jpg?fitin=700:700,457.6000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,インナーリードユニット(90°)＆ブーツ(Y8AA98140) 自転車 bebike,Y8AA98140,インナーリードユニット(90°)＆ブーツ Y8AA98080 シマノ Vブレーキ,インナーリードユニット(90&deg;)＆ブーツ(Y8AA98140) 自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイインナーリードユニット(90&deg;)＆ブーツ(Y8AA98140) 自転車 bebike,Y8AA98140。インナーリードユニット(90&deg;)＆ブーツ(Y8AA98140) 自転車 bebike[rn]
15-187700,http://tshop.r10s.jp/bebike/cabinet/shimano7/y60198100.jpg?fitin=700:700,740.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用パーツ > その他,ROAD/MTB シフトインナーケーブル オプティスリック （φ1.2mm×2100mm/1本）(Y60198100) シマノ 補修パーツ  bebike,シフトインナーケーブル オプティスリック Y60198100,"ROAD/MTB シフトインナーケーブル オプティスリック 
（φ1.2mm×2100mm/1本）(Y60198100) シマノ 補修パーツ  bebike

<br>
<br>
<table width=""100%"" border=""5"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#FF0000"">
  <tr>
    <td align=""center""><b>在庫しておりませんので<br>
      返品、交換、キャンセルはできません。<br>
      <br>
          <FONT size=2>ご検討の上、ご注文をお願いいたします。<br>
          <br>
          お取り寄せにお時間を頂く場合が<br>
      ございますので、予めご了承下さい</FONT></b></td>
  </tr>
</table>
<br>
  <b><font size=""4"">弊社ではこの商品に関して詳しい説明はできません。<br>
  以下のリペアカタログでご確認ください。</font></b><br>
<br>
<table width=""100%"" border=""3"" cellpadding=""5"" cellspacing=""0"" bordercolor=""#330099"">
  <tr align=""center"" valign=""top"">
    <td><img src=""http://thumbnail.image.rakuten.co.jp/@0_mall/bebike/cabinet/shimano5/shimano6/r108rp1501x-1.jpg?_ex=350x350&s=2&r=1"" width=""100%"" border=""0""><br>
        <font size=""2"">シマノ リペアパーツカタログ　2015年(R108RP1501X) </font></td>
  </tr>
</table>
<p><br>
  <font size=""2"">詳しくは<br>
シマノセールス株式会社<br>
自転車お客様相談窓口<br>
072-243-2829<BR>
0570-0-31961（ナビダイヤル） <BR>
＜電話受付時間＞平日10時～12時、13時～17時<BR>
（土・日曜日、祝日及び弊社休業日を除く）</font><br>

</p>
<br>",ROAD/MTB シフトインナーケーブル オプティスリック （φ1.2mm&times;2100mm/1本）(Y60198100) シマノ 補修パーツ  bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイROAD/MTB シフトインナーケーブル オプティスリック （φ1.2mm&times;2100mm/1本）(Y60198100) シマノ 補修パーツ  bebike,シフトインナーケーブル オプティスリック Y60198100 。ROAD/MTB シフトインナーケーブル オプティスリック （φ1.2mm&times;2100mm/1本）(Y60198100) シマノ 補修パーツ  bebike[rn]
