19-20101,http://tshop.r10s.jp/voice/cabinet/stamp/md-07.jpg?fitin=700:700,2303.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　,"スクラップブッキングに最適な
「メメント」の<br>コンパクトタイプに１２色仲間入りしました<br>
こちらの新色１２色をまとめてお届け<BR>
201：モロッコ<BR>
302：ラブレター<BR>
507：エルダーベリー<BR>
602：ティールジール<BR>
607：ノーティカルブルー<BR>
706：ピスタチオ<BR>
708：オリーブグローブ<BR>
709：ノーザンパイン<BR>
802：ピーナッツブリトル<BR>
805：タフィークランチ<BR>
808：エスプレッソトリュフ<BR>
902：グレイフランネル<BR>
<BR>



サイズ：約縦50×横33×高さ20mm<br>
盤面サイズ：約24×39ｍｍ<br>
『メメント（MEMENTO）』（インク）の特徴<br>
透明感のある美しい発色が特徴の速乾性ダイイインクです。<br>
◎得にアート紙、コート紙などの光沢紙で、細かい図柄まで美しく発色します。<br>
◎普通紙の場合、乾きが早く、年賀状やスケジュールスタンプなど簡単に乾かしたい場合におすすめです。<br>
◎スタンプ以外にも、DTPに便利。エッジの着色をはじめ細かい塗り分けも簡単です。<br>
◎従来のダイインクに比べ、発色がより美しく、耐水性に優れています。<br>",ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】,　。ツキネコ　メメント　デュードロップ ≪追加新色12色セット≫ TSUKINEKO　MEMENTO　Dew　Drop　(201302507602607706708709802805808902)（速乾性スタンプインク） 【KCC】[rn]
19-20184,http://tshop.r10s.jp/voice/cabinet/bungu3/han-400s.jpg?fitin=700:700,229.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ヒノデワシ　はんけしくん＜ソフトタイプ＞（小）＜メール便指定OK＞,　【消しゴムはんこ】,"はがき1/４サイズが２個入っています。<br>
ソフトタイプ<BR>
ちいさな作品向き　消しゴムはんこ<BR>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
※メール便についてはこちらもご確認下さい",ヒノデワシ　はんけしくん＜ソフトタイプ＞（小）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ヒノデワシ　はんけしくん＜ソフトタイプ＞（小）＜メール便指定OK＞,　【消しゴムはんこ】。ヒノデワシ　はんけしくん＜ソフトタイプ＞（小）＜メール便指定OK＞[rn]
19-20185,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/s-q32.jpg?fitin=700:700,821.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,シャイニーハンディスタンプ【SQ-32（本体色レッド）印面：32×32ｍｍ】※配送360OK,簡単にポンと押せる！,"<p>特別仕様のはんけしくんを彫って<br>
印面サイズ32×32mmの、「シャイニースタンプ」に装着すると、オリジナルスタンプが作れます。<BR>
小さな本体にスタンプ台を内蔵しており、持ち運びに便利なコンパクトタイプになっています。<BR>
丸・角兼用です。<BR>
インクパッドはセットになっていますが、はんけしくんとインクは付属しておりません。<BR>
<BR>
サインや名刺、ハガキ、書類等に必要な時に気軽にスタンプできます。<BR>
<BR>
印面サイズ：約32×32ｍｍ<BR>
本体サイズ：約W45×H79×D20ｍｍ<BR>
<br>
  厚さ３ｍｍの特別仕様のはんけしくんはこちらから<br>
  <br>　メメントのインカーはこちらから<br>
  
  <br>
</p>
 <br>
  
  <img src=""http://image.rakuten.co.jp/voice/cabinet/icon/letter_p.jpg"" border=""0"">
  <br>
  レターパックの詳細はこちら<br>
<br>
<br>",シャイニーハンディスタンプ【SQ-32（本体色レッド）印面：32&times;32ｍｍ】※配送360OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨シャイニーハンディスタンプ【SQ-32（本体色レッド）印面：32&times;32ｍｍ】※配送360OK,簡単にポンと押せる！。シャイニーハンディスタンプ【SQ-32（本体色レッド）印面：32&times;32ｍｍ】※配送360OK[rn]
19-20186,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/s-722-sw.jpg?fitin=700:700,452.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,Shiny　HANDY　STAMPシャイニーハンディスタンプ【S-722（スケルトンホワイト）印面：38×14mm】※配送360OK,　,"<p>特別仕様のはんけしくんを彫って<br>
印面サイズ38×14mmの、「シャイニースタンプ」に装着すると、オリジナルスタンプが作れます。<BR>
小さな本体にスタンプ台を内蔵しており、持ち運びに便利なコンパクトタイプになっています。<BR>
丸・角兼用です。<BR>
インクパッドはセットになっていますが、はんけしくんとインクは付属しておりません。<BR>
<BR>
サインや名刺、ハガキ、書類等に必要な時に気軽にスタンプできます。<BR>
<BR>
印面サイズ：約38×14mm<BR>
本体サイズ：約W80×H28×D23ｍｍ<BR>
<br>
  厚さ３ｍｍの特別仕様のはんけしくんはこちらから<br>
  <br>　メメントのインカーはこちらから<br>
  
  <br>
</p>
 <br>
  
  <img src=""http://image.rakuten.co.jp/voice/cabinet/icon/letter_p.jpg"" border=""0"">
  <br>
  レターパックの詳細はこちら<br>
<br>
<br>",Shiny　HANDY　STAMPシャイニーハンディスタンプ【S-722（スケルトンホワイト）印面：38&times;14mm】※配送360OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨Shiny　HANDY　STAMPシャイニーハンディスタンプ【S-722（スケルトンホワイト）印面：38&times;14mm】※配送360OK,　。Shiny　HANDY　STAMPシャイニーハンディスタンプ【S-722（スケルトンホワイト）印面：38&times;14mm】※配送360OK[rn]
19-20187,http://tshop.r10s.jp/voice/cabinet/stamp2/hkl-200.jpg?fitin=700:700,172.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ヒノデワシ　はんけしくんカラコレ（小）ソフトタイプ　74×50ｍｍ　レモンピール＜メール便指定OK＞【IAZ5】,　【消しゴムはんこ】,"ゴムサイズ：74×50×11ｍｍ<BR>
彫りやすい日本製<BR>
<BR>
消しゴム自体に色がついて作品個性が出やすく、
プレゼントやコレクションとして華やかに<BR>
<BR>
ちいさな作品向き<br>
消しゴムはんこ<br>
※粉のかたまりはキズではありません。<BR>
表面に粉が固まっている場合がございます。<BR>
粉を拭き取ってからご使用ください。<BR>
<BR>
<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",ヒノデワシ　はんけしくんカラコレ（小）ソフトタイプ　74&times;50ｍｍ　レモンピール＜メール便指定OK＞【IAZ5】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ヒノデワシ　はんけしくんカラコレ（小）ソフトタイプ　74&times;50ｍｍ　レモンピール＜メール便指定OK＞【IAZ5】,　【消しゴムはんこ】。ヒノデワシ　はんけしくんカラコレ（小）ソフトタイプ　74&times;50ｍｍ　レモンピール＜メール便指定OK＞【IAZ5】[rn]
19-20188,http://tshop.r10s.jp/voice/cabinet/stamp/hbo-400_1.jpg?fitin=700:700,275.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ヒノデワシ　はんけしくんカラコレ（小）　ｙｕｋｉバージョン（トマト＆クリーム）＜メール便指定OK＞,　【消しゴムはんこ】,"レッドとクリームの2色セットの小さなはんけしくんです<br>
彫りやすい！<br>
捺しやすい！<br>
長持ち！<br>
日本製！<br>
<br>
５ｘ５ｃｍサイズが２個入っています。　<br>
ハードタイプ<br>
トレーシングペーパー入り<br>
作家さんのオリジナル図案付<br>
ちいさな作品向き<br>
消しゴムはんこ<br>
※粉のかたまりはキズではありません。<BR>
表面に粉が固まっている場合がございます。<BR>
粉を拭き取ってからご使用ください。<BR>
<BR>
ハードタイプのイエローとブラウンはこちら<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら
<br>
<br>",ヒノデワシ　はんけしくんカラコレ（小）　ｙｕｋｉバージョン（トマト＆クリーム）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ヒノデワシ　はんけしくんカラコレ（小）　ｙｕｋｉバージョン（トマト＆クリーム）＜メール便指定OK＞,　【消しゴムはんこ】。ヒノデワシ　はんけしくんカラコレ（小）　ｙｕｋｉバージョン（トマト＆クリーム）＜メール便指定OK＞[rn]
19-20189,http://tshop.r10s.jp/voice/cabinet/stamp/shine_ink_brown.jpg?fitin=700:700,257.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,シャイニー専用補充インク　ブラウン　（ぱたんぽんpataｎpon）,　,"シャイニー専用補充インクです。<br>
連続で押せる消しゴムはんこのぱたぽんの
補充インクとして使用できます。<br>",シャイニー専用補充インク　ブラウン　（ぱたんぽんpataｎpon）：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨シャイニー専用補充インク　ブラウン　（ぱたんぽんpataｎpon）,　。シャイニー専用補充インク　ブラウン　（ぱたんぽんpataｎpon）[rn]
19-20190,http://tshop.r10s.jp/voice/cabinet/bungu3/han-600h.jpg?fitin=700:700,336.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ヒノデワシ　はんけしくん　＜ハードタイプ＞　ハガキサイズ【消しゴムはんこ】　＜メール便指定ＯＫ＞,はんけしくんにハードタイプが仲間入り,"はんけしくんにハードタイプが登場<BR>

はがきサイズ、手作りはんこのための消しゴムです<br>
※パンチとの同梱の場合はメール便でお届けできないので<br>
通常宅配料金となります<br><font size=""3"" color=""#FF6600""><br>
★色工房voice人気商品 消しゴムはんこ</font>",ヒノデワシ　はんけしくん　＜ハードタイプ＞　ハガキサイズ【消しゴムはんこ】　＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ヒノデワシ　はんけしくん　＜ハードタイプ＞　ハガキサイズ【消しゴムはんこ】　＜メール便指定ＯＫ＞,はんけしくんにハードタイプが仲間入り。ヒノデワシ　はんけしくん　＜ハードタイプ＞　ハガキサイズ【消しゴムはんこ】　＜メール便指定ＯＫ＞[rn]
19-20191,http://tshop.r10s.jp/voice/cabinet/bungu3/han-600s.jpg?fitin=700:700,336.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ヒノデワシ　はんけしくん　＜ソフトタイプ＞　ハガキサイズ【消しゴムはんこ】＜メール便指定OK＞,消しゴムはんこのロングランブランド,"※従来品（HAN-600）の後継品となります<BR>

はがきサイズ、手作りはんこのための消しゴムです<br>
※パンチとの同梱の場合はメール便でお届けできないので<br>
通常宅配料金となります<br><font size=""3"" color=""#FF6600""><br>
★色工房voice人気商品 消しゴムはんこ</font>",ヒノデワシ　はんけしくん　＜ソフトタイプ＞　ハガキサイズ【消しゴムはんこ】＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ヒノデワシ　はんけしくん　＜ソフトタイプ＞　ハガキサイズ【消しゴムはんこ】＜メール便指定OK＞,消しゴムはんこのロングランブランド。ヒノデワシ　はんけしくん　＜ソフトタイプ＞　ハガキサイズ【消しゴムはんこ】＜メール便指定OK＞[rn]
19-20192,http://tshop.r10s.jp/voice/cabinet/carlpunch/639129_01.jpg?fitin=700:700,468.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,カール クラフトパンチ＜ペタル８＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,,"スクラップブッキングやペーパークラフトなど<br>
クラフトパンチを使って、デコレーション。<br>
手作りカードにもおすすめ！<br>
■直径約25mm<br>
■本体サイズ　Ｌ53×Ｗ45×Ｈ45 mm<br>
■適正用紙厚：コピー用紙2枚程度<br>
四六判　120kg程度<br>
お伝えしたいこと<br>
こちらのクラフトパンチは紙専用です。<br>
コピー用紙２枚程度が最適です。<br>
薄い紙の場合は、1枚はさむときれいにパンチできます。<br>
厚い紙は詰まる原因になりますので、お気をつけください。",カール クラフトパンチ＜ペタル８＞ミドルサイズ CP-2　カーラクラフト　Carlacraft：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨カール クラフトパンチ＜ペタル８＞ミドルサイズ CP-2　カーラクラフト　Carlacraft,カール クラフトパンチ＜ペタル８＞ミドルサイズ CP-2　カーラクラフト　Carlacraft[rn]
19-20193,http://tshop.r10s.jp/voice/cabinet/bungu4/31394-1.jpg?fitin=700:700,171.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,【お取り寄せ】PIオリジナル　ペーパーパーツ　「レッドローズ　１２P」※メール便対応,　,"紙製の、ちいさなペーパーパーツ<br>
12P入り<br>
直径約17mm　厚さ約5mm<br>
<br>
※アシッドフリーについては未確認です<br>
<font color=""red"">
※お取り寄せ商品です。<br>
　万一品切れの際はご容赦ください<br>
　クラスでお使いのご予定がある場合は<br>
　必ず事前に在庫をお問い合わせ願います</font>",【お取り寄せ】PIオリジナル　ペーパーパーツ　「レッドローズ　１２P」※メール便対応：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【お取り寄せ】PIオリジナル　ペーパーパーツ　「レッドローズ　１２P」※メール便対応,　。【お取り寄せ】PIオリジナル　ペーパーパーツ　「レッドローズ　１２P」※メール便対応[rn]
19-20194,http://tshop.r10s.jp/voice/cabinet/stamp2/ko902.jpg?fitin=700:700,206.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,クレタケ　浸透いろは印,　,絵手紙などの作品の仕上げにぴったりの可愛い文字　スタンプ台不要　速乾タイプ油性顔料インク採用の「いろは印」です　捺印回数　約1000回　本体サイズ：15×15×45mm 印面サイズ：8×8mm　インク色：深紅　※インクの補充はできません,クレタケ　浸透いろは印：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クレタケ　浸透いろは印,　。クレタケ　浸透いろは印[rn]
19-20195,http://tshop.r10s.jp/voice/cabinet/stamp/gd-401.jpg?fitin=700:700,666.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　「バーサマジック」　デュードロップ 4個セット＜プリティパステル＞　（スタンプインク）　配送360OK,　,"スクラップブッキングに最適なインク「バーサマジック」のお手軽サイズです<br>
速乾性なので、エンボス加工には不向きですが、コート紙、ヴェラム、写真、テラコッタにも捺印できます。<br>
パステル調のマットな効果が得られます<br>

本体１個あたりのサイズ：縦50×横33×高さ22mm<br>",ツキネコ　「バーサマジック」　デュードロップ 4個セット＜プリティパステル＞　（スタンプインク）　配送360OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　「バーサマジック」　デュードロップ 4個セット＜プリティパステル＞　（スタンプインク）　配送360OK,　。ツキネコ　「バーサマジック」　デュードロップ 4個セット＜プリティパステル＞　（スタンプインク）　配送360OK[rn]
19-20196,http://tshop.r10s.jp/voice/cabinet/stamp2/0432-030_1.jpg?fitin=700:700,259.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ポストスタンプC 「Congratulations!」こどものかお  （おめでとう）＜メール便指定OK＞,　,"本体サイズ：60×33×25ｍｍ<BR>
文字部分のサイズ：縦8×横45ｍｍ<br>

素材：メープル<BR>
スクラップブッキングやカードメイキングに<BR>

 <img src=""http://image.rakuten.co.jp/voice/cabinet/icon/mail_160.jpg"" border=""0""> <br>
メール便の詳細はこちら",ポストスタンプC 「Congratulations!」こどものかお  （おめでとう）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ポストスタンプC 「Congratulations!」こどものかお  （おめでとう）＜メール便指定OK＞,　。ポストスタンプC 「Congratulations!」こどものかお  （おめでとう）＜メール便指定OK＞[rn]
19-20197,http://tshop.r10s.jp/voice/cabinet/506810-r1.jpg?fitin=700:700,309.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツキネコ　スタンプクリーナー　（ステイズオン以外にお使いいただけます）※宅配便でお届け,スタンプ印面のインクをきれいにする！,"<font color=""red"">※メール便不可<BR>
宅配便のみになります。<BR></font><BR>

印面のインクの汚れを手早く簡単に落とします。
染料系、顔料系、布用スタンプインクに適します。
もちろんエンボスインクにもＯＫ。
ただし、ステイズオンにはお使いいただけません。
内容量：５６ml入り（液体）
<br>
<font color=""red"">※離島へのお届けは発送から１週間ほどかかる場合があります。</font><BR>",ツキネコ　スタンプクリーナー　（ステイズオン以外にお使いいただけます）※宅配便でお届け：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ツキネコ　スタンプクリーナー　（ステイズオン以外にお使いいただけます）※宅配便でお届け,スタンプ印面のインクをきれいにする！。ツキネコ　スタンプクリーナー　（ステイズオン以外にお使いいただけます）※宅配便でお届け[rn]
19-20198,http://tshop.r10s.jp/voice/cabinet/stamp/5139-29.jpg?fitin=700:700,300.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スタンプトッピングラメM　＜パステルレモン＞消しゴムはんこやスクラップブッキングに,　,"使い方：のりをつけた上にラメをふりかけ、乾かします。<BR>
（のりはピットマルチや、おやっとのりボールペンタイプを御使いください）<BR>
ご注意：口に入れたり、眼につけたり、吸い込まないで下さい。<BR>
小さなお子様の手の届かない所に保管してください。<BR>
成分：ポリエステルフィルム<BR>
アクリルコーポリマー<BR>
サーモセットコーティング<BR>
正味量：１２ｍｌ<BR>",スタンプトッピングラメM　＜パステルレモン＞消しゴムはんこやスクラップブッキングに：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプトッピングラメM　＜パステルレモン＞消しゴムはんこやスクラップブッキングに,　。スタンプトッピングラメM　＜パステルレモン＞消しゴムはんこやスクラップブッキングに[rn]
19-20199,http://tshop.r10s.jp/voice/cabinet/stamp/5139-31.jpg?fitin=700:700,300.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スタンプトッピングラメM　＜パステルピンク＞消しゴムはんこやスクラップブッキングに,　,"使い方：のりをつけた上にラメをふりかけ、乾かします。<BR>
（のりはピットマルチや、おやっとのりボールペンタイプを御使いください）<BR>
ご注意：口に入れたり、眼につけたり、吸い込まないで下さい。<BR>
小さなお子様の手の届かない所に保管してください。<BR>
成分：ポリエステルフィルム<BR>
アクリルコーポリマー<BR>
サーモセットコーティング<BR>
正味量：１２ｍｌ<BR>",スタンプトッピングラメM　＜パステルピンク＞消しゴムはんこやスクラップブッキングに：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプトッピングラメM　＜パステルピンク＞消しゴムはんこやスクラップブッキングに,　。スタンプトッピングラメM　＜パステルピンク＞消しゴムはんこやスクラップブッキングに[rn]
19-20200,http://tshop.r10s.jp/voice/cabinet/stamp/5139-32.jpg?fitin=700:700,300.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,スタンプトッピングラメM　＜パステルブルー＞消しゴムはんこやスクラップブッキングに,　,"使い方：のりをつけた上にラメをふりかけ、乾かします。<BR>
（のりはピットマルチや、おやっとのりボールペンタイプを御使いください）<BR>
ご注意：口に入れたり、眼につけたり、吸い込まないで下さい。<BR>
小さなお子様の手の届かない所に保管してください。<BR>
成分：ポリエステルフィルム<BR>
アクリルコーポリマー<BR>
サーモセットコーティング<BR>
正味量：１２ｍｌ<BR>",スタンプトッピングラメM　＜パステルブルー＞消しゴムはんこやスクラップブッキングに：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプトッピングラメM　＜パステルブルー＞消しゴムはんこやスクラップブッキングに,　。スタンプトッピングラメM　＜パステルブルー＞消しゴムはんこやスクラップブッキングに[rn]
