10-106801,http://tshop.r10s.jp/pinkmonkey/cabinet/handmade04/hm-23-17-02.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,シリコン製レジン型(シリコンモールド シリコン型)長方形（大） / しかく 四角 【クロネコDM便対応】,シリコン製の透明で柔らかいソフトモールド。,"<center>

<img src=""http://image.rakuten.co.jp/pinkmonkey/cabinet/banner/maila-ok.jpg"" width=""90%"" border=""0""></center>
<hr><font color=""ff0000"">※ご購入前に必ずお読みください</font><br>
＞＞ メール便についてはこちら<br>
<hr>
<br><br>
鏡面仕上げ <br>
（鏡面とは 出来上がりは曇らない、磨く作業が要らないつるつる状態です。）<br> 
高品質のシリコン液を使用しているので柔らかいシリコンモチーフ製品です。 <br>
ただし、シリコンモチーフは使用する回数と時間によって、劣化していくことを 
ご了承ください。<br>
■商品名 シリコン製 レジン型 長方形（大）<br>
■完成品サイズ(約）117×77×7mm<br>
■セット内容 ×1<br>
■備考 <br>
※パソコンの環境状況により、実際のお色と異なる場合がございます。 <br>
多少のほこりが付着していますが、マスキングテープで簡単にとれます。<br>
上記内容をご了承の上ご注文頂けますようよろしくお願いいたします。<br>
■関連商品 <br>
正方形（大）/
楕円形（大）/
円形（大）
<br><br>
<center><img src="" http://image.rakuten.co.jp/pinkmonkey/cabinet/category/resin_siricon-760.jpg"" border=""0"" width=""90%""></center><br><br>

<center><img src=""http://image.rakuten.co.jp/pinkmonkey/cabinet/category/rejin_kanren-760.jpg"" border=""0"" width=""90%""></center>",シリコン製レジン型(シリコンモールド シリコン型)長方形（大） / しかく 四角 【クロネコDM便対応】：手芸材料のお店 アンシャンテ工房,革紐 通販レジン 材料レジン 型レジン パーツハンドメイド 材料 販売ハンドメイド アクセサリー 材料ハンドメイド 材料 激安ハンドメイド ピアス 材料ハンドメイド ブレスレット 材料カルトナージュ 材料 通販シリコンモールド レジン革紐  本革革紐 細いレザーコード 1mmレザーコード 平アクセサリー パーツ 通販 おすすめアクセサリー 金具ピアス 台紙ピアス ディスプレイレジン 封入 素材シリコン製レジン型(シリコンモールド シリコン型)長方形（大） / しかく 四角 【クロネコDM便対応】,シリコン製の透明で柔らかいソフトモールド。。シリコン製レジン型(シリコンモールド シリコン型)長方形（大） / しかく 四角 【クロネコDM便対応】[rn]
10-106879,http://tshop.r10s.jp/takemiya/cabinet/kit/img60733016.jpg?fitin=700:700,224.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.26,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.26：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.26,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.26[rn]
10-106880,http://tshop.r10s.jp/takemiya/cabinet/kit/img60733015.jpg?fitin=700:700,120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.25,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.25：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.25,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.25[rn]
10-106881,http://tshop.r10s.jp/takemiya/cabinet/kit/img60733014.jpg?fitin=700:700,224.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.24,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.24：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.24,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.24[rn]
10-106882,http://tshop.r10s.jp/takemiya/cabinet/kit/img60733013.jpg?fitin=700:700,120.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.23,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.23：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.23,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.23[rn]
10-106883,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732310.jpg?fitin=700:700,544.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.18,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.18：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.18,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.18[rn]
10-106884,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732308.jpg?fitin=700:700,440.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.17,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.17：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.17,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.17[rn]
10-106885,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732295.jpg?fitin=700:700,544.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.16,8月日17新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.16：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.16,8月日17新入荷!!。◎ＵＶクラフトレジン　フレームNO.16[rn]
10-106886,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732399.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.20,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.20：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.20,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.20[rn]
10-106887,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732293.jpg?fitin=700:700,440.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.15,6月15日再入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.15：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.15,6月15日再入荷!!。◎ＵＶクラフトレジン　フレームNO.15[rn]
10-106888,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732396.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.18,5月25日再入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.18：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.18,5月25日再入荷!!。◎ＵＶクラフトレジン　チャームNO.18[rn]
10-106889,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732394.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.17,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.17：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.17,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.17[rn]
10-106890,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732262.jpg?fitin=700:700,464.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.14,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.14：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.14,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.14[rn]
10-106891,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732181.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.8,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.8：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.8,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.8[rn]
10-106892,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732260.jpg?fitin=700:700,384.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.13,10月31日再入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.13：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.13,10月31日再入荷!!。◎ＵＶクラフトレジン　フレームNO.13[rn]
10-106893,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732347.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.16,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.16：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.16,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.16[rn]
10-106894,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732179.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.7,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.7：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.7,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.7[rn]
10-106895,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732167.jpg?fitin=700:700,224.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.5,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.5：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.5,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.5[rn]
10-106896,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732348.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.15,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.15：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.15,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.15[rn]
10-106897,http://tshop.r10s.jp/takemiya/cabinet/attachment/img62300009.jpg?fitin=700:700,304.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】,UVクラフトレジンと相性の良いアクリルパーツ。,"☆6月23日新入荷☆<br><br>

UVレジン液の透明感が表現できるアクリルフレームパーツです。<br>
UVレジン液を注入してオリジナルパーツが製作できます。<br>
アイデア次第で組み合わせるデザインは無限大?!
<br>
他にも色々なパーツやフレーム等もありますよ(゜∇^*)<br><br>



サイズ　＊()は内側のサイズ<br>
【RCA-08:ラウンドレース】直径約4cm (2.9cm)<br>
【RCA-09:オーバルレース】約4.8cm×4.1cm(3.2cm×2.5cm)<br>
【RCA-10:切手】約4.5cm×3.9cm(3.4cm×2.7cm)<br>

<br>",◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】,UVクラフトレジンと相性の良いアクリルパーツ。。◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】[rn]
10-106898,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732344.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　チャームNO.14,8月17日新入荷!!,"UVレジンクラフトのパーツとなる『チャーム』です<br>
フレームの中に封入したり、完成したレジンフレーム
と組み合わせて使用します。<br>
色々な物を組み合わせて、アナタだけのアクセサリーを作ってみてはいかがですか？<br>
☆^(o≧▽゜)o<br><br>
<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　チャームNO.14：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　チャームNO.14,8月17日新入荷!!。◎ＵＶクラフトレジン　チャームNO.14[rn]
10-106899,http://tshop.r10s.jp/takemiya/cabinet/attachment/img62300009.jpg?fitin=700:700,280.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】,UVクラフトレジンと相性の良いアクリルパーツ。,"☆6月23日新入荷☆<br><br>

UVレジン液の透明感が表現できるアクリルフレームパーツです。<br>
UVレジン液を注入してオリジナルパーツが製作できます。<br>
アイデア次第で組み合わせるデザインは無限大?!
<br>
他にも色々なパーツやフレーム等もありますよ(゜∇^*)<br><br>



サイズ<br>
【RCA-06:エッフェル塔】約4.3cm×3.1cm<br>
【RCA-07:ラウンドキー】約4cm×3.1cm<br>
<br>",◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】,UVクラフトレジンと相性の良いアクリルパーツ。。◎ＵＶクラフトレジン　アクリルパーツ【ゆうメール対応しています】【紫外線硬化樹脂液　レジン液　オリジナルアクセサリー】[rn]
10-106900,http://tshop.r10s.jp/takemiya/cabinet/kit/img60732165.jpg?fitin=700:700,304.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > アクセサリークラフト材料 > 金具,◎ＵＶクラフトレジン　フレームNO.4,8月17日新入荷!!,"UVレジンクラフトの土台となる『フレーム』です<br>
可愛いものだったり、カッコいいものだったり、<br>
色々な形があり、作る楽しさ無限大です<br>
<br>
【クラフト】【アクセサリー】【フレーム】<br />
【メール便対応しております】",◎ＵＶクラフトレジン　フレームNO.4：手芸・生地のたけみや,麻リネンガーゼチェックブラックウォッチエチノパターン綿布生地echino綿麻Wガーゼ通販北欧手芸洋裁ウール入園入学秋冬◎ＵＶクラフトレジン　フレームNO.4,8月17日新入荷!!。◎ＵＶクラフトレジン　フレームNO.4[rn]
