10-20901,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614845.jpg?fitin=700:700,13215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●逆火を軽減するノバック構造を採用しています。<br>●（社）日本溶接協会認定品です。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1[rn]
10-20989,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005204014.jpg?fitin=700:700,1176.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　黄【SK-110-Y】(3704351) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電源パイロットランプ付トリプルコンセント付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　黄【SK-110-Y】(3704351) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　黄【SK-110-Y】(3704351) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ＳＫ延長コード　単相１００Ｖ　１０ｍ　黄【SK-110-Y】(3704351) 受注単位1[rn]
10-20990,,6880.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＣＭ社/ＣＭ チェーンスリング【HL 5/8】(7846657) ＣＭ ハマーロック ＨＬ 5／8 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●チェーンと各種金具との接続用として。<br>
●基本使用荷重(t):7.5<br>
●破断荷重(kN):382<br>
●適合チェーン線径(mm):15.9<br>
●寸法(mm)A:20.6<br>
●寸法(mm)B:103.2<br>
●寸法(mm)C:38.1<br>
●寸法(mm)F:24.5<br>
●特殊合金鋼",■〒ＣＭ社/ＣＭ チェーンスリング【HL 5/8】(7846657) ＣＭ ハマーロック ＨＬ 5／8 発注単位1：クローバー資材館,■〒ＣＭ社/ＣＭ チェーンスリング【HL 5/8】(7846657) ＣＭ ハマーロック ＨＬ 5／8 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒ＣＭ社/ＣＭ チェーンスリング【HL 5/8】(7846657) ＣＭ ハマーロック ＨＬ 5／8 発注単位1[rn]
10-20991,,34992.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【PP-M20L】(8195555) ＲＵＤ パワーポイントスター ロングボルトタイプ ＰＰ－Ｍ20Ｌ 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●シャックルなどの接続金具が不要で吊り上げ作業時間を短縮できます。<br>
●ダブルボールベアリング封入によりボルトの緩む心配がなく反転作業が安全に行えます。<br>
●フックに開き限界値を表記しています。<br>
●ピンクパウダーによる表面処理、本体はメッキ仕上げです。<br>
●吊り上げながらの反転作業がスムーズです。<br>
●CEマーク取得品で海外向け金型にも取付可能です。<br>
●ワイヤーロープ、チェーンスリング、ベルトスリングなど吊り具の種類を選びません。<br>
●精密鍛造および特殊熱処理が施され強靭です。<br>
●金型、精密・工作機械、重量物吊り上げおよび反転作業用。<br>
●基本使用荷重(t):2.0<br>
●ボルトサイズ(mm):M20<br>
●寸法(mm)A:8<br>
●寸法(mm)D:61<br>
●寸法(mm)E:55<br>
●ボルトサイズ:M20<br>
●寸法(mm)F:20～200<br>
●寸法(mm)T:61<br>
●スパナサイズ(mm):55<br>
●D(mm):61<br>
●適正締付トルク(Nm)最小～最大:70<br>
●ニッケルクロムモリブデン鋼",■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【PP-M20L】(8195555) ＲＵＤ パワーポイントスター ロングボルトタイプ ＰＰ&minus;Ｍ20Ｌ 発注単位1：クローバー資材館,■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【PP-M20L】(8195555) ＲＵＤ パワーポイントスター ロングボルトタイプ ＰＰ&minus;Ｍ20Ｌ 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【PP-M20L】(8195555) ＲＵＤ パワーポイントスター ロングボルトタイプ ＰＰ&minus;Ｍ20Ｌ 発注単位1[rn]
10-20992,,21600.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＣＭ社/ＣＭ チェーンスリング【HA 500】(7846428) ＣＭ ファンドリーフック ＨＡ 500 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ワイヤロープやチェーンなどの先端金具として。<br>
●基本使用荷重(t):5.1<br>
●破断荷重(kN):303<br>
●適合チェーン線径(mm):12.7<br>
●寸法(mm)D:171.5<br>
●寸法(mm)E:88.9<br>
●寸法(mm)G:238.3<br>
●寸法(mm)L:25.4<br>
●寸法(mm)M:174.8<br>
●寸法(mm)P:44.5<br>
●特殊合金鋼",■〒ＣＭ社/ＣＭ チェーンスリング【HA 500】(7846428) ＣＭ ファンドリーフック ＨＡ 500 発注単位1：クローバー資材館,■〒ＣＭ社/ＣＭ チェーンスリング【HA 500】(7846428) ＣＭ ファンドリーフック ＨＡ 500 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒ＣＭ社/ＣＭ チェーンスリング【HA 500】(7846428) ＣＭ ファンドリーフック ＨＡ 500 発注単位1[rn]
10-20993,,3780.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＣＭ社/ＣＭ チェーンスリング【HL 7/32】(7846665) ＣＭ ハマーロック ＨＬ 7／32 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●チェーンと各種金具との接続用として。<br>
●基本使用荷重(t):0.9<br>
●破断荷重(kN):45<br>
●適合チェーン線径(mm):5.6<br>
●寸法(mm)A:6.4<br>
●寸法(mm)B:35.7<br>
●寸法(mm)C:12.3<br>
●寸法(mm)F:11.0<br>
●特殊合金鋼",■〒ＣＭ社/ＣＭ チェーンスリング【HL 7/32】(7846665) ＣＭ ハマーロック ＨＬ 7／32 発注単位1：クローバー資材館,■〒ＣＭ社/ＣＭ チェーンスリング【HL 7/32】(7846665) ＣＭ ハマーロック ＨＬ 7／32 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒ＣＭ社/ＣＭ チェーンスリング【HL 7/32】(7846665) ＣＭ ハマーロック ＨＬ 7／32 発注単位1[rn]
10-20994,,798.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ Ｎワイヤーロープ【TWAL-6S1.5】(8191648) ＴＲＵＳＣＯ ワイヤーロープスリング Ａタイプ アルミロック 6mmＸ1．5ｍ 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●「JIS規格(JISB8817)」及び「クレーン等安全規則第219条」の規定に則り加工をしている商品です。<br>
●特殊スリーブにてプレス加工をしていますので、加工端末部にトゲがなく、より安全に作業が行えます。<br>
●生産物賠償責任保険（PL）付です。<br>
●工事現場や各種工場内での玉掛作業・固縛作業用として。<br>
●全長(m):1.5<br>
●安全使用荷重2本垂直吊り(t):0.66<br>
●スリング径(mm):6<br>
●タイプ:A<br>
●JIS規格(JIS G 3525)ワイヤロープ使用<br>
●ロープ:炭素鋼<br>
●芯:麻芯<br>
●スリーブ:アルミ合金",■〒トラスコ中山/ＴＲＵＳＣＯ Ｎワイヤーロープ【TWAL-6S1.5】(8191648) ＴＲＵＳＣＯ ワイヤーロープスリング Ａタイプ アルミロック 6mmＸ1．5ｍ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ Ｎワイヤーロープ【TWAL-6S1.5】(8191648) ＴＲＵＳＣＯ ワイヤーロープスリング Ａタイプ アルミロック 6mmＸ1．5ｍ 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒トラスコ中山/ＴＲＵＳＣＯ Ｎワイヤーロープ【TWAL-6S1.5】(8191648) ＴＲＵＳＣＯ ワイヤーロープスリング Ａタイプ アルミロック 6mmＸ1．5ｍ 発注単位1[rn]
10-20995,,125144.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【VWBG-M56】(8195610) ＲＵＤ バリオリング ＶＷＢＧ Ｍ56 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●負荷時でもスムーズな回転が可能です。<br>
●全方向負荷が可能です。<br>
●ピンクパウダーによる表面処理、本体はメッキ仕上げです。<br>
●シングルボールベアリングタイプです。<br>
●CEマーク取得品で海外向け金型にも取付可能です。<br>
●金型、精密・工作機械、重量物吊り上げおよび反転作業用。<br>
●基本使用荷重(t):16.00<br>
●ボルトサイズ(mm):M56<br>
●寸法(mm)A:32<br>
●寸法(mm)B:119<br>
●寸法(mm)C:70<br>
●寸法(mm)D:120<br>
●寸法(mm)E:271<br>
●ボルトサイズ:M56<br>
●寸法(mm)F:84<br>
●スパナサイズ(mm):95<br>
●D(mm):120<br>
●B(mm):119<br>
●A(mm):32<br>
●適正締付トルク(Nm)最小～最大:800<br>
●寸法(mm)SW:95<br>
●ニッケルクロムモリブデン鋼",■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【VWBG-M56】(8195610) ＲＵＤ バリオリング ＶＷＢＧ Ｍ56 発注単位1：クローバー資材館,■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【VWBG-M56】(8195610) ＲＵＤ バリオリング ＶＷＢＧ Ｍ56 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒ルッドリフティングジャパン/ＲＵＤ 荷役金具【VWBG-M56】(8195610) ＲＵＤ バリオリング ＶＷＢＧ Ｍ56 発注単位1[rn]
10-20996,,747.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｍ【TLPS-7】(7898312) ＴＲＵＳＣＯ ロッキングピンシャックル ステンレス製 7mm 2個入 発注単位1,工事用品\吊りクランプ・スリング・荷締機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ピンが抜け落ちないため、うっかりピンを落とす事がなく、高所での作業などに適しています。<br>
●チェーンやワイヤロープの連結金具として。<br>
●D(mm):7<br>
●L(mm):28<br>
●B(mm):14<br>
●ねじ径:M8<br>
●使用荷重(kN):1.96<br>
●t (mm):7<br>
●d (mm):14<br>
●ステンレス（SUS304）",■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｍ【TLPS-7】(7898312) ＴＲＵＳＣＯ ロッキングピンシャックル ステンレス製 7mm 2個入 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｍ【TLPS-7】(7898312) ＴＲＵＳＣＯ ロッキングピンシャックル ステンレス製 7mm 2個入 発注単位1,工事用品\吊りクランプ・スリング・荷締機。■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｍ【TLPS-7】(7898312) ＴＲＵＳＣＯ ロッキングピンシャックル ステンレス製 7mm 2個入 発注単位1[rn]
10-20997,,18792.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【LFS0404H】(7597118) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●軽量で移動も楽な作業用踏台です。<br>●ステップの下に配線する事が可能で、安全を考慮し天板フラットに調整可能なアジャスター付きです。<br>●縦横連結可能で作業現場に合わせたお好きなサイズで使用していただけます。<br><br>●作業ラインの床面に<br><br>●最大使用質量(kg)：100<br>●天板高さ(m)：0.19～0.22<br>●天板寸法(mm)：450×450<br>●設置寸法(mm)間口×奥行：465×465<br>●段数：1<br>●質量(kg)：3.9<br><br>●完成品<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【LFS0404H】(7597118) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【LFS0404H】(7597118) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台。『カード対応OK！』##■〒アルインコ【LFS0404H】(7597118) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1[rn]
10-20998,,18144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【LFS0404S】(7597126) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●軽量で移動も楽な作業用踏台です。<br>●ステップの下に配線する事が可能で、安全を考慮し天板フラットに調整可能なアジャスター付きです。<br>●縦横連結可能で作業現場に合わせたお好きなサイズで使用していただけます。<br><br>●作業ラインの床面に<br><br>●最大使用質量(kg)：100<br>●天板高さ(m)：0.09～0.12<br>●天板寸法(mm)：450×450<br>●設置寸法(mm)間口×奥行：465×465<br>●段数：1<br>●質量(kg)：3.6<br><br>●完成品<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【LFS0404S】(7597126) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【LFS0404S】(7597126) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台。『カード対応OK！』##■〒アルインコ【LFS0404S】(7597126) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1[rn]
10-20999,,6264.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ピカコーポレイション/ピカ【GEMS-PK】(7609442) 樹脂製踏台　ＧＥＭ　ＳＴＥＰ　ピンク 受注単位1,工事用品\はしご・脚立\簡易踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ポリカーボネイドのクリア感を生かした、今までの踏み台にはないデザイン性です。<br><br><br>●最大使用質量(kg)：120<br>●天板高さ(m)：0.3<br>●収納時全長(m)：0.33<br>●天板寸法(mm)：265.2×157<br>●段数：1<br>●色：ピンク<br>●質量(kg)：1.4<br><br><br>●ポリカーボネイド<br>",『カード対応OK！』■〒ピカコーポレイション/ピカ【GEMS-PK】(7609442) 樹脂製踏台　ＧＥＭ　ＳＴＥＰ　ピンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ピカコーポレイション/ピカ【GEMS-PK】(7609442) 樹脂製踏台　ＧＥＭ　ＳＴＥＰ　ピンク 受注単位1,工事用品\はしご・脚立\簡易踏台。『カード対応OK！』■〒ピカコーポレイション/ピカ【GEMS-PK】(7609442) 樹脂製踏台　ＧＥＭ　ＳＴＥＰ　ピンク 受注単位1[rn]
10-21000,,28512.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【LFS0906H】(7597169) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●軽量で移動も楽な作業用踏台です。<br>●ステップの下に配線する事が可能で、安全を考慮し天板フラットに調整可能なアジャスター付きです。<br>●縦横連結可能で作業現場に合わせたお好きなサイズで使用していただけます。<br><br>●作業ラインの床面に<br><br>●最大使用質量(kg)：100<br>●天板高さ(m)：0.19～0.22<br>●天板寸法(mm)：900×600<br>●設置寸法(mm)間口×奥行：915×615<br>●段数：1<br>●質量(kg)：8.0<br><br>●完成品<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【LFS0906H】(7597169) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【LFS0906H】(7597169) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1,工事用品\はしご・脚立\簡易踏台。『カード対応OK！』##■〒アルインコ【LFS0906H】(7597169) 連結式アルミ作業用踏台１段（天板縞板タイプ）ＬＦＳ 受注単位1[rn]
