10-21101,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615077.jpg?fitin=700:700,17665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1[rn]
10-21189,,7344.0000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS150FX】(7875258) アルインコ 専用脚立 1．4ｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●軽さと収納性を追求した超軽量専用脚立です。<br>
●狭い場所でも保管しやすい薄型収納タイプです。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):1.41<br>
●天板寸法(mm):308×95<br>
●収納時全長(m):1.49<br>
●踏ざん踏面幅:40mm<br>
●製品安全協会（ＳＧマーク）認定品<br>
●Aマーク認定品<br>
●折りたたみ時厚み:126mm<br>
●アルミ",###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS150FX】(7875258) アルインコ 専用脚立 1．4ｍ 最大使用質量100ｋｇ 発注単位1：クローバー資材館,###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS150FX】(7875258) アルインコ 専用脚立 1．4ｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立。###■〒アルインコ住宅機器事業部/アルインコ 梯子【MS150FX】(7875258) アルインコ 専用脚立 1．4ｍ 最大使用質量100ｋｇ 発注単位1[rn]
10-21190,,69204.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE17】(7987234) ＴＲＵＳＣＯ 踏台 2段本体 階段両手すり 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●底面にも筋交いが入っており、安定感に優れています。<br>
●オールアルマイト仕上げです。<br>
●滑り止めキャップはスクリベットで取り付けていますのでプラスドライバーでの交換が可能なアルミ製作業用踏台です。<br>
●工場、倉庫内での作業に。<br>
●最大使用質量(kg):150<br>
●天板高さ(m):0.6<br>
●天板寸法(mm):500×400<br>
●段数:2<br>
●設置寸法(mm)間口:520<br>
●設置寸法(mm)奥行:629<br>
●踏ざん踏面幅(mm):踏台2段+階段両手すり高さ900mm<br>
●タイプ:踏台2段+階段両手すり高さ900mm<br>
●設置寸法(mm)間口×奥行:520×629<br>
●組立式<br>
●アルミ<br>
●踏台２段＋階段両手すり",■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE17】(7987234) ＴＲＵＳＣＯ 踏台 2段本体 階段両手すり 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE17】(7987234) ＴＲＵＳＣＯ 踏台 2段本体 階段両手すり 発注単位1,工事用品\はしご・脚立。■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE17】(7987234) ＴＲＵＳＣＯ 踏台 2段本体 階段両手すり 発注単位1[rn]
10-21191,,11448.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【TBF5】(7727518) 上枠付専用脚立　天板高さ９８ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ステップ間隔が約20cmと昇降がラクラクです。<br>●折りたたみ収納時の厚みが115mmとコンパクトです。<br>●手摺付なので安全性アップしています。<br><br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：0.98<br>●天板寸法(mm)：250×250<br>●全長(m)：1.69<br>●質量(kg)：4.5<br>●段数：5<br><br>●完成品　<br>●踏ざん踏面積：80mm<br><br>",『カード対応OK！』##■〒アルインコ【TBF5】(7727518) 上枠付専用脚立　天板高さ９８ｃｍ　最大使用質量１５０ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【TBF5】(7727518) 上枠付専用脚立　天板高さ９８ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【TBF5】(7727518) 上枠付専用脚立　天板高さ９８ｃｍ　最大使用質量１５０ｋｇ 受注単位1[rn]
10-21192,,16200.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【TBF8】(7727542) 上枠付専用脚立　天板高さ１６２ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ステップ間隔が約20cmと昇降がラクラクです。<br>●折りたたみ収納時の厚みが115mmとコンパクトです。<br>●手摺付なので安全性アップしています。<br><br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：1.62<br>●天板寸法(mm)：250×250<br>●全長(m)：2.39<br>●質量(kg)：7.5<br>●段数：8<br><br>●完成品　<br>●踏ざん踏面積：80mm<br><br>",『カード対応OK！』##■〒アルインコ【TBF8】(7727542) 上枠付専用脚立　天板高さ１６２ｃｍ　最大使用質量１５０ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【TBF8】(7727542) 上枠付専用脚立　天板高さ１６２ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【TBF8】(7727542) 上枠付専用脚立　天板高さ１６２ｃｍ　最大使用質量１５０ｋｇ 受注単位1[rn]
10-21193,,9720.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【TBF4】(7727500) 上枠付専用脚立　天板高さ７７ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ステップ間隔が約20cmと昇降がラクラクです。<br>●折りたたみ収納時の厚みが115mmとコンパクトです。<br>●手摺付なので安全性アップしています。<br><br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：0.77<br>●天板寸法(mm)：250×250<br>●全長(m)：1.46<br>●質量(kg)：3.8<br>●段数：4<br><br>●完成品　<br>●踏ざん踏面積：80mm<br><br>",『カード対応OK！』##■〒アルインコ【TBF4】(7727500) 上枠付専用脚立　天板高さ７７ｃｍ　最大使用質量１５０ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【TBF4】(7727500) 上枠付専用脚立　天板高さ７７ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【TBF4】(7727500) 上枠付専用脚立　天板高さ７７ｃｍ　最大使用質量１５０ｋｇ 受注単位1[rn]
10-21194,,14688.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【TBF7】(7727534) 上枠付専用脚立　天板高さ１４０ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ステップ間隔が約20cmと昇降がラクラクです。<br>●折りたたみ収納時の厚みが115mmとコンパクトです。<br>●手摺付なので安全性アップしています。<br><br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：1.40<br>●天板寸法(mm)：250×250<br>●全長(m)：2.16<br>●質量(kg)：6.2<br>●段数：7<br><br>●完成品　<br>●踏ざん踏面積：80mm<br><br>",『カード対応OK！』##■〒アルインコ【TBF7】(7727534) 上枠付専用脚立　天板高さ１４０ｃｍ　最大使用質量１５０ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【TBF7】(7727534) 上枠付専用脚立　天板高さ１４０ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【TBF7】(7727534) 上枠付専用脚立　天板高さ１４０ｃｍ　最大使用質量１５０ｋｇ 受注単位1[rn]
10-21195,,12960.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【TBF6】(7727526) 上枠付専用脚立　天板高さ１１９ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ステップ間隔が約20cmと昇降がラクラクです。<br>●折りたたみ収納時の厚みが115mmとコンパクトです。<br>●手摺付なので安全性アップしています。<br><br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：1.19<br>●天板寸法(mm)：250×250<br>●全長(m)：1.92<br>●質量(kg)：5.4<br>●段数：6<br><br>●完成品　<br>●踏ざん踏面積：80mm<br><br>",『カード対応OK！』##■〒アルインコ【TBF6】(7727526) 上枠付専用脚立　天板高さ１１９ｃｍ　最大使用質量１５０ｋｇ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【TBF6】(7727526) 上枠付専用脚立　天板高さ１１９ｃｍ　最大使用質量１５０ｋｇ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【TBF6】(7727526) 上枠付専用脚立　天板高さ１１９ｃｍ　最大使用質量１５０ｋｇ 受注単位1[rn]
10-21196,,57024.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【CSFR1518SZ】(4555431) マイティステップＢＳＭ２ 受注単位1,工事用品\はしご・脚立\上枠付踏台,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●軽量かつ伸縮脚のため作業性に優れています。<br>●ワイドな天板と上枠付で安心して作業ができます。<br>●昇降時の安定性を高める手がかり棒付です。<br><br>●工場・倉庫内での作業に。<br><br>●最大使用質量(kg)：150<br>●天板高さ(m)：1.53～1.84<br>●収納時全長(m)：1.997<br>●天板寸法(mm)：400×367<br>●段数：6<br>●収納時寸法(mm)幅×奥行×高さ：689×189×1977<br>●質量(kg)：16<br><br>●完成品<br>●踏ざん踏面幅：43mm<br>●(社)仮設工業会認定品<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【CSFR1518SZ】(4555431) マイティステップＢＳＭ２ 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【CSFR1518SZ】(4555431) マイティステップＢＳＭ２ 受注単位1,工事用品\はしご・脚立\上枠付踏台。『カード対応OK！』##■〒アルインコ【CSFR1518SZ】(4555431) マイティステップＢＳＭ２ 受注単位1[rn]
10-21197,,26784.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒アルインコ【VSSR360H】(7697970) 伸縮式足場板ＶＳＳＲ―Ｈ（スベリ止め付き） 受注単位1,工事用品\はしご・脚立\足場板,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●作業場所に合わせて調整できる伸縮式足場板です。<br>●30mmピッチで伸縮可能です。<br>●両面使用タイプで両面に滑り止めラバーを装着しています。<br><br>●室内屋外の足場に最適です。<br><br>●最大使用質量(kg)：120<br>●支持点数：2<br>●全長(mm)：3598～2008<br>●幅(mm)：262/236<br>●厚み(mm)：70<br><br>●伸縮タイプ<br>●両面使用タイプ<br>●３０ｍｍピッチで伸縮可能<br>●伸縮はワンタッチ式ロック装置で簡単に伸縮可能です。<br><br>●アルミ<br>",『カード対応OK！』##■〒アルインコ【VSSR360H】(7697970) 伸縮式足場板ＶＳＳＲ&mdash;Ｈ（スベリ止め付き） 受注単位1：クローバー資材館,『カード対応OK！』##■〒アルインコ【VSSR360H】(7697970) 伸縮式足場板ＶＳＳＲ&mdash;Ｈ（スベリ止め付き） 受注単位1,工事用品\はしご・脚立\足場板。『カード対応OK！』##■〒アルインコ【VSSR360H】(7697970) 伸縮式足場板ＶＳＳＲ&mdash;Ｈ（スベリ止め付き） 受注単位1[rn]
10-21198,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002893330.jpg?fitin=700:700,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,##∀『カード対応OK！』■〒アルインコ/アルインコ　鋼製長尺足場板　２ｍ【CLT20F】() 受注単位1,工事用品\はしご・脚立\足場板,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●従来の2枚板よりも使用時において最も重要なタワミ量を軽減します。<br>●表面は円周フランジ加工の滑り止め。裏面には特殊なコーティングを施し、足場の滑りを軽減します。<br>●超高張力鋼板（厚さ0.8mm）の使用により、合板足場板より約25%軽量化を実現しています。<br>●超高張力連続溶融メッキにより、優れた防錆力です。<br><font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>",##&forall;『カード対応OK！』■〒アルインコ/アルインコ　鋼製長尺足場板　２ｍ【CLT20F】() 受注単位1：クローバー資材館,##&forall;『カード対応OK！』■〒アルインコ/アルインコ　鋼製長尺足場板　２ｍ【CLT20F】() 受注単位1,工事用品\はしご・脚立\足場板。##&forall;『カード対応OK！』■〒アルインコ/アルインコ　鋼製長尺足場板　２ｍ【CLT20F】() 受注単位1[rn]
10-21199,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002812084.jpg?fitin=700:700,816.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　両締ボルト止金具【HKC1W】(3072207) 受注単位1,工事用品\はしご・脚立\足場板,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●市販されている単管パイプ（外径48.6mm）をつなぐ、ジョイント金具です。<br>●フェンス・テーブル・作業台・小屋・ビニールハウスなどの骨組みとして最適です。",『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　両締ボルト止金具【HKC1W】(3072207) 受注単位1：クローバー資材館,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　両締ボルト止金具【HKC1W】(3072207) 受注単位1,工事用品\はしご・脚立\足場板。『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　両締ボルト止金具【HKC1W】(3072207) 受注単位1[rn]
10-21200,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002812098.jpg?fitin=700:700,521.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　くい打ち金具【HKZ1H】(3080897) 受注単位1,工事用品\はしご・脚立\足場板,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●市販されている単管パイプ（外径48.6mm）をつなぐ、ジョイント金具です。<br>●フェンス・テーブル・作業台・小屋・ビニールハウスなどの骨組みとして最適です。",『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　くい打ち金具【HKZ1H】(3080897) 受注単位1：クローバー資材館,『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　くい打ち金具【HKZ1H】(3080897) 受注単位1,工事用品\はしご・脚立\足場板。『カード対応OK！』■〒大平金属工業/アルインコ　単管用パイプジョイント　くい打ち金具【HKZ1H】(3080897) 受注単位1[rn]
