10-20301,,1621.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●ラミネートフローリング材用。<br><br>●山数：15<br>●全長(mm)：82<br>●厚み(mm)：1.25<br>●有効刃長(mm)：59<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：1.5～15<br>●切断能力(mm)フローリング材：1.5～15<br>●質量(g)：36<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1[rn]
10-20384,,1179.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢【FAW-200-28】(7595182) モンキーレンチ　２００ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的なJIS規格と比べて10%以上ワイドに開きより多くのサイズのボルトナットに対応できます。<br>●狭いスペースで作業がしやすい15°タイプです。<br>●アゴの飛び出しが少なく狭い箇所での作業に最適です。<br>●目盛付です。<br><br><br>●全長(mm)：206<br>●最大口開き(mm)：28<br>●質量(g)：258<br><br><br>●特殊鋼<br>",『カード対応OK！』■〒フジ矢【FAW-200-28】(7595182) モンキーレンチ　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢【FAW-200-28】(7595182) モンキーレンチ　２００ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒フジ矢【FAW-200-28】(7595182) モンキーレンチ　２００ｍｍ 受注単位1[rn]
10-20385,,1114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【4M-10-11】(4979893) フラット型ボックススパナ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でなめづらいダイナミックドライブを採用しています。<br>●めがね部は薄肉で両サイド面取りしてあります。<br><br>●ボルトナットの締め緩め。<br><br>●対辺寸法(mm)：10×11<br>●全長(mm)：130<br>●質量(g)：24<br><br><br>●バナジウムエクストラ鋼<br>●表面研磨仕上げ<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【4M-10-11】(4979893) フラット型ボックススパナ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【4M-10-11】(4979893) フラット型ボックススパナ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【4M-10-11】(4979893) フラット型ボックススパナ 受注単位1[rn]
10-20386,,4379.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-50】(8189379) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：50 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●首角度は70°です。<br>
●狭い場所や障害物の多い場所での使用に最適です。<br>
●シノ部は、ボルトの穴合わせに最適な円錐形状です。<br>
●安全ロープ取り付け穴を設けています。<br>
●パーカー仕上げです。<br>
●土木・建築・橋梁・鉄塔関係のボルト締め作業に最適。<br>
●対辺寸法(mm):50<br>
●全長(mm):553<br>
●パーカー仕上げです。",■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-50】(8189379) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：50 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-50】(8189379) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：50 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-50】(8189379) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：50 発注単位1[rn]
10-20387,,2067.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トップ工業/ＴＯＰ レンチ【PR-14X17N】(2486971) ＴＯＰ 板ラチェットレンチ 14Ｘ17mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●本体プレートはステンレスを使用し、強度抜群です。<br>
●ギア数１８で２０°でラチェットが駆動します。<br>
●本締め可能です。<br>
●際立つ軽さの強化プラスチックを採用しています。<br>
●狭い場所でのボルト・ナットの締め緩めに。<br>
●自動車整備・軽量鉄骨、プレハブの組立、解体作業、機械治工具、電気工事、一般家庭のボルト・ナットの着脱など広範囲にお使い頂けます。<br>
●対辺寸法(mm):14.0×17<br>
●厚み(mm):11.6<br>
●全長(mm):190<br>
●ギア数18で20°でラチェットが駆動します<br>
●ステンレス(SUS420J2)/クロムバナジウム鋼(Cr-V)<br>
●必ずボルト・ナットの二面幅に合ったサイズを使用し、斜め掛けや浅掛けはしないで下さい。<br>
●ハンマ代わりに叩かないで下さい。<br>
●高所作業では、落下防止のひも（ＴＯＰＳＦＣシリーズ）との併用をお勧めいたします。<br>
●工具の使用目的以外には使用しないで下さい。",■〒トップ工業/ＴＯＰ レンチ【PR-14X17N】(2486971) ＴＯＰ 板ラチェットレンチ 14Ｘ17mm 発注単位1：クローバー資材館,■〒トップ工業/ＴＯＰ レンチ【PR-14X17N】(2486971) ＴＯＰ 板ラチェットレンチ 14Ｘ17mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トップ工業/ＴＯＰ レンチ【PR-14X17N】(2486971) ＴＯＰ 板ラチェットレンチ 14Ｘ17mm 発注単位1[rn]
10-20388,,1897.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-16-18】(4979320) ディープ・オフセット両口メガネ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でなめづらいダイナミックドライブを採用しています。<br>●ディープオフセットで作業時間を短縮させることができます。<br><br>●ボルトナットの締め緩め。<br><br>●対辺寸法(mm)：16×18<br>●全長(mm)：246<br>●質量(g)：190<br><br><br>●バナジウムエクストラ鋼<br>●表面研磨仕上げ<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-16-18】(4979320) ディープ・オフセット両口メガネ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-16-18】(4979320) ディープ・オフセット両口メガネ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-16-18】(4979320) ディープ・オフセット両口メガネ 受注単位1[rn]
10-20389,,10476.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒チップソージャパン/チップソージャパン 先端工具【GH255-10030】(7768907) チップソージャパン 合板用チップソー 発注単位1,作業用品\切断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐摩耗性に優れた９４．０ＨＲＡ高硬度チップおよびＲ中心５本組刃採用により、直進性抜群、軽切削感、美麗な切削肌・長切れを実現しています。<br>
●合板用。<br>
●外径(mm):255<br>
●刃厚(mm):3.0<br>
●穴径(mm):25.4<br>
●刃数:100<br>
●最高使用回転数(rpm):5000<br>
●切断能力(mm)木材合板:90<br>
●台金：工具鋼<br>
●チップ：タングステンカーバイト",■〒チップソージャパン/チップソージャパン 先端工具【GH255-10030】(7768907) チップソージャパン 合板用チップソー 発注単位1：クローバー資材館,■〒チップソージャパン/チップソージャパン 先端工具【GH255-10030】(7768907) チップソージャパン 合板用チップソー 発注単位1,作業用品\切断用品。■〒チップソージャパン/チップソージャパン 先端工具【GH255-10030】(7768907) チップソージャパン 合板用チップソー 発注単位1[rn]
10-20390,,5908.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ナニワ研磨工業/ナニワ ダイヤ研磨材【EW-5262】(7885971) ナニワ タイルの鉄人 125×1．2 発注単位1,作業用品\切断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●切断時の直進性に優れ、安全性とコストパフォーマンスのバランスの整った商品です。<br>
●薄刃でスピーディーに切断します。<br>
●切断時の直進性に優れ、安全性とコストパフォーマンスのバランスの整った商品です。<br>
●薄刃でスピーディーに切断します。<br>
●磁器タイル、石器タイル、陶器タイル、石質タイルの切断。<br>
●外径(mm):125<br>
●刃厚(mm):1.2<br>
●穴径(mm):22<br>
●最高使用回転数(rpm):12200<br>
●完成品<br>
●台金:鉄<br>
●チップ:ダイヤモンド<br>
●ホイールに表示されている最高使用週速度又は最高無負荷回転数などが、電動工具に適していることを確認してください。<br>
●ホイールの寸法が電動工具に指定されている寸法に適合していることを確認してください。<br>
●作業者は防塵メガネ、防塵マスク、耳栓、保護帽、安全靴などの保護具を必ず着用してください。<br>
●長髪は、ヘアカバーで覆って下さい。<br>
●ホイールの取付・取り外し時には、必ず、動力源を、「切」にして下さい。<br>
●ホイールの取り付け手順については、電動工具の取扱説明書の指示を守ってください。",■〒ナニワ研磨工業/ナニワ ダイヤ研磨材【EW-5262】(7885971) ナニワ タイルの鉄人 125&times;1．2 発注単位1：クローバー資材館,■〒ナニワ研磨工業/ナニワ ダイヤ研磨材【EW-5262】(7885971) ナニワ タイルの鉄人 125&times;1．2 発注単位1,作業用品\切断用品。■〒ナニワ研磨工業/ナニワ ダイヤ研磨材【EW-5262】(7885971) ナニワ タイルの鉄人 125&times;1．2 発注単位1[rn]
10-20391,,5443.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-8544】(7677430) チップソー（金属サイディング用）　１００ｍｍＸ２０　３６枚刃 受注単位1,作業用品\切断用品\チップソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ガリバニウム鋼板の切断に最適です。<br><br>●金属系サイディング用。<br><br>●外径(mm)：100<br>●刃厚(mm)：1.0<br>●穴径(mm)：20<br>●刃数：36<br>●最高使用回転数(rpm)：15200<br>●質量(g)：84<br><br><br>●台金：炭素工具鋼<br>●チップ：超硬<br>",『カード対応OK！』■〒日立工機/日立【0032-8544】(7677430) チップソー（金属サイディング用）　１００ｍｍＸ２０　３６枚刃 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-8544】(7677430) チップソー（金属サイディング用）　１００ｍｍＸ２０　３６枚刃 受注単位1,作業用品\切断用品\チップソー。『カード対応OK！』■〒日立工機/日立【0032-8544】(7677430) チップソー（金属サイディング用）　１００ｍｍＸ２０　３６枚刃 受注単位1[rn]
10-20392,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005429976.jpg?fitin=700:700,1431.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　プロ造作用　Φ１６５Ｘ５２Ｐ【TM-16552N】(4004604) 受注単位1,(4004604),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●2回研磨のため、切断面が美しいです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　プロ造作用　Φ１６５Ｘ５２Ｐ【TM-16552N】(4004604) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　プロ造作用　Φ１６５Ｘ５２Ｐ【TM-16552N】(4004604) 受注単位1,(4004604)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　プロ造作用　Φ１６５Ｘ５２Ｐ【TM-16552N】(4004604) 受注単位1[rn]
10-20393,,3078.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具パーツ【0040-2599】(7916884) 日立 研ちゃんカット2 125Ｘ1．6Ｘ22mm ＡＺ46ＲＢＦ 10枚入り 発注単位1,作業用品\切断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●薄刃仕様で、薄板・薄肉鋼に最適です。<br>
●ステンレス・金属の切断に。<br>
●砥材:AZ<br>
●粒度(#):46<br>
●硬度:RBF<br>
●外径(mm):125<br>
●刃厚(mm):1.6<br>
●穴径(mm):22<br>
●最高使用回転数(rpm):12200",■〒日立工機/日立 電動工具パーツ【0040-2599】(7916884) 日立 研ちゃんカット2 125Ｘ1．6Ｘ22mm ＡＺ46ＲＢＦ 10枚入り 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具パーツ【0040-2599】(7916884) 日立 研ちゃんカット2 125Ｘ1．6Ｘ22mm ＡＺ46ＲＢＦ 10枚入り 発注単位1,作業用品\切断用品。■〒日立工機/日立 電動工具パーツ【0040-2599】(7916884) 日立 研ちゃんカット2 125Ｘ1．6Ｘ22mm ＡＺ46ＲＢＦ 10枚入り 発注単位1[rn]
10-20394,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005429977.jpg?fitin=700:700,2512.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　仕上・留切用　Φ１９０Ｘ７２Ｐ【TM-19072N】(4004639) 受注単位1,(4004639),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●2回研磨のため、切断面が美しいです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　仕上・留切用　Φ１９０Ｘ７２Ｐ【TM-19072N】(4004639) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　仕上・留切用　Φ１９０Ｘ７２Ｐ【TM-19072N】(4004639) 受注単位1,(4004639)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　木工用チップソー　両側刃　仕上・留切用　Φ１９０Ｘ７２Ｐ【TM-19072N】(4004639) 受注単位1[rn]
10-20395,,2777.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ツインズ/スイストゥール【RM-S】(4977211) ラチェットモンキースタビ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●鍛造加工（アゴ部）の高スペックです。<br>●ワイドな開口部最大口幅32ｍｍです。<br>●特殊形状で、滑りにくいグリップ仕上げです。<br>●ラチェットのオン・オフをワンタッチで切替可能です。<br>●目盛付です。<br><br><br>●全長(mm)：165<br>●最大口開き(mm)：32<br>●質量(g)：330<br><br>●狭い場所に最適。<br><br>●クロムバナジウム鋼(Cr-V)<br>",『カード対応OK！』■〒ツインズ/スイストゥール【RM-S】(4977211) ラチェットモンキースタビ 受注単位1：クローバー資材館,『カード対応OK！』■〒ツインズ/スイストゥール【RM-S】(4977211) ラチェットモンキースタビ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒ツインズ/スイストゥール【RM-S】(4977211) ラチェットモンキースタビ 受注単位1[rn]
10-20396,,13473.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8075C】(4980301) モンキーレンチメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョーが開いてもシャフトが完全にハンドルの中に隠れているのでより作業性を高め、より強力度を与えます。<br>●ジョーの開口幅セッティングとボルトのヘッド、金属の厚みなどの測定用スケール付きです。<br>●調整ウォーム部分の十分な隙間穴はグローブをしたままでもジョーの操作をスムーズに行えます。<br><br>●ボルトナットの締め緩め。<br><br>●全長(mm)：455<br>●最大口開き(mm)：53<br>●質量(g)：1665<br><br><br>●特殊工具鋼（クローム仕上げ）<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8075C】(4980301) モンキーレンチメッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8075C】(4980301) モンキーレンチメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8075C】(4980301) モンキーレンチメッキ 受注単位1[rn]
10-20397,,1900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ【HY-36G】(7227825) 薄型軽量ワイドモンキレンチ　エコワイド　２５０ｍｍ　グリップ付 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●薄い・軽い・コンパクトです。<br>●口は全開にしてもアゴの出っぱりがなく狭い場所に最適です。<br>●水道、ガス、エアコンなどの配管の込み入った場所でのナット締めなど、広範囲のねじ締めに適しています。<br>●逆方向に回しても保障トルクは落ちません。<br><br><br>●全長(mm)：241<br>●最大口開き(mm)：8～36<br>●A(mm)：65<br>●t(mm)：7.0<br>●質量(g)：285<br><br>●グリップ付<br><br>●Cr-V<br>",『カード対応OK！』■〒トップ工業/ＴＯＰ【HY-36G】(7227825) 薄型軽量ワイドモンキレンチ　エコワイド　２５０ｍｍ　グリップ付 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ【HY-36G】(7227825) 薄型軽量ワイドモンキレンチ　エコワイド　２５０ｍｍ　グリップ付 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒トップ工業/ＴＯＰ【HY-36G】(7227825) 薄型軽量ワイドモンキレンチ　エコワイド　２５０ｍｍ　グリップ付 受注単位1[rn]
10-20398,,5166.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【86912】(4955102) アジャスタブル　レンチ　２５０ｍｍ　７６０ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ハイグレードなクロム・バナジウム鋼製で、鍛造熱処理により高耐久性を実現しています。<br>●ジョーには、迅速調整の為にインチとミリの2つの目盛を採用しています。<br><br><br>●全長(mm)：250<br>●最大口開き(mm)：30<br>●質量(kg)：0.3<br><br><br>●クロムバナジウム鋼(Cr-V)<br>",『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【86912】(4955102) アジャスタブル　レンチ　２５０ｍｍ　７６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【86912】(4955102) アジャスタブル　レンチ　２５０ｍｍ　７６０ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒Ｒｉｄｇｅ　Ｔｏｏｌ　Ｃｏｍｐａｎ/ＲＩＤＧＥ【86912】(4955102) アジャスタブル　レンチ　２５０ｍｍ　７６０ 受注単位1[rn]
10-20399,,4692.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9072PC】(4980565) パイレン兼用モンキーメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●特許リバーシブルモンキーレンチ、ジョーを反転させるとパイプレンチに早替わりします。<br>●ジョーの開口幅セッティングとボルトのヘッド、金属の厚みなどの測定用スケール付きです。<br>●調整ウォーム部分の十分な隙間穴はグローブをしたままでもジョーの操作をスムーズに行えます。<br>●握力を均等に分散し作業上の怪我のリスクを軽減するエルゴグリップ採用しています。<br><br>●ボルトナットの締め緩め。<br><br>●全長(mm)：257<br>●最大口開き(mm)：33<br>●質量(g)：430<br><br><br>●特殊工具鋼<br>●グリップ部：樹脂<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9072PC】(4980565) パイレン兼用モンキーメッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9072PC】(4980565) パイレン兼用モンキーメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9072PC】(4980565) パイレン兼用モンキーメッキ 受注単位1[rn]
10-20400,,3420.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9070PC】(4980522) パイレン兼用モンキーメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●特許リバーシブルモンキーレンチ、ジョーを反転させるとパイプレンチに早替わりします。<br>●ジョーの開口幅セッティングとボルトのヘッド、金属の厚みなどの測定用スケール付きです。<br>●調整ウォーム部分の十分な隙間穴はグローブをしたままでもジョーの操作をスムーズに行えます。<br>●握力を均等に分散し作業上の怪我のリスクを軽減するエルゴグリップ採用しています。<br><br>●ボルトナットの締め緩め。<br><br>●全長(mm)：158<br>●最大口開き(mm)：21<br>●質量(g)：139<br><br><br>●特殊工具鋼<br>●グリップ部：樹脂<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9070PC】(4980522) パイレン兼用モンキーメッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9070PC】(4980522) パイレン兼用モンキーメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【9070PC】(4980522) パイレン兼用モンキーメッキ 受注単位1[rn]
