8-10505,http://tshop.r10s.jp/clover9608/cabinet/kotomi4/040045.jpg?fitin=700:700,225.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ,水栓金具\カクダイ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ：クローバー資材館,『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ,水栓金具\カクダイ。『カード対応OK！』カクダイ【0400- 58】丸目皿ｱﾐ[rn]
8-10591,,11404.8000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●保水性良好でコンクリートの散水養生に最適です。<br>●寒冷時には、保温養生に使用できます。<br>●軽量で取り扱いしやすいマットです。<br><br>●コンクリートの散水養生に。<br>●コンクリートの保温養生に。<br><br>●長さ(m)：30<br>●幅(mm)：1000<br>●質量(kg)：5<br>●巻径６０cm<br><br>●NETIS登録番号：CG-090027-V(1号-A)<br><br>●ウレタンフォーム<br>●合成繊維<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1：クローバー資材館,【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1,生産加工用品\建築金物\建築資材。【カード対応OK！】■〒アオイ化学工業/ＡＯＩ【CT22IZ】(4835531) ＡＯＩ　コンマット２号 受注単位1[rn]
8-10592,,3129.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０×９１０×１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透室が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br>●省エネ、遮熱などの断熱ボードとして。<br><br>●厚み(mm)：20<br>●長さ(m)：1.82<br>●幅(mm)：910<br><br>●不燃認定品（NM-2616）<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒イノアックコーポレーション/イノアック【S2-20】(7625294) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1[rn]
8-10593,,2885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０×９１０×１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透室が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br>●省エネ、遮熱などの断熱ボードとして。<br><br>●厚み(mm)：20<br>●長さ(m)：1.82<br>●幅(mm)：910<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒イノアックコーポレーション/イノアック【S-20】(7625286) 断熱イソシアヌレートボード　サーマックス　２０&times;９１０&times;１８２０ｍｍ 受注単位1[rn]
8-10594,,567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ペーパーからアルミまで、様々な材質で作られたハニカム材のサンプルキットです。<br><br>●パネル化試験、接着試験、対圧縮試験、整流試験等。<br><br>●厚み(mm)：22<br>●縦(mm)：220<br>●横(mm)：305<br><br><br>●中芯原紙<br>●水酸化アルミ紙<br>●E-段ボール<br>●PP<br>●塩化ビニル<br>●アルミニウム<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1：クローバー資材館,『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒新日本フエザーコア/フェザー【SAMPLE-KITA4】(7627840) サンプルキットＡ４ 受注単位1[rn]
8-10595,,1519.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●乾式塗装ブース用背面フィルターです。<br>●ハニカム構造のため、低圧損でありながら高保持量をも可能にした製品です。<br><br>●吹付け塗装時の余剰塗料を吸着させる背面フィルター。<br><br>●厚み(mm)：50<br>●縦(mm)：500<br>●横(mm)：500<br><br>●45度傾斜切断ペーパーハニカム交互積層<br><br>●中芯原紙<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1：クローバー資材館,『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1,生産加工用品\建築金物\建築資材。『カード対応OK！』■〒新日本フエザーコア/フェザー【TYPE-N】(7627858) クリンセルター 受注単位1[rn]
8-10596,,6996.0000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０×５０ｍ 受注単位1,生産加工用品\建築金物\建築資材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐熱性・剛性・断熱性・遮熱性に優れてます。<br>●防湿性能に優れており、フォームが独立気泡となっており、吸水・透湿が極めて少なく、吸水による断熱性の低下や断熱材の垂れ下がりがありません。<br><br><br>●長さ(m)：50<br>●幅(mm)：50<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1,生産加工用品\建築金物\建築資材。【カード対応OK！】■〒イノアックコーポレーション/イノアック【S-TAPE】(7625308) 断熱イソシアヌレートボード　サーマックス用テープ　５０&times;５０ｍ 受注単位1[rn]
8-10597,,7544.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：80<br>●車輪幅B(mm)：22<br>●適合機種：FS-80V<br>●軸径(mm)：12<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-80V】(7596308) ステンレス製重量戸車用車　車径Φ８０ 受注単位1[rn]
8-10598,,11436.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：90<br>●車輪幅B(mm)：24<br>●適合機種：FS-90V<br>●軸径(mm)：14<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-90V】(7596316) ステンレス製重量戸車用車　車径Φ９０ 受注単位1[rn]
8-10599,,3652.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：50<br>●車輪幅B(mm)：18<br>●適合機種：FS-50V<br>●軸径(mm)：10<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-50V】(7596278) ステンレス製重量戸車用車　車径Φ５０ 受注単位1[rn]
8-10600,,16465.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：250<br>●車輪径(mm)：100<br>●車輪幅(mm)：24<br>●取付高H(mm)：105<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：165×34<br>●取付ピッチX(mm)：130<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-100V】(7596324) ステンレス製重量戸車　車径Φ１００ 受注単位1[rn]
8-10601,,6406.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：100<br>●車輪径(mm)：70<br>●車輪幅(mm)：22<br>●取付高H(mm)：80<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：145×34<br>●取付ピッチX(mm)：110<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-70V】(7596359) ステンレス製重量戸車　車径Φ７０ 受注単位1[rn]
8-10602,,4070.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：60<br>●車輪幅B(mm)：20<br>●適合機種：FS-60V<br>●軸径(mm)：10<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-60V】(7596286) ステンレス製重量戸車用車　車径Φ６０ 受注単位1[rn]
8-10603,,12274.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●軸がナット仕様のため、車だけの交換が可能です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量扉用の下車。<br>●アングル、フラットバー用。<br>●重量扉用の下車。<br><br>●許容荷重(kgf)：200<br>●車輪径(mm)：90<br>●車輪幅(mm)：24<br>●取付高H(mm)：100<br>●取付穴径P(mm)：11×15<br>●取付座A×B(mm)：165×34<br>●取付ピッチX(mm)：130<br><br>●許容荷重は走行試験の結果に基づいた数値です。<br><br>●枠：ステンレス（SUS304）<br>●車輪：ステンレス（SUS303）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【FS-90V】(7596375) ステンレス製重量戸車　車径Φ９０ 受注単位1[rn]
8-10604,,14968.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●防錆処理を施したベアリング（SUS440C)を使用しているので耐蝕性に優れ、堅牢でスムーズな回転です。<br>●防錆処理を施したベアリング（SUS440C）を使用しているので耐蝕性に優れています。<br><br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br>●アングル、フラットバー用。<br>●重量戸車用の車輪。<br><br>●車輪径D(mm)：100<br>●車輪幅B(mm)：24<br>●適合機種：FS-100V<br>●軸径(mm)：14<br><br><br>●車輪：ステンレス（SUS303）<br>●ボルトナット：ステンレス（SUS304）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1,生産加工用品\建築金物\戸車。『カード対応OK！』■〒ダイケン【DS-100V】(7596260) ステンレス製重量戸車用車　車径Φ１００ 受注単位1[rn]
