17-100499,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/kh-rhs_1.jpg?fitin=700:700,481.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】,"つまようじで彫れる新素材の消しゴム<br />
  大きさ：W105×H15×D157<br>
<br>
＜セット内容＞<br>
1.けしごむ（オレンジの香り付き）<br>
2.掘りクズのお掃除ねりけし<br>
3.説明書<br>
4.トレーシングペーパー<br>
5.スタンプ用特製ヘラ＆つまようじ",消しゴムはんこ　ラクほりセット　シード：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨消しゴムはんこ　ラクほりセット　シード,　【つまようじで彫る？！】。消しゴムはんこ　ラクほりセット　シード[rn]
17-100581,http://tshop.r10s.jp/voice/cabinet/scrap/86-14_01.jpg?fitin=700:700,68.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW!】エンボスデイジーシートA3サイズ　＜パープル（♯86-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※,　,"でこぼこと凹凸あるエンボスできれいな模様が描かれている、柔らかく加工しやすい紙です。<br>
カルトナージュに使用したり、お気に入りの一冊のブックカバーにしたり、ランチョンマットや箸入れなどお客様のおもてなしにも♪<br>
何を作ろうかな？<br>
いろんなアイデアが生まれてくる、そんな特別な1枚です。<br>
<br>
※製品の性質上、繊維が入り込み漉きムラや、ちいさな異物が入っている場合がございますが、なにとぞご了承ください。<br>
<br>
<br>
■サイズ　A3サイズ<br>
■アシッドフリー未確認<br>
<br>
<br>
※メール便ご指定の場合は半分に折りたたんでお届けいたします。<br>
あらかじめご了承くださいますようお願いいたします。<br>
紙の傷みが気になる方は宅配便をお選びください。<br>",【NEW!】エンボスデイジーシートA3サイズ　＜パープル（♯86-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW!】エンボスデイジーシートA3サイズ　＜パープル（♯86-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※,　。【NEW!】エンボスデイジーシートA3サイズ　＜パープル（♯86-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※[rn]
17-100582,http://tshop.r10s.jp/voice/cabinet/scrap/85-14_01.jpg?fitin=700:700,68.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW!】エンボスフローラルシートA3サイズ　＜パープル（♯85-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※,　,"でこぼこと凹凸あるエンボスできれいな模様が描かれている、柔らかく加工しやすい紙です。<br>
カルトナージュに使用したり、お気に入りの一冊のブックカバーにしたり、ランチョンマットや箸入れなどお客様のおもてなしにも♪<br>
何を作ろうかな？<br>
いろんなアイデアが生まれてくる、そんな特別な1枚です。<br>
<br>
※製品の性質上、繊維が入り込み漉きムラや、ちいさな異物が入っている場合がございますが、なにとぞご了承ください。<br>
<br>
<br>
■サイズ　A3サイズ<br>
■アシッドフリー未確認<br>
<br>
<br>
※メール便ご指定の場合は半分に折りたたんでお届けいたします。<br>
あらかじめご了承くださいますようお願いいたします。<br>
紙の傷みが気になる方は宅配便をお選びください。<br>",【NEW!】エンボスフローラルシートA3サイズ　＜パープル（♯85-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW!】エンボスフローラルシートA3サイズ　＜パープル（♯85-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※,　。【NEW!】エンボスフローラルシートA3サイズ　＜パープル（♯85-14）＞　エンボスシート　ペーパーインテリジェンス　※メール便指定の場合はA4サイズに折りたたんでお届け※[rn]
17-100583,http://tshop.r10s.jp/voice/cabinet/bungu2/bmden.jpg?fitin=700:700,1555.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,デコパッチの本　デコパッチブックインテリア（洋書）＜メール便指定OK＞,　,"デコパッチの作品アイデアや作り方が満載の１冊です。<br>
    洋書ですが、全ページカラーの写真が豊富に載っているので、眺めているだけで使い方がたくさん学べます。<br>商品サイズ　220×194mm<br>
オールカラー　47ページ<br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
※メール便についてはこちらもご確認下さい",デコパッチの本　デコパッチブックインテリア（洋書）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨デコパッチの本　デコパッチブックインテリア（洋書）＜メール便指定OK＞,　。デコパッチの本　デコパッチブックインテリア（洋書）＜メール便指定OK＞[rn]
17-100584,http://tshop.r10s.jp/voice/cabinet/bungu2/bmaen.jpg?fitin=700:700,1555.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,デコパッチの本　デコパッチブック　アクセサリー（洋書）＜メール便指定OK＞,　,"デコパッチの作品アイデアや作り方が満載の１冊です。<br>
    洋書ですが、全ページカラーの写真が豊富に載っているので、眺めているだけで使い方がたくさん学べます。<br>商品サイズ　220×194mm<br>
オールカラー　47ページ<br>
<br>
<br>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
※メール便についてはこちらもご確認下さい",デコパッチの本　デコパッチブック　アクセサリー（洋書）＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨デコパッチの本　デコパッチブック　アクセサリー（洋書）＜メール便指定OK＞,　。デコパッチの本　デコパッチブック　アクセサリー（洋書）＜メール便指定OK＞[rn]
17-100585,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-22-016.jpg?fitin=700:700,38.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,○本革レース15mm幅 ナチュラル/ST-15NA[牛革紐/革ひも/レザーひも],2160円以上で送料無料！,"アクセサリーやベルト、編みバッグなど幅広くお使いいただけます。<br><br>

◆色：ナチュラル<br>
◆幅（約）：15mm<br>
◆厚さ（約）：2mm<br>
◆素材：牛革<br>
<br>

★表示価格は10cm（税込）です。30cm以上、10cm単位でご注文ください。<br><br> 
・入力例：60cm→数量「6」、120cm→数量「12」<br><br>

※お客様のご注文数によりカットされた生地は再販売不能となりますので、不良品、商品違い以外のお客様都合での返品はお受けできません。　あらかじめご了承の上、ご注文ください。<br> 
※革素材は生産工程により、独特のニオイが残っていますので予めご了承ください。<br>
※現在の染色技術では色落ちは避けられませんので、取扱いにはくれぐれもご注意ください。<br>
※天然素材ですので繋ぎ目が入る場合がございますので、ご了承ください。<br>
※日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。また雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。また色が衣類に付くこともございますので十分ご注意ください。<br>
※色の見え方はモニタ環境によって変わります。よって実際の商品の色とは多少異なる場合がございます。",○本革レース15mm幅 ナチュラル/ST-15NA[牛革紐/革ひも/レザーひも]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン○本革レース15mm幅 ナチュラル/ST-15NA[牛革紐/革ひも/レザーひも],2160円以上で送料無料！。○本革レース15mm幅 ナチュラル/ST-15NA[牛革紐/革ひも/レザーひも][rn]
17-100586,http://tshop.r10s.jp/yuzawaya-2/cabinet/55/393-12-255_1.jpg?fitin=700:700,566.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,【店内全品ポイント5倍】○レザークラフト 革でつくる動物 ゾウ/4393[クラフト社/レザーアニマル/皮],2160円以上で送料無料！,"制作時間：30～40分（成形のみ）<br /><br />
水で湿らせて革を柔らかくし、指で曲げて成形します。乾かして固まったら完成です。お好みでクラフト染料やアクリル絵の具で着色します。<br />
本革を水で湿らせて曲げることで、立体的な動物ができあがります。道具が必要なく、誰でも簡単に作れるキットです。クラフト染料やアクリル絵の具を使えば、染色や着色も楽しめます。<br /><br />
◆作品サイズ：約全長9×奥行5×高さ3.5cm<br />
◆キット内容：型抜き済牛革、作り方説明書<br />
◆必要道具：水を入れる小皿、ティッシュ<br /><br />
※着色する場合には、作り方説明書記載の染料や筆などが必要です。<br />
※写真と実際の商品の色とは多少異なる場合があります。<br />",【店内全品ポイント5倍】○レザークラフト 革でつくる動物 ゾウ/4393[クラフト社/レザーアニマル/皮]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン【店内全品ポイント5倍】○レザークラフト 革でつくる動物 ゾウ/4393[クラフト社/レザーアニマル/皮],2160円以上で送料無料！。【店内全品ポイント5倍】○レザークラフト 革でつくる動物 ゾウ/4393[クラフト社/レザーアニマル/皮][rn]
17-100587,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-22-008.jpg?fitin=700:700,21.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,○本革レース6mm幅 ナチュラル/ST-6NA[牛革紐/革ひも/レザーひも],2160円以上で送料無料！,"アクセサリーやベルト、編みバッグなど幅広くお使いいただけます。<br><br>

◆色：ナチュラル<br>
◆幅（約）：6mm<br>
◆厚さ（約）：2mm<br>
◆素材：牛革<br>
<br>

★表示価格は10cm（税込）です。30cm以上、10cm単位でご注文ください。<br><br> 
・入力例：60cm→数量「6」、120cm→数量「12」<br><br>

※お客様のご注文数によりカットされた生地は再販売不能となりますので、不良品、商品違い以外のお客様都合での返品はお受けできません。　あらかじめご了承の上、ご注文ください。<br> 
※革素材は生産工程により、独特のニオイが残っていますので予めご了承ください。<br>
※現在の染色技術では色落ちは避けられませんので、取扱いにはくれぐれもご注意ください。<br>
※天然素材ですので繋ぎ目が入る場合がございますので、ご了承ください。<br>
※日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。また雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。また色が衣類に付くこともございますので十分ご注意ください。<br>
※色の見え方はモニタ環境によって変わります。よって実際の商品の色とは多少異なる場合がございます。",○本革レース6mm幅 ナチュラル/ST-6NA[牛革紐/革ひも/レザーひも]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン○本革レース6mm幅 ナチュラル/ST-6NA[牛革紐/革ひも/レザーひも],2160円以上で送料無料！。○本革レース6mm幅 ナチュラル/ST-6NA[牛革紐/革ひも/レザーひも][rn]
17-100588,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/222-03-019.jpg?fitin=700:700,890.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,【店内全品ポイント5倍】○河口 ニューロータリーポンチ/04-407[KAWAGUCHI 工具],2160円以上で送料無料！,"革、合成皮革などに6通りの丸アナが簡単に開けられます。<br><br>
◆1本入り<br>
◆材質…ハンドル：スチール、刃先：ハガネ、止め金：亜鉛ダイカスト、受け台：真鍮<br>
◆日本製<br><br>
※1.8mm～4.5mmに対応<br>
※生地への使用は向きません",【店内全品ポイント5倍】○河口 ニューロータリーポンチ/04-407[KAWAGUCHI 工具]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン【店内全品ポイント5倍】○河口 ニューロータリーポンチ/04-407[KAWAGUCHI 工具],2160円以上で送料無料！。【店内全品ポイント5倍】○河口 ニューロータリーポンチ/04-407[KAWAGUCHI 工具][rn]
17-100589,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-22-015.jpg?fitin=700:700,38.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,○本革レース15mm幅 茶/ST-15BR[牛革紐/革ひも/レザーひも],2160円以上で送料無料！,"アクセサリーやベルト、編みバッグなど幅広くお使いいただけます。<br><br>

◆色：茶
<br>
◆幅（約）：15mm<br>
◆厚さ（約）：2mm<br>
◆素材：牛革<br>
<br>

★表示価格は10cm（税込）です。30cm以上、10cm単位でご注文ください。<br><br> 
・入力例：60cm→数量「6」、120cm→数量「12」<br><br>

※お客様のご注文数によりカットされた生地は再販売不能となりますので、不良品、商品違い以外のお客様都合での返品はお受けできません。　あらかじめご了承の上、ご注文ください。<br> 
※革素材は生産工程により、独特のニオイが残っていますので予めご了承ください。<br>
※現在の染色技術では色落ちは避けられませんので、取扱いにはくれぐれもご注意ください。<br>
※天然素材ですので繋ぎ目が入る場合がございますので、ご了承ください。<br>
※日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。また雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。また色が衣類に付くこともございますので十分ご注意ください。<br>
※色の見え方はモニタ環境によって変わります。よって実際の商品の色とは多少異なる場合がございます。",○本革レース15mm幅 茶/ST-15BR[牛革紐/革ひも/レザーひも]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン○本革レース15mm幅 茶/ST-15BR[牛革紐/革ひも/レザーひも],2160円以上で送料無料！。○本革レース15mm幅 茶/ST-15BR[牛革紐/革ひも/レザーひも][rn]
17-100590,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-26-002.jpg?fitin=700:700,170.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,【店内全品ポイント5倍】◎丸牛レース 1.5mm×2m [革/アクセサリー/紐/レザー/皮],2160円以上で送料無料！,インドの本革紐を丸く加工した長尺レースはアクセサリー作りに最適です。<br>★サイズ（約）：1.5ｍｍ×2m<br>・現在の染色技術では色落ちは避けられませんので、取扱いにはくれぐれもご注意ください。<br>・天然素材ですので繋ぎ目が入る場合がございますのでご了承ください。<br>・日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。<br>・また雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。<br>・また衣類に付くこともございますので十分ご注意ください。<br>・モニターにより多少色合いが違う場合が御座います。予めご了承下さい。,【店内全品ポイント5倍】◎丸牛レース 1.5mm&times;2m [革/アクセサリー/紐/レザー/皮]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン【店内全品ポイント5倍】◎丸牛レース 1.5mm&times;2m [革/アクセサリー/紐/レザー/皮],2160円以上で送料無料！。【店内全品ポイント5倍】◎丸牛レース 1.5mm&times;2m [革/アクセサリー/紐/レザー/皮][rn]
17-100591,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-22-007.jpg?fitin=700:700,21.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,○本革レース6mm幅 茶/ST-6BR[牛革紐/革ひも/レザーひも],2160円以上で送料無料！,"アクセサリーやベルト、編みバッグなど幅広くお使いいただけます。<br><br>

◆色：茶
<br>
◆幅（約）：6mm<br>
◆厚さ（約）：2mm<br>
◆素材：牛革<br>
<br>

★表示価格は10cm（税込）です。30cm以上、10cm単位でご注文ください。<br><br> 
・入力例：60cm→数量「6」、120cm→数量「12」<br><br>

※お客様のご注文数によりカットされた生地は再販売不能となりますので、不良品、商品違い以外のお客様都合での返品はお受けできません。　あらかじめご了承の上、ご注文ください。<br> 
※革素材は生産工程により、独特のニオイが残っていますので予めご了承ください。<br>
※現在の染色技術では色落ちは避けられませんので、取扱いにはくれぐれもご注意ください。<br>
※天然素材ですので繋ぎ目が入る場合がございますので、ご了承ください。<br>
※日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。また雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。また色が衣類に付くこともございますので十分ご注意ください。<br>
※色の見え方はモニタ環境によって変わります。よって実際の商品の色とは多少異なる場合がございます。",○本革レース6mm幅 茶/ST-6BR[牛革紐/革ひも/レザーひも]：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン○本革レース6mm幅 茶/ST-6BR[牛革紐/革ひも/レザーひも],2160円以上で送料無料！。○本革レース6mm幅 茶/ST-6BR[牛革紐/革ひも/レザーひも][rn]
17-100592,http://tshop.r10s.jp/yuzawaya-2/cabinet/leather01/393-21-083.jpg?fitin=700:700,388.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,【店内全品ポイント5倍】◎ロービキコード22.8mx1mm/Tan/BTH25【革/アクセサリー/紐】,2160円以上で送料無料！,"ワックスが塗ってあることにより、結び目がしまりやすく、きれいに編むことができます。<br>
糸先がまとまりやすいことから、アクセサリーパーツなどで穴の小さい素材も通しやすい紐です。<br><br>

★長さ：約22.8m<br>
★太さ：約1mm<br>
★素材：ポリエステル<br>
★色：Tan
<br><br>


※日光・蛍光灯などが長時間当たる場所、高温多湿な場所には保管しないでください。雨や汗などによる濡れた状態でのご使用は変色・カビの原因になります。また衣類に付くこともございますので十分ご注意ください。
<br>
※モニターにより多少色合いが違う場合が御座います。予めご了承下さい。",【店内全品ポイント5倍】◎ロービキコード22.8mx1mm/Tan/BTH25【革/アクセサリー/紐】：手芸と生地のユザワヤ２号館,ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形UVレジン【店内全品ポイント5倍】◎ロービキコード22.8mx1mm/Tan/BTH25【革/アクセサリー/紐】,2160円以上で送料無料！。【店内全品ポイント5倍】◎ロービキコード22.8mx1mm/Tan/BTH25【革/アクセサリー/紐】[rn]
17-100593,http://tshop.r10s.jp/shugale/cabinet/craft_item/333770_a.jpg?fitin=700:700,185.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,クラフト　レザークラフト　用具　手縫糸　エスコード 麻手ぬい糸 中細 【メール便可】,革細工｜革手芸｜手縫い糸｜麻糸｜手縫い用糸｜麻手縫い｜,【 サイズ（約） 】 12×8×厚み1cm（パッケージサイズ）<br>糸の番手20/撚り数3×長さ30m、太さ0.8mm（サイズ）<br>【 内容量（約） 】 30m巻<br>【 材質 】 麻100％<br>【 発売元 】 カナガワ（株）<br><br>毛足が長く、丈夫でポピュラーな手縫い用の麻糸です。<br>ロウ引きしてご使用ください。,クラフト　レザークラフト　用具　手縫糸　エスコード 麻手ぬい糸 中細 【メール便可】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズクラフト　レザークラフト　用具　手縫糸　エスコード 麻手ぬい糸 中細 【メール便可】,革細工｜革手芸｜手縫い糸｜麻糸｜手縫い用糸｜麻手縫い｜。クラフト　レザークラフト　用具　手縫糸　エスコード 麻手ぬい糸 中細 【メール便可】[rn]
17-100594,http://tshop.r10s.jp/shugale/cabinet/craft_item/333917_a.jpg?fitin=700:700,1036.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,クラフト　レザークラフト　用具　ピュアホースオイル 100ml,革手芸｜革細工｜レザークラフト｜誠和｜セイワ｜,"【 サイズ（約） 】 直径5×8.5cm（パッケージサイズ）<br>【 内容量（約） 】 100ml<br>【 成分 】 無臭精製馬油100％<br>【 性質 】 ワックス系<br>【 発売元 】 SEIWA<br><br>最高品質の保革剤（馬油100％）<br>加脂剤の中では最大の浸透力。<br>潤いを与え、本来の革以上に蘇ります。<br>酸化、老化、汚れも防ぎ、細菌を包み込んでカビも防ぎます。<br>自然な風合いの仕上剤としても、手縫いの時の手あか汚れ防止としても人気。<br><br>柔らかい布に付け薄くていねいに塗り込みます。<br><br>
【　納期について　】<br>
レザー関連商品につきましては、ご注文のタイミングによっては、お取り寄せとなる場合がございます。メーカーに在庫が無く、海外より輸入品の場合は、1～2ヶ月お待ちいただくことがございます。予めご了承くださいませ。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/craft_item/333917_b.jpg"" width=""100%"">",クラフト　レザークラフト　用具　ピュアホースオイル 100ml：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズクラフト　レザークラフト　用具　ピュアホースオイル 100ml,革手芸｜革細工｜レザークラフト｜誠和｜セイワ｜。クラフト　レザークラフト　用具　ピュアホースオイル 100ml[rn]
17-100595,http://tshop.r10s.jp/shugale/cabinet/craft_item/333919_a.jpg?fitin=700:700,518.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,クラフト　レザークラフト　用具　ミンクオイル 45g,革手芸｜革細工｜レザークラフト｜誠和｜セイワ｜,"【 サイズ（約） 】 5×6.3×厚み6.3cm（パッケージサイズ）<br>【 内容量（約） 】 45g<br>【 成分 】 植物性油脂、ろう流動パラフィン<br>【 性質 】 ワックス系<br>【 発売元 】 SEIWA<br><br>皮革にオイル成分を加え、柔らかさとなめらかさを保つ、革製品の手入れ用乳液です。<br><br>
【　納期について　】<br>
レザー関連商品につきましては、ご注文のタイミングによっては、お取り寄せとなる場合がございます。メーカーに在庫が無く、海外より輸入品の場合は、1～2ヶ月お待ちいただくことがございます。予めご了承くださいませ。",クラフト　レザークラフト　用具　ミンクオイル 45g：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズクラフト　レザークラフト　用具　ミンクオイル 45g,革手芸｜革細工｜レザークラフト｜誠和｜セイワ｜。クラフト　レザークラフト　用具　ミンクオイル 45g[rn]
17-100596,http://tshop.r10s.jp/shugale/cabinet/craft_item/332544_a.jpg?fitin=700:700,604.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,クラフト　レザークラフト　副資材　バックル　２３６－３０（真ちゅう）　【メール便可】,レザークラフト｜,"メーカー：パーリィー<br>外形サイズ（約）：縦４０×横３９ｍｍ　革幅３０ｍｍ用　１個入り<br>素材：真ちゅう<br>カラー：ゴールドの真ちゅう色<br><br>ズッシリとした重みのある手作り感あふれるバックルです。
<br><br>
【　納期について　】<br>
レザー関連商品につきましては、ご注文のタイミングによっては、お取り寄せとなる場合がございます。メーカーに在庫が無く、海外より輸入品の場合は、1～2ヶ月お待ちいただくことがございます。予めご了承くださいませ。",クラフト　レザークラフト　副資材　バックル　２３６&minus;３０（真ちゅう）　【メール便可】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズクラフト　レザークラフト　副資材　バックル　２３６&minus;３０（真ちゅう）　【メール便可】,レザークラフト｜。クラフト　レザークラフト　副資材　バックル　２３６&minus;３０（真ちゅう）　【メール便可】[rn]
17-100597,http://tshop.r10s.jp/shugale/cabinet/craft_item/333834_a.jpg?fitin=700:700,1244.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > レザークラフト材料 > その他,レザークラフト　用具　道具　その他　スクリューパンチ レザークラフト,レザークラフト｜工具｜ツール｜スクリューポンチ｜丸穴｜,"【 サイズ（約） 】 18×7×厚み3cm（パッケージサイズ）<br>全長13cm（本体サイズ：ブレード部分含まず）、直径1.5、2.0、2.5、3.0、3.5、4.0mm（ブレード穴径）<br>【 材質 】 ハンドル：木/シャフト：真鍮/刃：カーボン鋼<br>【 生産国 】 中国<br>【 発売元 】 藤久（株）<br><br>レザークラフト、時計バンド、ベルト、皮革、ボール紙などの穴あけ用です。<br>押しこむ力で先端が回転し穴があきます。<br><br>※布や薄い紙などには使用できません。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/craft_item/333834_b.jpg"" width=""100%"">",レザークラフト　用具　道具　その他　スクリューパンチ レザークラフト：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズレザークラフト　用具　道具　その他　スクリューパンチ レザークラフト,レザークラフト｜工具｜ツール｜スクリューポンチ｜丸穴｜。レザークラフト　用具　道具　その他　スクリューパンチ レザークラフト[rn]
