9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12890,,93555.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-2700L】(4084641) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●最も故障が少なくて保守の容易な三相カゴ型誘導電動機（モーター）を使用した、超強力・高速回転のグラインダーです。<br>●電源には、240Hz/250Hzの高周波を提供する専用の高周波発生機またはマイコン制御によるインバータ電源装置を使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-2700L】(4084641) 受注単位1：クローバー資材館,『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-2700L】(4084641) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-2700L】(4084641) 受注単位1[rn]
9-12891,,5253.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　サイザルディスク　Φ１００　中仕上げ用　５個入【TSD-100 (5ｺｲﾘ)】(2616271) 受注単位1,(2616271),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●シャープな切れ味、美しい研磨ができます。<br>●油脂研磨剤（白棒）を使用して鉄鋼、ステンレス、アルミ、その他の中間研磨に使用します。<br>●サイザル（麻）と綿布の組み合わせです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　サイザルディスク　Φ１００　中仕上げ用　５個入【TSD-100 (5ｺｲﾘ)】(2616271) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　サイザルディスク　Φ１００　中仕上げ用　５個入【TSD-100 (5ｺｲﾘ)】(2616271) 受注単位1,(2616271)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　サイザルディスク　Φ１００　中仕上げ用　５個入【TSD-100 (5ｺｲﾘ)】(2616271) 受注単位1[rn]
9-12892,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531641.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４００＃【TSPA100-P#400 (5ｺｲﾘ)】(2612658) 受注単位1,(2612658),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするスポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボランダム）砥粒を使用、従来のPVAに比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４００＃【TSPA100-P#400 (5ｺｲﾘ)】(2612658) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４００＃【TSPA100-P#400 (5ｺｲﾘ)】(2612658) 受注単位1,(2612658)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４００＃【TSPA100-P#400 (5ｺｲﾘ)】(2612658) 受注単位1[rn]
9-12893,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531651.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４６＃【TSPA100-P#46 (5ｺｲﾘ)】(2612623) 受注単位1,(2612623),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするスポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボランダム）砥粒を使用、従来のPVAに比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４６＃【TSPA100-P#46 (5ｺｲﾘ)】(2612623) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４６＃【TSPA100-P#46 (5ｺｲﾘ)】(2612623) 受注単位1,(2612623)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　非金属用　Φ１００　５個入　４６＃【TSPA100-P#46 (5ｺｲﾘ)】(2612623) 受注単位1[rn]
9-12894,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531570.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　１２０＃【TSPA100-B#120 (5ｺｲﾘ)】(2612534) 受注単位1,(2612534),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするブルースポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボンランダム）+WA（ホワイトアランダム）砥粒を使用、従来品に比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　１２０＃【TSPA100-B#120 (5ｺｲﾘ)】(2612534) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　１２０＃【TSPA100-B#120 (5ｺｲﾘ)】(2612534) 受注単位1,(2612534)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　１２０＃【TSPA100-B#120 (5ｺｲﾘ)】(2612534) 受注単位1[rn]
9-12895,,8827.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスク　Φ１００　ウレタン樹脂製中仕上げ研磨用　５入【SP100C3 (5ｺｲﾘ)】(1758560) 受注単位1,(1758560),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●シングルアクションサンダーで使用してもダブルアクションサンダー並みの美しい仕上がりで、板金作業を大幅に短縮します。<br>●特殊発泡素材のクッション体が研磨面に均一に接触するため、フェザータッチでの研磨が可能です。<br>●砥粒と特殊発泡素材が摩耗と再生をくり返すため、目づまりしません。<br>●粒度#60（仕上がり面#180～#240相当）です。<br>●ウレタン樹脂製中仕上げ研磨用です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスク　Φ１００　ウレタン樹脂製中仕上げ研磨用　５入【SP100C3 (5ｺｲﾘ)】(1758560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスク　Φ１００　ウレタン樹脂製中仕上げ研磨用　５入【SP100C3 (5ｺｲﾘ)】(1758560) 受注単位1,(1758560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスク　Φ１００　ウレタン樹脂製中仕上げ研磨用　５入【SP100C3 (5ｺｲﾘ)】(1758560) 受注単位1[rn]
9-12896,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531611.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　８００＃【TSPA100-B#800 (5ｺｲﾘ)】(2612569) 受注単位1,(2612569),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするブルースポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボンランダム）+WA（ホワイトアランダム）砥粒を使用、従来品に比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　８００＃【TSPA100-B#800 (5ｺｲﾘ)】(2612569) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　８００＃【TSPA100-B#800 (5ｺｲﾘ)】(2612569) 受注単位1,(2612569)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　８００＃【TSPA100-B#800 (5ｺｲﾘ)】(2612569) 受注単位1[rn]
9-12897,,8951.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イチグチ/サイザルＨＧバフディスク　９０Ｘ１５【SHGB9015】(3972852) 受注単位5,作業用品\研削研磨用品\ウレタンディスク,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●回転熱によるヤケをおさえる構造で下地研磨に最適です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イチグチ/サイザルＨＧバフディスク　９０Ｘ１５【SHGB9015】(3972852) 受注単位5：クローバー資材館,『カード対応OK！』■〒イチグチ/サイザルＨＧバフディスク　９０Ｘ１５【SHGB9015】(3972852) 受注単位5,作業用品\研削研磨用品\ウレタンディスク。『カード対応OK！』■〒イチグチ/サイザルＨＧバフディスク　９０Ｘ１５【SHGB9015】(3972852) 受注単位5[rn]
9-12898,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531580.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　２４０＃【TSPA100-B#240 (5ｺｲﾘ)】(2612542) 受注単位1,(2612542),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするブルースポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボンランダム）+WA（ホワイトアランダム）砥粒を使用、従来品に比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　２４０＃【TSPA100-B#240 (5ｺｲﾘ)】(2612542) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　２４０＃【TSPA100-B#240 (5ｺｲﾘ)】(2612542) 受注単位1,(2612542)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　２４０＃【TSPA100-B#240 (5ｺｲﾘ)】(2612542) 受注単位1[rn]
9-12899,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004531590.jpg?fitin=700:700,4856.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　４００＃【TSPA100-B#400 (5ｺｲﾘ)】(2612551) 受注単位1,(2612551),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●弾力性に優れたポリビニールアルコール（PVA）を原料とするブルースポンジ状研磨砥石で、適度な弾性により美しい仕上げ面が得られます。<br>●GC（グリーンカーボンランダム）+WA（ホワイトアランダム）砥粒を使用、従来品に比べ、樹脂を厳選しました。<br>●耐久性がアップし美しく安定した研磨面が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　４００＃【TSPA100-B#400 (5ｺｲﾘ)】(2612551) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　４００＃【TSPA100-B#400 (5ｺｲﾘ)】(2612551) 受注単位1,(2612551)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトパワーディスクα　金属用　Φ１００　５個入　４００＃【TSPA100-B#400 (5ｺｲﾘ)】(2612551) 受注単位1[rn]
9-12900,,10205.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスク　Φ１００Ｘ１０Ｘ１６　艶出し研磨用　５個入【GF100 (5ｺｲﾘ)】(1758306) 受注単位1,(1758306),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ノンクロム系油脂研磨剤を含浸させた羊毛フェルトディスクでそのまま鏡面光沢出しができます。<br>●研磨剤を付着する手間が省けます。<br>●クッション機能を加えたあたりがソフトな高級品です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスク　Φ１００Ｘ１０Ｘ１６　艶出し研磨用　５個入【GF100 (5ｺｲﾘ)】(1758306) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスク　Φ１００Ｘ１０Ｘ１６　艶出し研磨用　５個入【GF100 (5ｺｲﾘ)】(1758306) 受注単位1,(1758306)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスク　Φ１００Ｘ１０Ｘ１６　艶出し研磨用　５個入【GF100 (5ｺｲﾘ)】(1758306) 受注単位1[rn]
9-12901,,6096.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスクα　Φ１００　艶出し研磨用　５個入【TPDA-100 (5ﾏｲｲﾘ)】(2612500) 受注単位1,(2612500),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ノンクロム系油脂研磨剤を含浸させたブルーの羊毛フェルトディスクでそのまま鏡面光沢出しができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスクα　Φ１００　艶出し研磨用　５個入【TPDA-100 (5ﾏｲｲﾘ)】(2612500) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスクα　Φ１００　艶出し研磨用　５個入【TPDA-100 (5ﾏｲｲﾘ)】(2612500) 受注単位1,(2612500)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ポリディスクα　Φ１００　艶出し研磨用　５個入【TPDA-100 (5ﾏｲｲﾘ)】(2612500) 受注単位1[rn]
9-12902,,6944.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒柳瀬/ヤナセ　ＳＧサイザルディスク【SG-SD100】(3030059) 受注単位5,作業用品\研削研磨用品\ウレタンディスク,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●セービング式でワンタッチ簡単取り付けです。センターキャップをグラインダーに取り付けたまま、ワンタッチでディスクのみ交換できます。<br>●研磨剤（青棒、白棒など）を塗布してご使用ください。<br>●サイザル麻の長大な繊維を生かし、粗面でもある程度の鏡面に近づけることができます。<br>●良質な麻でシャープな切れ味です。熱放散性にも優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒柳瀬/ヤナセ　ＳＧサイザルディスク【SG-SD100】(3030059) 受注単位5：クローバー資材館,『カード対応OK！』■〒柳瀬/ヤナセ　ＳＧサイザルディスク【SG-SD100】(3030059) 受注単位5,作業用品\研削研磨用品\ウレタンディスク。『カード対応OK！』■〒柳瀬/ヤナセ　ＳＧサイザルディスク【SG-SD100】(3030059) 受注単位5[rn]
