13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6682,,1768.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【SLV-100M】(8191306) ＴＲＵＳＣＯ ダクタイルリードバイス専用めねじ 100mm 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●鋳鋼よりも強いダクタイル鋳鉄FCD450を採用しています。<br>
●ハンドルの頭はヘッティングがしてあり抜落ちません。<br>
●ゴム輪は作業者のケガを防ぎ、騒音を防ぎます。<br>
●回転台の取付けができます。<br>
●全長(mm):※<br>
●幅(mm):※<br>
●高さ(mm):※<br>
●口幅(mm):※<br>
●口開き(mm):※<br>
●口深さ(mm):※<br>
●取付寸法(mm)G:※<br>
●取付寸法(mm)H:※<br>
●締付力(kN):※<br>
●取付寸法(mm):※<br>
●適合機種:SLV-100N<br>
●シャフト・ハンドル・口金:鋼材",■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【SLV-100M】(8191306) ＴＲＵＳＣＯ ダクタイルリードバイス専用めねじ 100mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【SLV-100M】(8191306) ＴＲＵＳＣＯ ダクタイルリードバイス専用めねじ 100mm 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【SLV-100M】(8191306) ＴＲＵＳＣＯ ダクタイルリードバイス専用めねじ 100mm 発注単位1[rn]
13-6683,,154.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TVPL170-SP】(7922914) ＴＲＵＳＣＯ ロングノーズグリッププライヤ170mm用替バネ 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ロングノーズグリッププライヤの替バネです。<br>
●適合機種:TVPL-170",■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TVPL170-SP】(7922914) ＴＲＵＳＣＯ ロングノーズグリッププライヤ170mm用替バネ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TVPL170-SP】(7922914) ＴＲＵＳＣＯ ロングノーズグリッププライヤ170mm用替バネ 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TVPL170-SP】(7922914) ＴＲＵＳＣＯ ロングノーズグリッププライヤ170mm用替バネ 発注単位1[rn]
13-6684,,1067.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-08S0-2S】(7929412) 育良 下方押え型トグルクランプ ステンレスタイプ水平ハンドル(31110) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●ステンレスモデルです。<br>
●ストレートベースタイプです。<br>
●全長(mm):78.2<br>
●締付力(kN):0.3<br>
●付属ボルト径:M4×16（SUS）<br>
●クランプアーム移動角度(°):95<br>
●ハンドル操作角度(°):110<br>
●ステンレス<br>
●ねじ先端ゴム:ニトリルゴム<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-08S0-2S】(7929412) 育良 下方押え型トグルクランプ ステンレスタイプ水平ハンドル(31110) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-08S0-2S】(7929412) 育良 下方押え型トグルクランプ ステンレスタイプ水平ハンドル(31110) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-08S0-2S】(7929412) 育良 下方押え型トグルクランプ ステンレスタイプ水平ハンドル(31110) 発注単位1[rn]
13-6685,,709.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒角利産業/ＫＡＫＵＲＩ 木工用のこ【13711】(7848196) ＫＡＫＵＲＩ 真鍮ハタガネ 300mm 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●板の重ね切りの際や板のつなぎ合わせの際ののり止め押えに最適です。<br>
●全長(mm):310<br>
●最大口開き(mm):275<br>
●フレーム寸法(mm)A:5<br>
●フレーム寸法(mm)B:5<br>
●フトコロ(mm):13<br>
●真鍮",■〒角利産業/ＫＡＫＵＲＩ 木工用のこ【13711】(7848196) ＫＡＫＵＲＩ 真鍮ハタガネ 300mm 発注単位1：クローバー資材館,■〒角利産業/ＫＡＫＵＲＩ 木工用のこ【13711】(7848196) ＫＡＫＵＲＩ 真鍮ハタガネ 300mm 発注単位1,作業用品\クランプ・バイス。■〒角利産業/ＫＡＫＵＲＩ 木工用のこ【13711】(7848196) ＫＡＫＵＲＩ 真鍮ハタガネ 300mm 発注単位1[rn]
13-6686,,233.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR150NS】(7611552) ステンレスバイスＴＳＵＢＲ－１５０用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＳＵＢＲ－１５０用　口金用ねじセットです。<br><br><br>●適合機種：TSUBR-150<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR150NS】(7611552) ステンレスバイスＴＳＵＢＲ&minus;１５０用　口金用ねじセット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR150NS】(7611552) ステンレスバイスＴＳＵＢＲ&minus;１５０用　口金用ねじセット 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TSUBR150NS】(7611552) ステンレスバイスＴＳＵＢＲ&minus;１５０用　口金用ねじセット 受注単位1[rn]
13-6687,,816.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-FA1500】(7929862) 育良 引き止め専用型トグルクランプ(31503) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプです。<br>
●調整量(mm):12<br>
●引圧力(kN):3.0<br>
●本体全長(mm):154<br>
●スチール",■〒育良精機/育良 パンチャー【ISK-FA1500】(7929862) 育良 引き止め専用型トグルクランプ(31503) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-FA1500】(7929862) 育良 引き止め専用型トグルクランプ(31503) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-FA1500】(7929862) 育良 引き止め専用型トグルクランプ(31503) 発注単位1[rn]
13-6688,,1084.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-38CL0】(7929498) 育良 下方押え型トグルクランプ 水平ハンドル(31208) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●側面取付タイプです。<br>
●全長(mm):248<br>
●締付力(kN):2.8<br>
●付属ボルト径:M8×65<br>
●クランプアーム移動角度(°):80<br>
●ハンドル操作角度(°):80<br>
●スチール<br>
●2Sはステンレスタイプです。",■〒育良精機/育良 パンチャー【ISK-38CL0】(7929498) 育良 下方押え型トグルクランプ 水平ハンドル(31208) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-38CL0】(7929498) 育良 下方押え型トグルクランプ 水平ハンドル(31208) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-38CL0】(7929498) 育良 下方押え型トグルクランプ 水平ハンドル(31208) 発注単位1[rn]
13-6689,,250.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【NEJIL】(8191320) ＴＲＵＳＣＯ リードバイス 200mm 専用口金固定用ねじ 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●強力な締め付け力を保持する強靭なボディーです。<br>
●適合機種:LV-200N",■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【NEJIL】(8191320) ＴＲＵＳＣＯ リードバイス 200mm 専用口金固定用ねじ 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【NEJIL】(8191320) ＴＲＵＳＣＯ リードバイス 200mm 専用口金固定用ねじ 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ 作業用バイスＣ【NEJIL】(8191320) ＴＲＵＳＣＯ リードバイス 200mm 専用口金固定用ねじ 発注単位1[rn]
13-6690,,907.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒大阪角田興業/角田 クランプ【KC-HV151B】(8086873) 角田 ハンドル立型トグルクランプ Ｎｏ．ＨＶ151Ｂ 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ストレートベースタイプです。<br>
●ナイロン被仕上げボルトを使用しています。<br>
●全長(mm):89<br>
●付属ボルト径:M4×28（ナイロン被ボルト）<br>
●クランプアーム移動角度(°):105<br>
●ハンドル操作角度(°):60<br>
●製品刻印:HV151B<br>
●締圧力(kN):0.45<br>
●摘要:△<br>
●取付ピッチ(mm):15.9<br>
●全高(mm):89<br>
●締圧力(kn):0.45<br>
●下方押え型<br>
●ハンドル立型<br>
●SS400<br>
●M4×28 ナイロン被ボルト<br>
●ナット２個<br>
●座金２枚<br>
●表記の締圧力は目安です。<br>
●締圧力はクランプアームの先端へ行くほど弱くなります。<br>
●衝撃や振動、内圧は、破損の原因になりますのでご注意ください。<br>
●手を挟まないように注意してください。",■〒大阪角田興業/角田 クランプ【KC-HV151B】(8086873) 角田 ハンドル立型トグルクランプ Ｎｏ．ＨＶ151Ｂ 発注単位1：クローバー資材館,■〒大阪角田興業/角田 クランプ【KC-HV151B】(8086873) 角田 ハンドル立型トグルクランプ Ｎｏ．ＨＶ151Ｂ 発注単位1,作業用品\クランプ・バイス。■〒大阪角田興業/角田 クランプ【KC-HV151B】(8086873) 角田 ハンドル立型トグルクランプ Ｎｏ．ＨＶ151Ｂ 発注単位1[rn]
13-6691,,3421.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-450】(8188071) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 450mm 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●フトコロが深く、アングル越しの溶接位置決め、作業に適しています。<br>
●板金、溶接作業に。<br>
●全長(mm):450<br>
●口開き(mm)角材最大:※<br>
●口開き(mm)パイプ最大:※<br>
●最大締圧力(kN):1.0<br>
●最大口開き(mm):120<br>
●アゴ深さA(mm):225<br>
●アゴ深さB(mm):107<br>
●ナット付",■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-450】(8188071) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 450mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-450】(8188071) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 450mm 発注単位1,作業用品\クランプ・バイス。■〒トラスコ中山/ＴＲＵＳＣＯ プライヤ【TGPC-450】(8188071) ＴＲＵＳＣＯ Ｃ型グリッププライヤー 450mm 発注単位1[rn]
13-6692,,2279.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【YV-75SK】(7611919) ヤンキーバイス　ＹＶ－７５Ｓ用　口金セット 受注単位1,作業用品\クランプ・バイス\バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＹＶ－７５Ｓ用　口金セットです。<br><br><br>●適合機種：YV-75S<br><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【YV-75SK】(7611919) ヤンキーバイス　ＹＶ&minus;７５Ｓ用　口金セット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【YV-75SK】(7611919) ヤンキーバイス　ＹＶ&minus;７５Ｓ用　口金セット 受注単位1,作業用品\クランプ・バイス\バイス。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【YV-75SK】(7611919) ヤンキーバイス　ＹＶ&minus;７５Ｓ用　口金セット 受注単位1[rn]
13-6693,,953.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【VP-125】(7607750) グリッププライヤ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●パイプや丸物のクランプに最適です。<br>●ワイヤーカッターとして使用できます。<br><br><br>●全長(mm)：143<br>●最大口開き(mm)：25<br>●最大口開き(mm)角材：25<br>●最大口開き(mm)パイプ：25<br>●切断可能軟鉄線サイズ(mm)：φ1.2<br>●頭部厚(mm)：7.5<br><br><br>●構造用鋼<br>",『カード対応OK！』■〒ＴＯＮＥ【VP-125】(7607750) グリッププライヤ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【VP-125】(7607750) グリッププライヤ 受注単位1,作業用品\クランプ・バイス\グリッププライヤー。『カード対応OK！』■〒ＴＯＮＥ【VP-125】(7607750) グリッププライヤ 受注単位1[rn]
13-6694,,5132.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-51MB0】(7929803) 育良 横押し型トグルクランプ(31454) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプ<br>
●全長(mm):195<br>
●付属ボルト径:M12×50<br>
●ハンドル操作角度(°):115<br>
●ストローク(mm):43<br>
●押圧力(kN):3.0<br>
●スチール",■〒育良精機/育良 パンチャー【ISK-51MB0】(7929803) 育良 横押し型トグルクランプ(31454) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-51MB0】(7929803) 育良 横押し型トグルクランプ(31454) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-51MB0】(7929803) 育良 横押し型トグルクランプ(31454) 発注単位1[rn]
13-6695,,3036.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2427D-160】(4979141) ロングラウンドノーズプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ノーズプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端が細く曲がっているため、狭所での作業に最適です。<br><br><br>●全長(mm)：160<br>●A(mm)：46<br><br><br>●特殊合金<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2427D-160】(4979141) ロングラウンドノーズプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2427D-160】(4979141) ロングラウンドノーズプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ノーズプライヤー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2427D-160】(4979141) ロングラウンドノーズプライヤー 受注単位1[rn]
13-6696,,5984.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【8161】(4980425) 電子斜めニッパー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電気・電子用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●静電気帯電防止（ＥＳＤ）仕様です。<br>●先端硬度６３～６５ＨＲＣです。<br><br><br>●切断能力(mm)銅線：φ0.3～2.0<br>●全長(mm)：125<br>●刃表面形状：フラッシュ刃<br><br>●ばね付<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【8161】(4980425) 電子斜めニッパー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【8161】(4980425) 電子斜めニッパー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパ電気・電子用。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【8161】(4980425) 電子斜めニッパー 受注単位1[rn]
13-6697,,5067.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【113BSLD2.3-125】(7917406) ビクター ダストニッパ寸切り(収納筒付)(ソフトカバ－付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●リード屑の飛散を防止するダスト収納筒つきで基板製品の不良原因を解消します。<br>
●リード線の切り残しの長さを揃えることができます。<br>
●全長(mm):126<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:2<br>
●定寸切(mm):φ2.3<br>
●セミフラッシュ刃<br>
●ばね付<br>
●構造用炭素鋼<br>
●硬線は切断できません。",■〒フジ矢/ビクター ペンチ【113BSLD2.3-125】(7917406) ビクター ダストニッパ寸切り(収納筒付)(ソフトカバ&minus;付) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【113BSLD2.3-125】(7917406) ビクター ダストニッパ寸切り(収納筒付)(ソフトカバ&minus;付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【113BSLD2.3-125】(7917406) ビクター ダストニッパ寸切り(収納筒付)(ソフトカバ&minus;付) 発注単位1[rn]
13-6698,,2492.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2001-180】(7867441) ＫＮＩＰＥＸ 2001－180 平ペンチ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐摩耗性に優れ、ハードな使用に最適です。<br>
●つかみ面には滑り止めの横スジが入っています。<br>
●先端は平坦で、短く、幅広です。<br>
●全長(mm):180<br>
●厚み(mm):10.0<br>
●先端形状:平型<br>
●落下防止用ひも取付穴:無<br>
●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2001-180】(7867441) ＫＮＩＰＥＸ 2001&minus;180 平ペンチ 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2001-180】(7867441) ＫＮＩＰＥＸ 2001&minus;180 平ペンチ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2001-180】(7867441) ＫＮＩＰＥＸ 2001&minus;180 平ペンチ 発注単位1[rn]
13-6699,,2008.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【110BS-125】(8144669) ビクター マイクロニッパ(ソフトカバ－付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●頭部を小さくしているので細かい作業に適しています。<br>
●精密機器等の組立･修理から ﾎﾋﾞ-関係等。<br>
●全長(mm):126<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:φ2.0<br>
●セミフラッシュ刃<br>
●ばね付<br>
●構造用炭素鋼<br>
●硬線は切断できません。",■〒フジ矢/ビクター ペンチ【110BS-125】(8144669) ビクター マイクロニッパ(ソフトカバ&minus;付) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【110BS-125】(8144669) ビクター マイクロニッパ(ソフトカバ&minus;付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【110BS-125】(8144669) ビクター マイクロニッパ(ソフトカバ&minus;付) 発注単位1[rn]
13-6700,,1555.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【SP85LN】(8184338) ＫＡＨＡＲＡ カハラ 8．5ｉｎｃｈステンレスロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●錆びに強いブラックニッケル加工ステンレス製です。<br>
●手や爪を傷めない便利なリングオープナー付きです。<br>
●奥行のある作業場所に最適。<br>
●全長(mm):219<br>
●厚み(mm):12<br>
●サイズ（インチ）:8.5<br>
●色:　<br>
●タイプ:ステンレスロングノーズ<br>
●ステンレス<br>
●本品は非絶縁工具です。活線（通電してい線）の切断は感電する恐れがありますので、切断の際は電源を切ってからご使用ください。",■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【SP85LN】(8184338) ＫＡＨＡＲＡ カハラ 8．5ｉｎｃｈステンレスロングノーズプライヤー 発注単位1：クローバー資材館,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【SP85LN】(8184338) ＫＡＨＡＲＡ カハラ 8．5ｉｎｃｈステンレスロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【SP85LN】(8184338) ＫＡＨＡＲＡ カハラ 8．5ｉｎｃｈステンレスロングノーズプライヤー 発注単位1[rn]
