11-25501,,4628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：800<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：85<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43D 800】(4167538) 金型砥石　Ｃ（カーボン）　８００ 受注単位1[rn]
11-25584,,1055.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-750BM】(7673833) ＣＢＮインターナルバー円筒先丸　Φ５．０Ｘ刃長１０Ｘ軸３ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●頭頂部がR形状のため、穴あけや小さい穴のバリ取りなどの使用に向いています。<br>●ヌープ硬度約4700（ダイヤに次ぐ硬い物質）でCBNもダイヤモンドと同様に殆どの被削材に使用可能ですが、特に研削加工時に発熱が多く、炭素を含む金属類の被削材に最も適しています。<br><br>●Ｒ面研磨・面取り・バリ取り。<br><br>●粒度(#)：140/170<br>●刃径(mm)：5.0<br>●刃長(mm)：10<br>●軸径(mm)：3<br>●全長(mm)：45<br>●首下(mm)：-<br>●最高使用回転数(rpm)：55000<br><br>●刃径×刃長×全長：5.0×10×45mm<br>●軸径：3mm<br>●粒度：#140/170<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-750BM】(7673833) ＣＢＮインターナルバー円筒先丸　Φ５．０Ｘ刃長１０Ｘ軸３ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-750BM】(7673833) ＣＢＮインターナルバー円筒先丸　Φ５．０Ｘ刃長１０Ｘ軸３ｍｍ 受注単位1,作業用品\研削研磨用品\インターナルバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-750BM】(7673833) ＣＢＮインターナルバー円筒先丸　Φ５．０Ｘ刃長１０Ｘ軸３ｍｍ 受注単位1[rn]
11-25585,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004511722.jpg?fitin=700:700,667.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドインターナルバー　Φ５Ｘ刃長６Ｘ軸３　＃１２０【INT-050D】(1711377) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●シャンク径3mmです。<br>●ヌープ硬度約7000（地球上で最も硬い物質）で金属類、大理石、ガラスなど、ほとんどの被削材に使用可能です。特にセラミック材などの高硬度な被削材に最も適しています。しかし、ダイヤモンドは熱に対し弱いため、研削時の発熱が多い加工（HSSなど）には不向きです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドインターナルバー　Φ５Ｘ刃長６Ｘ軸３　＃１２０【INT-050D】(1711377) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドインターナルバー　Φ５Ｘ刃長６Ｘ軸３　＃１２０【INT-050D】(1711377) 受注単位1,(1711377)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ダイヤモンドインターナルバー　Φ５Ｘ刃長６Ｘ軸３　＃１２０【INT-050D】(1711377) 受注単位1[rn]
11-25586,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376768.jpg?fitin=700:700,1081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．７Ｘ軸３　首下７　＃３２５【THB-L007DF】(2995514) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●仕上げ加工・面取り用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．７Ｘ軸３　首下７　＃３２５【THB-L007DF】(2995514) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．７Ｘ軸３　首下７　＃３２５【THB-L007DF】(2995514) 受注単位1,(2995514)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．７Ｘ軸３　首下７　＃３２５【THB-L007DF】(2995514) 受注単位1[rn]
11-25587,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376748.jpg?fitin=700:700,1060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃２３０【THB-L008DMF】(2995433) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●粗加工・バリ取り・かえり除去用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃２３０【THB-L008DMF】(2995433) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃２３０【THB-L008DMF】(2995433) 受注単位1,(2995433)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃２３０【THB-L008DMF】(2995433) 受注単位1[rn]
11-25588,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376782.jpg?fitin=700:700,1070.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．６Ｘ軸３　首下４　＃３２５【THB-R006DF】(2995085) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●仕上げ加工・面取り用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．６Ｘ軸３　首下４　＃３２５【THB-R006DF】(2995085) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．６Ｘ軸３　首下４　＃３２５【THB-R006DF】(2995085) 受注単位1,(2995085)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．６Ｘ軸３　首下４　＃３２５【THB-R006DF】(2995085) 受注単位1[rn]
11-25589,,1712.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【AO-1006M】(4088531) ジーベックセラミック砥石　橙　＃４００　１００ｘ６ｘ１ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●「折れない」「割れない」「欠けない」、目づまりしません。<br>●面精度が均一です。<br><br>●超音波研磨機。<br>●往復、左右運動工具。(空気、電気）<br><br>●粒度(#)：400<br>●色：橙<br>●長さ(mm)：100<br>●幅(mm)：6<br>●厚み(mm)：1<br>●質量(g)：1.7<br><br><br>●アルミナ繊維<br>",『カード対応OK！』■〒大和製砥所/チェリー【AO-1006M】(4088531) ジーベックセラミック砥石　橙　＃４００　１００ｘ６ｘ１ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【AO-1006M】(4088531) ジーベックセラミック砥石　橙　＃４００　１００ｘ６ｘ１ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【AO-1006M】(4088531) ジーベックセラミック砥石　橙　＃４００　１００ｘ６ｘ１ 受注単位1[rn]
11-25590,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376772.jpg?fitin=700:700,1081.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃３２５【THB-L008DF】(2995522) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●仕上げ加工・面取り用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃３２５【THB-L008DF】(2995522) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃３２５【THB-L008DF】(2995522) 受注単位1,(2995522)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．８Ｘ軸３　首下７　＃３２５【THB-L008DF】(2995522) 受注単位1[rn]
11-25591,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376794.jpg?fitin=700:700,1070.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ１Ｘ軸３　首下４　＃３２５【THB-R010DF】(2995123) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●仕上げ加工・面取り用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ１Ｘ軸３　首下４　＃３２５【THB-R010DF】(2995123) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ１Ｘ軸３　首下４　＃３２５【THB-R010DF】(2995123) 受注単位1,(2995123)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ１Ｘ軸３　首下４　＃３２５【THB-R010DF】(2995123) 受注単位1[rn]
11-25592,,5248.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【M43D 800】(1218018) 金型砥石　ＹＴＭ　８００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●最終・鏡面仕上げ用です。<br>●磨き加工に最適な結合条件を備え、ガラス、非鉄金属にも使用可能です。粒度は色で識別できます。<br><br>●金型用研磨砥石、最終仕上げ、鏡面仕上げ用。<br><br>●粒度(#)：800<br>●色：桃色<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：3<br>●質量(g)：100<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【M43D 800】(1218018) 金型砥石　ＹＴＭ　８００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【M43D 800】(1218018) 金型砥石　ＹＴＭ　８００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【M43D 800】(1218018) 金型砥石　ＹＴＭ　８００ 受注単位1[rn]
11-25593,,15909.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C63F 2000】(4167732) 金型砥石　Ｃ（カーボン）　２０００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：2000<br>●色：ブルーグレー<br>●長さ(mm)：150<br>●幅(mm)：13<br>●厚み(mm)：5<br>●質量(g)：210<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C63F 2000】(4167732) 金型砥石　Ｃ（カーボン）　２０００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C63F 2000】(4167732) 金型砥石　Ｃ（カーボン）　２０００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C63F 2000】(4167732) 金型砥石　Ｃ（カーボン）　２０００ 受注単位1[rn]
11-25594,,885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725M】(7673787) ダイヤモンドインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●頭頂部がR形状のため、穴あけや小さい穴のバリ取りなどの使用に向いています。<br>●ヌープ硬度約7000（地球上で最も硬い物質）で金属類、大理石、ガラスなど、ほとんどの被削材に使用可能です。特にセラミック材などの高硬度な被削材に最も適しています。しかし、ダイヤモンドは熱に対し弱いため、研削時の発熱が多い加工（HSSなど）には不向きです。<br><br>●Ｒ面研磨・面取り・バリ取り。<br><br>●粒度(#)：140/170<br>●刃径(mm)：2.5<br>●刃長(mm)：12<br>●軸径(mm)：3<br>●全長(mm)：45<br>●首下(mm)：6<br>●最高使用回転数(rpm)：80000<br><br>●刃径×刃長×全長：2.5×12×45mm<br>●粒度：#140/170<br>●軸径：3mm<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725M】(7673787) ダイヤモンドインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725M】(7673787) ダイヤモンドインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1,作業用品\研削研磨用品\インターナルバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-725M】(7673787) ダイヤモンドインターナルバー円筒先丸　Φ２．５Ｘ刃長１２Ｘ軸３ｍｍ 受注単位1[rn]
11-25595,,7238.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【C43F 1000】(4167546) 金型砥石　Ｃ（カーボン）　１０００ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●中仕上げ、仕上げ用砥石です。<br>●乾式、湿式で使用できます。<br>●柔らかめの砥石です。<br>●＃120、＃180、＃240も製作可能です。<br><br>●金型研磨時のうねりとり。（シールビーム対策）<br>●ダイヤモンドペースト使用前の研磨。<br>●金型用研磨砥石。<br><br>●粒度(#)：1000<br>●色：ブルーグレー<br>●長さ(mm)：100<br>●幅(mm)：13<br>●厚み(mm)：5<br>●質量(g)：144<br><br><br>●原料（Ｓｉｃ）<br>●結合剤（ＳｉＯ２）<br>",『カード対応OK！』■〒大和製砥所/チェリー【C43F 1000】(4167546) 金型砥石　Ｃ（カーボン）　１０００ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【C43F 1000】(4167546) 金型砥石　Ｃ（カーボン）　１０００ 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【C43F 1000】(4167546) 金型砥石　Ｃ（カーボン）　１０００ 受注単位1[rn]
11-25596,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004376792.jpg?fitin=700:700,1070.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．９Ｘ軸３　首下４　＃３２５【THB-R009DF】(2995115) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●仕上げ加工・面取り用です。<br>●特殊高硬度処理ステンレスシャンクにより、しっかりとした手応えと、しなやかさを兼ね備えたシャンクを実現します。<br>●表層硬度（Hv1000以上）を超硬並に近づけることにより、変形や折損を大幅に低減します。<br>●弾力性のアップにより、折損しにくいシャンクを実現します。<br>●シャンクの曲がりが少ないため、精密加工が可能です。<br>●高荷重での作業が可能なため、加工時間が大幅に短縮します。<br>●従来品に比べ、約2倍の圧力での加工が可能です。（当社比）",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．９Ｘ軸３　首下４　＃３２５【THB-R009DF】(2995115) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．９Ｘ軸３　首下４　＃３２５【THB-R009DF】(2995115) 受注単位1,(2995115)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハイエンドブラックダイヤバー　Φ０．９Ｘ軸３　首下４　＃３２５【THB-R009DF】(2995115) 受注単位1[rn]
11-25597,,2407.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【M8】(1214039) 油砥石　角　Ａ中目 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強靭な材質のA砥粒を主原料として作られています。<br><br>●鉄や鋼など抗張力の高いもののバリ取りや取りシロの多い粗仕上げに最適。<br><br>●タイプ：A中目<br>●形状：角<br>●長さ(mm)：205<br>●幅(mm)：50<br>●厚み(mm)：25<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【M8】(1214039) 油砥石　角　Ａ中目 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【M8】(1214039) 油砥石　角　Ａ中目 受注単位1,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【M8】(1214039) 油砥石　角　Ａ中目 受注単位1[rn]
11-25598,,736.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-715M】(7673744) ダイヤモンドインターナルバー円筒先丸　Φ１．５Ｘ刃長６Ｘ軸３ｍｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●頭頂部がR形状のため、穴あけや小さい穴のバリ取りなどの使用に向いています。<br>●ヌープ硬度約7000（地球上で最も硬い物質）で金属類、大理石、ガラスなど、ほとんどの被削材に使用可能です。特にセラミック材などの高硬度な被削材に最も適しています。しかし、ダイヤモンドは熱に対し弱いため、研削時の発熱が多い加工（HSSなど）には不向きです。<br><br>●Ｒ面研磨・面取り・バリ取り。<br><br>●粒度(#)：140/170<br>●刃径(mm)：1.5<br>●刃長(mm)：6<br>●軸径(mm)：3<br>●全長(mm)：45<br>●首下(mm)：5<br>●最高使用回転数(rpm)：80000<br><br>●刃径×刃長×全長：1.5×6×45mm<br>●粒度：#140/170<br>●軸径：3mm<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-715M】(7673744) ダイヤモンドインターナルバー円筒先丸　Φ１．５Ｘ刃長６Ｘ軸３ｍｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-715M】(7673744) ダイヤモンドインターナルバー円筒先丸　Φ１．５Ｘ刃長６Ｘ軸３ｍｍ 受注単位1,作業用品\研削研磨用品\インターナルバー。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【T3-715M】(7673744) ダイヤモンドインターナルバー円筒先丸　Φ１．５Ｘ刃長６Ｘ軸３ｍｍ 受注単位1[rn]
11-25599,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004511737.jpg?fitin=700:700,784.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバー　Φ５．５Ｘ刃長６Ｘ軸３　＃１２０【INT-055】(1319132) 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●シャンク径3mmです。<br>●ヌープ硬度約4700（ダイヤに次ぐ硬い物質）でCBNもダイヤモンドと同様に殆どの被削材に使用可能ですが、特に研削加工時に発熱が多く、炭素を含む金属類の被削材に最も適しています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバー　Φ５．５Ｘ刃長６Ｘ軸３　＃１２０【INT-055】(1319132) 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバー　Φ５．５Ｘ刃長６Ｘ軸３　＃１２０【INT-055】(1319132) 受注単位1,(1319132)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ボラゾンインターナルバー　Φ５．５Ｘ刃長６Ｘ軸３　＃１２０【INT-055】(1319132) 受注単位1[rn]
11-25600,,11022.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大和製砥所/チェリー【F405R】(1213423) スティック油砥石　丸 受注単位10,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●強靭な材質のA砥粒を主原料として作られています。<br>●スティックタイプなので狭い場所でも使用可能です。<br><br>●鉄や鋼など抗張力の高いもののバリ取りや取りシロの多い粗仕上げに最適。<br><br>●タイプ：A細<br>●形状：丸<br>●長さ(mm)：100<br>●幅(mm)：16<br>●厚み(mm)：16<br><br><br>",『カード対応OK！』■〒大和製砥所/チェリー【F405R】(1213423) スティック油砥石　丸 受注単位10：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒大和製砥所/チェリー【F405R】(1213423) スティック油砥石　丸 受注単位10,作業用品\研削研磨用品\砥石。『カード対応OK！』■〒大和製砥所/チェリー【F405R】(1213423) スティック油砥石　丸 受注単位10[rn]
