6-12103,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863633.jpg?fitin=700:700,981.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　強力型プライヤ　２００ｍｍ【P200 (EC-200) (200MM)】(1249479) 受注単位1,作業用品\作業工具\プライヤー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●サビにくく、耐久性に優れた定番プライヤーです。<br>●ガタつきがなくしっかりホールドします。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ロブテックス/エビ　強力型プライヤ　２００ｍｍ【P200 (EC-200) (200MM)】(1249479) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　強力型プライヤ　２００ｍｍ【P200 (EC-200) (200MM)】(1249479) 受注単位1,作業用品\作業工具\プライヤー。『カード対応OK！』■〒ロブテックス/エビ　強力型プライヤ　２００ｍｍ【P200 (EC-200) (200MM)】(1249479) 受注単位1[rn]
6-12186,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005197577.jpg?fitin=700:700,7480.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　インパクト用ロングソケットセット（ホルダー付）　６ｐｃｓ【HNV406L】(3876578) 受注単位1,作業用品\作業工具\インパクト用ソケットレンチ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●外観品質の向上と防錆力向上を図り、表面処理を無電解メッキにしました。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　インパクト用ロングソケットセット（ホルダー付）　６ｐｃｓ【HNV406L】(3876578) 受注単位1：クローバー資材館,『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　インパクト用ロングソケットセット（ホルダー付）　６ｐｃｓ【HNV406L】(3876578) 受注単位1,作業用品\作業工具\インパクト用ソケットレンチ。『カード対応OK！』■〒前田金属工業/ＴＯＮＥ　インパクト用ロングソケットセット（ホルダー付）　６ｐｃｓ【HNV406L】(3876578) 受注単位1[rn]
6-12187,,460.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZDS-65】(7624662) 絶縁差替式ドライバー（マグネット入り）　（－６．５Ｘ１００ｍｍ） 受注単位1,作業用品\絶縁・防爆工具\ドライバー（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●グリップは人間工学デザイン採用で、つかみやすさとフィット感を実現しています。<br><br>●電気・通信設備工事などの作業に適しています。<br><br>●軸長(mm)：150<br>●全長(mm)：220<br>●刃先：[[(-)]]6.5<br>●シャンク径(mm)：9.0<br>●質量(g)：20<br><br>●軸部は全面焼入れ処理。<br>●刃先：マグネット入り<br><br>●特殊鋼（ＳＶＣＭ＋）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZDS-65】(7624662) 絶縁差替式ドライバー（マグネット入り）　（&minus;６．５Ｘ１００ｍｍ） 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZDS-65】(7624662) 絶縁差替式ドライバー（マグネット入り）　（&minus;６．５Ｘ１００ｍｍ） 受注単位1,作業用品\絶縁・防爆工具\ドライバー（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZDS-65】(7624662) 絶縁差替式ドライバー（マグネット入り）　（&minus;６．５Ｘ１００ｍｍ） 受注単位1[rn]
6-12188,,2152.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200】(7623399) 絶縁ペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●ハンドル部は安全を目視で確認できるセーフティーサイン仕様です。<br>●電気工事などに最適なスタンダードペンチです。<br>350<br><br>●全長(mm)：200<br>●切断能力(mm)硬線：1.6<br>●質量(g)：350<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200】(7623399) 絶縁ペンチ　２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200】(7623399) 絶縁ペンチ　２００ｍｍ 受注単位1,作業用品\絶縁・防爆工具\ペンチ・ニッパ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZP-200】(7623399) 絶縁ペンチ　２００ｍｍ 受注単位1[rn]
6-12189,,1404.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-20S】(7624239) 絶縁ソケット（６角）　差込角９．５　対辺２０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：20<br>●差込角(mm)：9.5<br>●全長(mm)：46<br>●質量(g)：62<br><br>●クロムメッキ仕上げ<br>●クロムメッキ仕上げ<br><br>●クロムバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-20S】(7624239) 絶縁ソケット（６角）　差込角９．５　対辺２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-20S】(7624239) 絶縁ソケット（６角）　差込角９．５　対辺２０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-20S】(7624239) 絶縁ソケット（６角）　差込角９．５　対辺２０ｍｍ 受注単位1[rn]
6-12190,,25435.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D24MM】(4985834) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２４ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用スタンダードタイプの六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：24<br>●全長(mm)：38<br>●質量(g)：225<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D24MM】(4985834) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D24MM】(4985834) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２４ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D24MM】(4985834) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２４ｍｍ 受注単位1[rn]
6-12191,,5975.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZD-10S】(7623755) 絶縁ドライバー（マグネット入り）１０本セット 受注単位1,作業用品\絶縁・防爆工具\ドライバー（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●人間工学に基づいたグリップデザインを採用。<br>●セーフティーサイン付です。<br><br>●電気・通信設備工事などの作業に適しています。<br><br>●セット内容(本)：10<br>●セット内容：TZD-2.5-75、TZD-3-100、TZD-4-100、TZD-5.5-125、TZD-6.5-150、TZD-8-175、TZD-0-60、TZD-1-80、TZD-2-100、TZD-3-150<br>●質量(g)：354<br><br>●軸部は全面焼入れ処理。<br>●刃先：マグネット入り<br><br>●特殊鋼（ＳＶＣＭ＋）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZD-10S】(7623755) 絶縁ドライバー（マグネット入り）１０本セット 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZD-10S】(7623755) 絶縁ドライバー（マグネット入り）１０本セット 受注単位1,作業用品\絶縁・防爆工具\ドライバー（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZD-10S】(7623755) 絶縁ドライバー（マグネット入り）１０本セット 受注単位1[rn]
6-12192,,30764.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D20MM】(4985559) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用ディープタイプ六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：20<br>●全長(mm)：75<br>●質量(g)：320<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D20MM】(4985559) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D20MM】(4985559) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D20MM】(4985559) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺２０ｍｍ 受注単位1[rn]
6-12193,,26830.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D26MM】(4985851) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用スタンダードタイプの六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：26<br>●全長(mm)：38<br>●質量(g)：250<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D26MM】(4985851) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D26MM】(4985851) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D26MM】(4985851) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺２６ｍｍ 受注単位1[rn]
6-12194,,1076.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-10S】(7624131) 絶縁ソケット（６角）　差込角９．５　対辺１０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：10<br>●差込角(mm)：9.5<br>●全長(mm)：46<br>●質量(g)：39<br><br>●クロムメッキ仕上げ<br>●クロムメッキ仕上げ<br><br>●クロムバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-10S】(7624131) 絶縁ソケット（６角）　差込角９．５　対辺１０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-10S】(7624131) 絶縁ソケット（６角）　差込角９．５　対辺１０ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-10S】(7624131) 絶縁ソケット（６角）　差込角９．５　対辺１０ｍｍ 受注単位1[rn]
6-12195,,20185.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D13MM】(4985729) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用スタンダードタイプの六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：13<br>●全長(mm)：30<br>●質量(g)：70<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D13MM】(4985729) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D13MM】(4985729) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCI-1/2D13MM】(4985729) 防爆インパクトソケット　差込み１２．７ｍｍ　対辺１３ｍｍ 受注単位1[rn]
6-12196,,17350.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-3/8D12MM】(4985303) 防爆ディープソケット　差込み９．５ｍｍ　対辺１２ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ディープタイプ六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：12<br>●全長(mm)：44<br>●質量(g)：90<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-3/8D12MM】(4985303) 防爆ディープソケット　差込み９．５ｍｍ　対辺１２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-3/8D12MM】(4985303) 防爆ディープソケット　差込み９．５ｍｍ　対辺１２ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-3/8D12MM】(4985303) 防爆ディープソケット　差込み９．５ｍｍ　対辺１２ｍｍ 受注単位1[rn]
6-12197,,996.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-06S】(7624093) 絶縁ソケット（６角）　差込角９．５　対辺６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●安全を目視で確認できるセーフティーサイン付です。<br>●接触面が高いトルクをかけてもボルトナットを傷めにくくなっています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：6<br>●差込角(mm)：9.5<br>●全長(mm)：46<br>●質量(g)：36<br><br>●クロムメッキ仕上げ<br>●クロムメッキ仕上げ<br><br>●クロムバナジウム鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-06S】(7624093) 絶縁ソケット（６角）　差込角９．５　対辺６ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-06S】(7624093) 絶縁ソケット（６角）　差込角９．５　対辺６ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZ3-06S】(7624093) 絶縁ソケット（６角）　差込角９．５　対辺６ｍｍ 受注単位1[rn]
6-12198,,4406.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　ダイヤモンド替刃ＩＳＪ３８　インサイドカッター用　３８φ【ED-38】(3072878) 受注単位1,作業用品\切断用品\ダイヤモンドカッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●インサイド塩ビ管内面カッター用の替刃です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　ダイヤモンド替刃ＩＳＪ３８　インサイドカッター用　３８φ【ED-38】(3072878) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　ダイヤモンド替刃ＩＳＪ３８　インサイドカッター用　３８φ【ED-38】(3072878) 受注単位1,作業用品\切断用品\ダイヤモンドカッター。『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　ダイヤモンド替刃ＩＳＪ３８　インサイドカッター用　３８φ【ED-38】(3072878) 受注単位1[rn]
6-12199,,27136.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-1/2D23MM】(4985117) 防爆ディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ディープタイプ六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：23<br>●全長(mm)：75<br>●質量(g)：385<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-1/2D23MM】(4985117) 防爆ディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-1/2D23MM】(4985117) 防爆ディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDW-1/2D23MM】(4985117) 防爆ディープソケット　差込み１２．７ｍｍ　対辺２３ｍｍ 受注単位1[rn]
6-12200,,30764.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D19MM】(4985541) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺１９ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インパクト用ディープタイプ六角ソケットです。<br>●石油化学工場、精油所、精錬所、船舶、ガス工場、ペイント工場、化学工場など火花を嫌う場所で使用します。<br>●米国認定機関FMRC認定取得しています。<br><br><br>●二面幅寸法(mm)：19<br>●全長(mm)：75<br>●質量(g)：270<br><br><br>●ニッケルアルミ銅合金<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D19MM】(4985541) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺１９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D19MM】(4985541) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺１９ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（防爆）。『カード対応OK！』■〒スナップオン・ツールズ/Ａｍｐｃｏ【AMCDWI-1/2D19MM】(4985541) 防爆インパクトディープソケット　差込み１２．７ｍｍ　対辺１９ｍｍ 受注単位1[rn]
6-12201,,1798.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒モトユキ/モトユキ グローバルソー【ARS-1510】(8036661) モトユキ グローバルソー 万能刃 多種材切断用バイメタルセーバーソーブレード 発注単位1,作業用品\切断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1本でいろいろ切れます。<br>
●コンビ刃設計により、切断材をしっかり捉えてザクザク切断できます。<br>
●刃物にJANCODEを印刷し、小売店様のお手間を省力しました。<br>
●鉄・ステンレス・プラスチック・段ボールなどの切断に。<br>
●山数:10/14<br>
●全長(mm):152<br>
●厚み(mm):0.9<br>
●有効刃長(mm):70<br>
●幅（mm）:19<br>
●切断有効長さ（mm）:70<br>
●適合機種:各種セーバーソー・レシプロソー<br>
●本体:バイメタル<br>
●刃先:コバルトハイス<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒モトユキ/モトユキ グローバルソー【ARS-1510】(8036661) モトユキ グローバルソー 万能刃 多種材切断用バイメタルセーバーソーブレード 発注単位1：クローバー資材館,■〒モトユキ/モトユキ グローバルソー【ARS-1510】(8036661) モトユキ グローバルソー 万能刃 多種材切断用バイメタルセーバーソーブレード 発注単位1,作業用品\切断用品。■〒モトユキ/モトユキ グローバルソー【ARS-1510】(8036661) モトユキ グローバルソー 万能刃 多種材切断用バイメタルセーバーソーブレード 発注単位1[rn]
6-12202,,2014.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-24】(7623640) 絶縁片口スパナ　２４ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●1000V絶縁仕様です。<br>●IEC60900規格品です。<br>●強靭なクロムバナジウム鋼鍛造品で、高いトルク値をクリアしています。<br>●耐電圧試験済みです。<br><br><br>●二面幅寸法(mm)：24<br>●全長(mm)：237<br>●厚み(mm)：13.5<br>●質量(g)：270<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-24】(7623640) 絶縁片口スパナ　２４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-24】(7623640) 絶縁片口スパナ　２４ｍｍ 受注単位1,作業用品\絶縁・防爆工具\レンチ・スパナ（絶縁）。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TZSS-24】(7623640) 絶縁片口スパナ　２４ｍｍ 受注単位1[rn]
