6-12303,,2041.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●切断スピードが速くステンレスの切断に最適です。<br><br>●ステンレス・金属の切断に。<br><br>●砥材：AZ<br>●粒度(#)：60<br>●硬度：SBF<br>●外径(mm)：105<br>●刃厚(mm)：1.0<br>●穴径(mm)：15<br>●最高使用回転数(rpm)：14500<br>●質量(g)：300<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1,作業用品\切断用品\切断砥石。『カード対応OK！』■〒日立工機/日立【0032-6832】(7677316) 切断砥石　１０５Ｘ１．０Ｘ１５ｍｍ　ＡＺ６０ＳＢＦ　１０枚入り 受注単位1[rn]
6-12379,,25662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　ハンドソー替刃バイメタル　３００ｍｍ×３２山　１００枚入【3906-300-32-100】(3519716) 受注単位1,作業用品\切断用品\ハンドソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●6度のすくい角をつけることにより、喰いつきが鋭く、スムーズに切断できます。<br>●耐久性に優れたコバルト入り高級ハイス使用で長寿命です。<br>●折れにくく飛散しない安全ハンドソーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ　ハンドソー替刃バイメタル　３００ｍｍ&times;３２山　１００枚入【3906-300-32-100】(3519716) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　ハンドソー替刃バイメタル　３００ｍｍ&times;３２山　１００枚入【3906-300-32-100】(3519716) 受注単位1,作業用品\切断用品\ハンドソー。『カード対応OK！』■〒スナップオン・ツールズ/バーコ　ハンドソー替刃バイメタル　３００ｍｍ&times;３２山　１００枚入【3906-300-32-100】(3519716) 受注単位1[rn]
6-12380,,31184.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大同興業/大同　スペシャルソー　３７０Ｘ２．５Ｘ４５Ｘ３【SP-370X2.5X45X3】(2742365) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス用です。<br>●チタン特殊コーティング処理で硬度が高く、耐摩耗性に優れ、サイドウエルディングが起こりにくいです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大同興業/大同　スペシャルソー　３７０Ｘ２．５Ｘ４５Ｘ３【SP-370X2.5X45X3】(2742365) 受注単位1：クローバー資材館,『カード対応OK！』■〒大同興業/大同　スペシャルソー　３７０Ｘ２．５Ｘ４５Ｘ３【SP-370X2.5X45X3】(2742365) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒大同興業/大同　スペシャルソー　３７０Ｘ２．５Ｘ４５Ｘ３【SP-370X2.5X45X3】(2742365) 受注単位1[rn]
6-12381,,5035.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用セーバーソーブレード　１０枚入り　鉄工用　１５０×１８山【KS-1518】(3028810) 受注単位1,作業用品\切断用品\セーバーソーブレード,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●パイプ類、鋼材の切断作業に適しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用セーバーソーブレード　１０枚入り　鉄工用　１５０&times;１８山【KS-1518】(3028810) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用セーバーソーブレード　１０枚入り　鉄工用　１５０&times;１８山【KS-1518】(3028810) 受注単位1,作業用品\切断用品\セーバーソーブレード。『カード対応OK！』■〒ハウスビーエム/ハウスＢ．Ｍ　兼用セーバーソーブレード　１０枚入り　鉄工用　１５０&times;１８山【KS-1518】(3028810) 受注単位1[rn]
6-12382,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004358537.jpg?fitin=700:700,1197.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　５枚入【NS3906-250-32-5P】(2320282) 受注単位1,(2320282),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●6度のすくい角をつけることにより、喰いつきが鋭く、スムーズに切断できます。<br>●耐久性に優れたコバルト入り高級ハイス使用で長寿命です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　５枚入【NS3906-250-32-5P】(2320282) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　５枚入【NS3906-250-32-5P】(2320282) 受注単位1,(2320282)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　５枚入【NS3906-250-32-5P】(2320282) 受注単位1[rn]
6-12383,,16524.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ２５０ｘ２．０ｘ４Ｐ高速電機・日立工機兼用【H250X20X32X4 (4ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292242) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●普通鋼・炭素鋼などの一般材の切断に適した最もポピュラーなHSSブラックメタルソーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ２５０ｘ２．０ｘ４Ｐ高速電機・日立工機兼用【H250X20X32X4 (4ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292242) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ２５０ｘ２．０ｘ４Ｐ高速電機・日立工機兼用【H250X20X32X4 (4ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292242) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ２５０ｘ２．０ｘ４Ｐ高速電機・日立工機兼用【H250X20X32X4 (4ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292242) 受注単位1[rn]
6-12384,,3146.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立工機/日立【0040-1387】(7678576) セーバソーブレード　ＮＯ．１１１　１５０Ｌ　８～１０山　５枚入り 受注単位1,作業用品\切断用品\セーバーソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●日立セーバーソー用の替刃です。<br>●ストレートタイプです。<br><br>●ステンレス切断、解体作業に。<br><br>●山数：8～10<br>●全長(mm)：150<br>●厚み(mm)：1.1<br>●有効刃長(mm)：84<br>●切断能力(mm)非鉄金属鋼材：5～20<br>●切断能力(mm)ステンレス鋼材：～3.0<br>●切断能力(mm)鋼材：3.0～19<br>●切断能力(mm)鋼管：～60<br>●切断能力(mm)ステンレス管材：～60<br>●質量(g)：140<br><br>●適合機種：日立、ボッシュ、マキタ、リョービ、アサダ、ＭＣＣ<br><br>●バイメタルハイス<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立工機/日立【0040-1387】(7678576) セーバソーブレード　ＮＯ．１１１　１５０Ｌ　８～１０山　５枚入り 受注単位1：クローバー資材館,『カード対応OK！』■〒日立工機/日立【0040-1387】(7678576) セーバソーブレード　ＮＯ．１１１　１５０Ｌ　８～１０山　５枚入り 受注単位1,作業用品\切断用品\セーバーソーブレード。『カード対応OK！』■〒日立工機/日立【0040-1387】(7678576) セーバソーブレード　ＮＯ．１１１　１５０Ｌ　８～１０山　５枚入り 受注単位1[rn]
6-12385,http://tshop.r10s.jp/clover9608/cabinet/pb4/t010004358538.jpg?fitin=700:700,18556.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　１００枚入【NS3906-250-32-100P】(2320215) 受注単位1,(2320215),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●6度のすくい角をつけることにより、喰いつきが鋭く、スムーズに切断できます。<br>●耐久性に優れたコバルト入り高級ハイス使用で長寿命です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　１００枚入【NS3906-250-32-100P】(2320215) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　１００枚入【NS3906-250-32-100P】(2320215) 受注単位1,(2320215)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃バイメタル　２５０ｍｍＸ３２山　１００枚入【NS3906-250-32-100P】(2320215) 受注単位1[rn]
6-12386,,41838.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ５Ｐ高速電機・日立工機兼用【H370X25X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443155) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●普通鋼・炭素鋼などの一般材の切断に適した最もポピュラーなHSSブラックメタルソーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ５Ｐ高速電機・日立工機兼用【H370X25X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443155) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ５Ｐ高速電機・日立工機兼用【H370X25X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443155) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ５Ｐ高速電機・日立工機兼用【H370X25X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443155) 受注単位1[rn]
6-12387,,5204.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【S1256XHM】(4957962) セーバーソーブレード１本 受注単位1,作業用品\切断用品\セーバーソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●個別溶接された精密研磨刃（超硬チップ）です。<br>●超硬テクノロジーでバイメタルブレードに比べて5倍の切断スピードと10倍以上のずば抜けた長寿命を誇ります。<br><br>●釘の入った木材などの切断に。<br><br>●山数：6-8<br>●全長(mm)：300<br>●厚み(mm)：1.25<br>●有効刃長(mm)：280<br>●パック入数(本)：1<br>●質量(g)：60<br>●切断能力(mm)釘の入った木材・合板：5～200<br>●切断能力(mm)塩ビパイプ：～200<br><br>●適合機種：ボッシュ、マキタ、日立、リョービ、アサダ、ＭＣＣ<br><br>●超硬<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【S1256XHM】(4957962) セーバーソーブレード１本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【S1256XHM】(4957962) セーバーソーブレード１本 受注単位1,作業用品\切断用品\セーバーソーブレード。『カード対応OK！』■〒ボッシュ【S1256XHM】(4957962) セーバーソーブレード１本 受注単位1[rn]
6-12388,,856.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14155】(7536241) 金切鋸刃　ステンレス用ＨＳＳ　２４山　Ｎｏ１０ 受注単位1,作業用品\切断用品\ハンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚いものにはあらい刃で、薄いものやパイプ類は細かい刃で、効率よく作業できます。<br>●250ｍｍ金工用ハックソー対応です。<br><br>●ステンレスなどの硬材の切断に。<br><br>●山数：24<br>●呼称寸法(mm)：250<br>●全長(mm)：265<br>●厚み(mm)：0.2<br>●用途：ステンレス用<br>●材質：HSS<br><br>●適合機種：250mm幅金工のこ<br><br>●ＨＳＳ<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14155】(7536241) 金切鋸刃　ステンレス用ＨＳＳ　２４山　Ｎｏ１０ 受注単位1：クローバー資材館,『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14155】(7536241) 金切鋸刃　ステンレス用ＨＳＳ　２４山　Ｎｏ１０ 受注単位1,作業用品\切断用品\ハンドソー。『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14155】(7536241) 金切鋸刃　ステンレス用ＨＳＳ　２４山　Ｎｏ１０ 受注単位1[rn]
6-12389,,18308.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ２５０ｘ２．０ｘ５Ｐ高速電機・日立工機兼用【M250X20X32X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443104) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス専用の代名詞MSSはクロムとニッケルを独特の技術にてコーティングさせたメタルソーです。<br>●サビと摩耗に強く溶着をはねつけます。<br>●普通鋼はもとより粘りがありタフなステンレス鋼、合金工具鋼、特殊鋼の切断に威力を発揮します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ２５０ｘ２．０ｘ５Ｐ高速電機・日立工機兼用【M250X20X32X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443104) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ２５０ｘ２．０ｘ５Ｐ高速電機・日立工機兼用【M250X20X32X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443104) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ２５０ｘ２．０ｘ５Ｐ高速電機・日立工機兼用【M250X20X32X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(2443104) 受注単位1[rn]
6-12390,,3742.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【S1120CF】(7335571) セーバーソーブレード５本 受注単位1,作業用品\切断用品\セーバーソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●伝統的な焼き入れ技術と高度な研磨技術で加工しているため抜群の切れ味です。<br>●折れにくい・焼き付かない・長寿命のバイメタルブレードです。<br><br>●金属(軟鋼、非鉄金属、ステンレス管、鋼管、チャンネル)の切断に。<br><br>●山数：8+10<br>●全長(mm)：200<br>●厚み(mm)：1.25<br>●有効刃長(mm)：180<br>●切断能力(mm)軟鋼・非鉄金属：4～10<br>●切断能力(mm)ステンレス管・鋼管・チャンネル：20～175<br>●質量(g)：230<br><br>●適合機種：ボッシュ、マキタ、日立、リョービ、アサダ、ＭＣＣ<br><br>●バイメタル<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ボッシュ【S1120CF】(7335571) セーバーソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【S1120CF】(7335571) セーバーソーブレード５本 受注単位1,作業用品\切断用品\セーバーソーブレード。『カード対応OK！』■〒ボッシュ【S1120CF】(7335571) セーバーソーブレード５本 受注単位1[rn]
6-12391,http://tshop.r10s.jp/clover9608/cabinet/pb8/t010005422786.jpg?fitin=700:700,583.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃　バイメタル　２５０ｍｍＸ２４山　５枚入【THS25024-5P】(3895238) 受注単位1,(3895238),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●低価格のバイメタルハイスハンドソーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃　バイメタル　２５０ｍｍＸ２４山　５枚入【THS25024-5P】(3895238) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃　バイメタル　２５０ｍｍＸ２４山　５枚入【THS25024-5P】(3895238) 受注単位1,(3895238)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ハンドソー替刃　バイメタル　２５０ｍｍＸ２４山　５枚入【THS25024-5P】(3895238) 受注単位1[rn]
6-12392,,47060.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ３７０ｘ３．０ｘ５Ｐ高速電機・日立工機兼用【M370X30X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292323) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス専用の代名詞MSSはクロムとニッケルを独特の技術にてコーティングさせたメタルソーです。<br>●サビと摩耗に強く溶着をはねつけます。<br>●普通鋼はもとより粘りがありタフなステンレス鋼、合金工具鋼、特殊鋼の切断に威力を発揮します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ３７０ｘ３．０ｘ５Ｐ高速電機・日立工機兼用【M370X30X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292323) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ３７０ｘ３．０ｘ５Ｐ高速電機・日立工機兼用【M370X30X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292323) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒谷テック/タニ　メタルソー　ＭＳＳ３７０ｘ３．０ｘ５Ｐ高速電機・日立工機兼用【M370X30X45X5 (5ﾋﾟｯﾁｺｳｿｸ･ﾋﾀﾁﾖｳ)】(1292323) 受注単位1[rn]
6-12393,,1348.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒河部精密工業/ＫＳＫ【K-6012】(4853393) バイメタルセーバーソーブレード 受注単位1,作業用品\切断用品\セーバーソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●コバルト含有バイメタルハイス鋼の複合材を使用することで、切断能力の向上と、よい刃持ちを実現することができました。<br>●コバルト含有バイメタルハイス鋼の複合材を使用することで、切断能力の向上と、よい刃持ちを実現することができました。<br>●切断作業において、特に粉じんおよび火花の発生が少ないため、室内リフォーム作業やリサイクル作業に広く使用されています<br><br>●鉄製パイプ・チャネル材・アングル材などあらゆる鉄製成型品の切断解体作業などに。<br>●鉄製パイプ・チャネル材・アングル材等あらゆる鉄製成型品の切断。<br>●K-6014、K-6020は厚物切断用。<br>●K-6012、K-6018は薄物切断用。<br><br>●山数：18<br>●全長(mm)：150<br>●厚み(mm)：0.9<br>●有効刃長(mm)：130<br>●切断能力(mm)非鉄金属鋼材：1.5～6<br>●切断能力(mm)ステンレス管材：5～60<br>●パック入数(枚)：3<br>●質量(g)：65<br>●切断能力(mm)樹脂・ゴム管：75<br><br>●適合機種メーカー：全メーカー対応<br>●国産・海外のどのメーカーの本体にも適合する兼用型シャンクを採用<br><br>●コバルト入バイメタルハイス鋼<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒河部精密工業/ＫＳＫ【K-6012】(4853393) バイメタルセーバーソーブレード 受注単位1：クローバー資材館,『カード対応OK！』■〒河部精密工業/ＫＳＫ【K-6012】(4853393) バイメタルセーバーソーブレード 受注単位1,作業用品\切断用品\セーバーソーブレード。『カード対応OK！』■〒河部精密工業/ＫＳＫ【K-6012】(4853393) バイメタルセーバーソーブレード 受注単位1[rn]
6-12394,,250.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14151】(7536208) 金切鋸刃　一般鉄材用ＳＫ３フレックス２４山Ｎｏ６ 受注単位1,作業用品\切断用品\ハンドソー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●厚いものにはあらい刃で、薄いものやパイプ類は細かい刃で、効率よく作業できます。<br>●250ｍｍ金工用ハックソー対応です。<br><br>●鉄・丸棒・アングルなどの切断に。<br><br>●山数：24<br>●呼称寸法(mm)：250<br>●全長(mm)：265<br>●厚み(mm)：0.3<br>●用途：一般鉄材・丸棒・アングル用<br>●材質：SK-3フレックス<br><br>●適合機種：250mm幅金工のこ<br><br>●ＳＫ－３<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14151】(7536208) 金切鋸刃　一般鉄材用ＳＫ３フレックス２４山Ｎｏ６ 受注単位1：クローバー資材館,『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14151】(7536208) 金切鋸刃　一般鉄材用ＳＫ３フレックス２４山Ｎｏ６ 受注単位1,作業用品\切断用品\ハンドソー。『カード対応OK！』■〒角利産業/ＫＡＫＵＲＩ【14151】(7536208) 金切鋸刃　一般鉄材用ＳＫ３フレックス２４山Ｎｏ６ 受注単位1[rn]
6-12395,,41838.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ６Ｐ大同興業用【H370X25X50X6 (6ﾋﾟｯﾁﾀﾞｲﾄﾞｳﾖｳ)】(1292200) 受注単位1,作業用品\切断用品\メタルソー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●普通鋼・炭素鋼などの一般材の切断に適した最もポピュラーなHSSブラックメタルソーです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ６Ｐ大同興業用【H370X25X50X6 (6ﾋﾟｯﾁﾀﾞｲﾄﾞｳﾖｳ)】(1292200) 受注単位1：クローバー資材館,『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ６Ｐ大同興業用【H370X25X50X6 (6ﾋﾟｯﾁﾀﾞｲﾄﾞｳﾖｳ)】(1292200) 受注単位1,作業用品\切断用品\メタルソー。『カード対応OK！』■〒谷テック/タニ　メタルソー　ＨＳＳ３７０ｘ２．５ｘ６Ｐ大同興業用【H370X25X50X6 (6ﾋﾟｯﾁﾀﾞｲﾄﾞｳﾖｳ)】(1292200) 受注単位1[rn]
