4-11764,,2570.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●被削材の加工レンジが広く高能率の加工が可能です。<br>
●粉末ハイスとTiAlNコーティングの組合せにより摩耗を軽減し長寿命をもたらします。<br>
●止まり穴加工用。<br>
●被削材：ステンレス鋼、チタン合金、一般鋼、アルミ合金。<br>
●精度:OH3<br>
●呼び寸:M10<br>
●ピッチ(mm):1.5<br>
●全長(mm):75<br>
●シャンク径(mm):7<br>
●シャンク四角部(mm):5.5<br>
●下穴径(mm):8.5<br>
●精度表記:標準<br>
●ねじ長(mm):20<br>
●加工ねじ：メートルねじ<br>
●食い付山数：2～3山<br>
●表面処理:ＴiAlNコーティング<br>
●粉末ハイス(HSS-E-PM)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1：クローバー資材館,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具。■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1[rn]
4-11853,,3961.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-12】(4819039) ＨＳＳ　ＮＣスポットドリル　先端角９０°　φ１２ 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級ハイス鋼を使用したNC機用スポットドリルで、高精度のポジショニングが可能です。<br><br>●被削材：炭素鋼、合金鋼、ステンレス鋼、軟鋼、鋳鉄。<br><br>●シャンク径(mm)：12<br>●全長(mm)：102<br>●センタ穴角(°)：90<br><br>●ノンコーティング<br>●刃形状：片刃<br>●刃数：2枚<br><br>●高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-12】(4819039) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ１２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-12】(4819039) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ１２ 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-12】(4819039) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ１２ 受注単位1[rn]
4-11854,,20412.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH16CBALT】(7636172) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：16<br>●センタ穴角(°)：90<br>●全長(mm)：80<br>●最小面取径(mm)：4<br>●最大面取径(mm)：16<br><br>●表面処理：ALTコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH16CBALT】(7636172) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH16CBALT】(7636172) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH16CBALT】(7636172) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11855,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005108480.jpg?fitin=700:700,3703.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ－６０℃超硬コート付【60SPC0.5X2CBALD】(2778181) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●高精度な位置決め、面取り、センタリング同時加工、穴面取り、ミーリング面取りに適しています。<br>●ダブルアングルポイントにより先端チッピングを防止します。<br>●次工程にドリル加工があれば、センタ穴加工も可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０℃超硬コート付【60SPC0.5X2CBALD】(2778181) 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０℃超硬コート付【60SPC0.5X2CBALD】(2778181) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０℃超硬コート付【60SPC0.5X2CBALD】(2778181) 受注単位1[rn]
4-11856,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CAT210L28-12】(7119305) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TACドリル用面取りリング<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【CAT210L28-12】(7119305) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CAT210L28-12】(7119305) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【CAT210L28-12】(7119305) 丸物保持具 受注単位1[rn]
4-11857,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005469995.jpg?fitin=700:700,5480.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ－６０°超硬【60SPC0.2X0.6CB】(4210654) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●高精度な位置決め、面取り、センタリング同時加工、穴面取り、ミーリング面取りに適しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０&deg;超硬【60SPC0.2X0.6CB】(4210654) 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０&deg;超硬【60SPC0.2X0.6CB】(4210654) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;６０&deg;超硬【60SPC0.2X0.6CB】(4210654) 受注単位1[rn]
4-11858,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CAT230L29-12】(7119500) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TACドリル用面取りリング<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【CAT230L29-12】(7119500) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CAT230L29-12】(7119500) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【CAT230L29-12】(7119500) 丸物保持具 受注単位1[rn]
4-11859,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866555.jpg?fitin=700:700,3316.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒デキシー/デキシー　超硬ＮＣセンタードリル【1107-3.0(3.0MM)】(1064274) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●1工程で位置決めと面取りが可能です。<br>●高精度の位置決め（センターもみつけ）曲面、斜面での正確な位置決め、高品質の面取り（皿もみ）ができます。<br>●高速、高送りができます。<br>●タップ下穴加工前にセンター加工と面取り加工を同時に加工します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒デキシー/デキシー　超硬ＮＣセンタードリル【1107-3.0(3.0MM)】(1064274) 受注単位1：クローバー資材館,『カード対応OK！』■〒デキシー/デキシー　超硬ＮＣセンタードリル【1107-3.0(3.0MM)】(1064274) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒デキシー/デキシー　超硬ＮＣセンタードリル【1107-3.0(3.0MM)】(1064274) 受注単位1[rn]
4-11860,,41990.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【TIDCF160-W32】(7119062) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●DrillMeisterシリーズ<br>●面取り加工用アダプタ<br>●ストレートタイプ用<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【TIDCF160-W32】(7119062) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【TIDCF160-W32】(7119062) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【TIDCF160-W32】(7119062) 丸物保持具 受注単位1[rn]
4-11861,,22453.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH16CBDLC】(7636181) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：16<br>●センタ穴角(°)：90<br>●全長(mm)：80<br>●最小面取径(mm)：4<br>●最大面取径(mm)：16<br><br>●表面処理：DLCコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH16CBDLC】(7636181) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH16CBDLC】(7636181) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH16CBDLC】(7636181) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11862,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CAT280L32-12】(7119348) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TACドリル用面取りリング<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【CAT280L32-12】(7119348) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CAT280L32-12】(7119348) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【CAT280L32-12】(7119348) 丸物保持具 受注単位1[rn]
4-11863,,8776.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ【RG1000】(7585683) ノガ・マルチバー 受注単位1,切削工具\面取り工具\面取り・バリ取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ポケットタイプのバリ取りキットです。<br>●折りたたみ式のホルダーに4種類のバリ取りツールが収納されています。<br><br>●バリ取り、面取りに。<br><br>●セット内容：BS1010、BN2010、BD5010、BC1041各1本付<br><br>●本体サイズ（ｍｍ）：130X34X27<br>●ブリスターサイズ（ｍｍ）：230X120X45<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ【RG1000】(7585683) ノガ・マルチバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ【RG1000】(7585683) ノガ・マルチバー 受注単位1,切削工具\面取り工具\面取り・バリ取り工具。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡ【RG1000】(7585683) ノガ・マルチバー 受注単位1[rn]
