4-12064,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005495780.jpg?fitin=700:700,3888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1：クローバー資材館,『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒日進工具/ＮＳ　ロングネックボールＥＭ　ＭＲＢ２３０　Ｒ０．２５Ｘ７（Ｄ４）【MRB230 R0.25X7(D4)】(4263014) 受注単位1[rn]
4-12143,,7463.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０×４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：20<br>●溝長(mm)：120<br>●全長(mm)：400<br>●質量(g)：320<br>●シャンク：SDSplus<br><br>●適合機種：電気ドリル<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602000】(7664567) 空洞貫通用木工ドリル　２０．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1[rn]
4-12144,,2136.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０×６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：14<br>●溝長(mm)：120<br>●全長(mm)：600<br>●シャンク径(mm)：10<br>●質量(g)：300<br><br>●適合機種：電気ドリル<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6501400】(7665792) 空洞貫通用木工ドリル　１４．０&times;６００ｍｍ　ストレートシャンク 受注単位1[rn]
4-12145,,8383.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０×４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：22<br>●溝長(mm)：120<br>●全長(mm)：400<br>●質量(g)：320<br>●シャンク：SDSplus<br><br>●適合機種：電気ドリル<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【5602200】(7664575) 空洞貫通用木工ドリル　２２．０&times;４００ｍｍ　ＳＤＳｐｌｕｓシャンク 受注単位1[rn]
4-12146,,5983.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０×６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●空洞を通り抜けた先にある木材の穴加工に最適な、貫通用木工ドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：24<br>●溝長(mm)：120<br>●全長(mm)：600<br>●シャンク径(mm)：12<br>●質量(g)：530<br><br>●適合機種：電気ドリル<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【6502400】(7665849) 空洞貫通用木工ドリル　２４．０&times;６００ｍｍ　ストレートシャンク 受注単位1[rn]
4-12147,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005475332.jpg?fitin=700:700,14117.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７×３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●鋼・鋳鉄加工用に特化したWSTARドリルシリーズの新ラインナップです。<br>●新材種「DP3020」により、鋼・鋳鉄加工において従来の2倍以上の工具寿命を実現しています。<br>●トリプルマージン採用により、ガイド性の向上、クーラント清流化によるマージン部の損傷抑制で、優れた加工穴精度の維持が可能です。<br>●新クーラント穴形状（TRI CoolingテクノロジーR）により刃先の冷却・潤滑効率がアップ、特にMQL加工において優れた効果を発揮します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱超硬ドリルＷＳＴＡＲシリーズＭＱＳ鋼・鋳鉄加工用φ７&times;３Ｄ【MQS0700X3DBDP3020】 (6609384) 受注単位1[rn]
4-12148,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571704.jpg?fitin=700:700,17010.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1300MA  VP15TF】(1190148) 受注単位1[rn]
4-12149,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566972.jpg?fitin=700:700,1895.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル８．２ｍｍ【GSDD0820(G-SD-8.2)】(6650678) 受注単位1[rn]
4-12150,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838240.jpg?fitin=700:700,737.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.35(60423)】(6303129) 受注単位1[rn]
4-12151,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004841709.jpg?fitin=700:700,2304.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【WX-MS-GDS-0.29  (3300029)】(6354114) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【WX-MS-GDS-0.29  (3300029)】(6354114) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【WX-MS-GDS-0.29  (3300029)】(6354114) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【WX-MS-GDS-0.29  (3300029)】(6354114) 受注単位1[rn]
4-12152,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860608.jpg?fitin=700:700,382.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル４．９ｍｍ【P-EXD-4.9 (4.9MM1ﾎﾟﾝｲﾘ)】 (2897890) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●先端部にクロスシンニング加工を施してあるので、ポンチ不要で、食い込みが早く切れ味が抜群です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル４．９ｍｍ【P-EXD-4.9 (4.9MM1ﾎﾟﾝｲﾘ)】 (2897890) 受注単位1：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル４．９ｍｍ【P-EXD-4.9 (4.9MM1ﾎﾟﾝｲﾘ)】 (2897890) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル４．９ｍｍ【P-EXD-4.9 (4.9MM1ﾎﾟﾝｲﾘ)】 (2897890) 受注単位1[rn]
4-12153,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002872813.jpg?fitin=700:700,2479.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用スタブ９．６【EX-GDS-9.6 (60096)】 (1008781) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●高剛性溝フォームとスタブ溝長により、高能率、高精度でタップの下穴や旋盤加工用として最適です。<br>●ドリル先端中心部は、細井理論応用による新R刃形（PAT）を採用しています。<br>●高速、高送りが可能です。切りくずは遷移折断形分断によりステップ切削が不要です。<br>●耐摩耗性、耐溶着性に優れたTiNコーティングを採用しています。<br>●溝フォームは芯厚が厚い高剛性タイプです。<br>●加工穴の位置精度が安定するため、ポンチ打ちやセンタリング不要です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用スタブ９．６【EX-GDS-9.6 (60096)】 (1008781) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用スタブ９．６【EX-GDS-9.6 (60096)】 (1008781) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧＥＸゴールドドリル一般加工用スタブ９．６【EX-GDS-9.6 (60096)】 (1008781) 受注単位1[rn]
4-12154,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005455579.jpg?fitin=700:700,4820.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０２２０－ＴＨ【04WNSB0220-TH】 (4247612) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●切りくず排出性に優れるＮＳＢ溝形状の採用、および高温でも安定性に優れるＴＨコートにより、ノンステップで高能率加工ができます。<br>●Ｗマージン採用で高品位加工が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０２２０&minus;ＴＨ【04WNSB0220-TH】 (4247612) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０２２０&minus;ＴＨ【04WNSB0220-TH】 (4247612) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒日立ツール/日立ツール超硬ノンステップボーラー０４ＷＮＳＢ０２２０&minus;ＴＨ【04WNSB0220-TH】 (4247612) 受注単位1[rn]
4-12155,,3580.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒オーエスジー/ＯＳＧ 超硬ドリル【AD-2D-4.1-5】(8264640) ＯＳＧ 超硬ＡＤドリル 2Ｄタイプ 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●小型機械、高性能マシニングセンターから自動盤、旋盤まで様々な加工機に対応する次世代汎用超硬ドリルです。<br>
●新ウェーブ刃形と低心厚設計により、低スラスト・安定トルクを実現しました。<br>
●新コーティングの「EgiAsコーティング」を採用することにより耐摩耗層で摩耗を抑え、ナノ周期積層で割れの伝播を防止します。<br>
●被削材:低・中・高炭素鋼、合金鋼、調質鋼、鋳鉄、ダクタイル鋳鉄。<br>
●刃径(mm):4.1<br>
●溝長(mm):24<br>
●全長(mm):66<br>
●シャンク径(mm):5<br>
●表面処理:EgiAsコーティング<br>
●有効加工深さ:２D（刃径×２倍）<br>
●超微粒子超硬合金（Micro Grain Carbide）<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒オーエスジー/ＯＳＧ 超硬ドリル【AD-2D-4.1-5】(8264640) ＯＳＧ 超硬ＡＤドリル 2Ｄタイプ 発注単位1：クローバー資材館,■〒オーエスジー/ＯＳＧ 超硬ドリル【AD-2D-4.1-5】(8264640) ＯＳＧ 超硬ＡＤドリル 2Ｄタイプ 発注単位1,切削工具\穴あけ工具。■〒オーエスジー/ＯＳＧ 超硬ドリル【AD-2D-4.1-5】(8264640) ＯＳＧ 超硬ＡＤドリル 2Ｄタイプ 発注単位1[rn]
4-12156,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002851260.jpg?fitin=700:700,4752.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　５３ｍｍ【FX53C(53ﾐﾘ)】(3039676) 受注単位1,切削工具\穴あけ工具\ホールカッター,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●ワンタッチで着脱方式「シンプルジョイントシステム」を使用しています。<br>●1本のシャンクでいろいろなサイズのカッターが使用可能です。<br>●分割刃（特許）による驚異の切れ味です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　５３ｍｍ【FX53C(53ﾐﾘ)】(3039676) 受注単位1：クローバー資材館,『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　５３ｍｍ【FX53C(53ﾐﾘ)】(3039676) 受注単位1,切削工具\穴あけ工具\ホールカッター。『カード対応OK！』■〒大見工業/大見　ＦＸホールカッターのみ　５３ｍｍ【FX53C(53ﾐﾘ)】(3039676) 受注単位1[rn]
4-12157,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002566993.jpg?fitin=700:700,4604.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇステップフリーロングストレートドリル　φ５．８　全長２００【GWSLD0580A200】(6653910) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇステップフリーロングストレートドリル　φ５．８　全長２００【GWSLD0580A200】(6653910) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇステップフリーロングストレートドリル　φ５．８　全長２００【GWSLD0580A200】(6653910) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　Ｇステップフリーロングストレートドリル　φ５．８　全長２００【GWSLD0580A200】(6653910) 受注単位1[rn]
4-12158,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003441835.jpg?fitin=700:700,996.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ミドル　０．９１ｍｍ【VAPDMSUSD0091】(6585299) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ミドル　０．９１ｍｍ【VAPDMSUSD0091】(6585299) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ミドル　０．９１ｍｍ【VAPDMSUSD0091】(6585299) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　バイオレット高精度ドリル　ステンレス用　ミドル　０．９１ｍｍ【VAPDMSUSD0091】(6585299) 受注単位1[rn]
4-12159,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838240.jpg?fitin=700:700,737.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.25(60422)】(6303111) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.25(60422)】(6303111) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.25(60422)】(6303111) 受注単位1,切削工具\穴あけ工具\ハイスコーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　ＥＸゴールドドリル　一般加工用スタブ【EX-GDS-2.25(60422)】(6303111) 受注単位1[rn]
4-12160,,13785.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒富士元工業/富士元 チップ【XS32MNX-M14 NK6060】(7969627) 富士元 座グリ加工用チップ Ｍ14 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12,切削工具\面取り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ザグリ加工が可能なスローアウェイチップです。<br>
●座繰り加工<br>
●適合機種:イーグルカット/バーディカット<br>
●材質:超硬M<br>
●TiAlNコート<br>
●超硬Ｍ<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒富士元工業/富士元 チップ【XS32MNX-M14 NK6060】(7969627) 富士元 座グリ加工用チップ Ｍ14 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12：クローバー資材館,■〒富士元工業/富士元 チップ【XS32MNX-M14 NK6060】(7969627) 富士元 座グリ加工用チップ Ｍ14 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12,切削工具\面取り工具。■〒富士元工業/富士元 チップ【XS32MNX-M14 NK6060】(7969627) 富士元 座グリ加工用チップ Ｍ14 超硬Ｍ種 ＴｉＡｌＮ ＣＯＡＴ 発注単位12[rn]
