7-8201,,408.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０×５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ,"K504X04<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●本来の使いやすさに加え、滑りにくい・重ねて貼れる・油性インキで文字が書けるという３つの機能をプラスしました。<br><br><br>●色：ダンボール<br>●幅(mm)：60<br>●長さ(m)：50<br>●厚み(mm)：0.14<br><br>●粘着力：3.3Ｎ/10mm<br>●引張強度：60Ｎ/10mm<br><br>●基材：クラフト紙<br>●粘着剤：ゴム系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1,環境安全用品\テープ用品\梱包用テープ。『カード対応OK！』■〒積水化学工業/積水【K504X04】(4976568) スーパークラフトテープＮｏ．５０４ＮＳ　６０&times;５０ 受注単位1[rn]
7-8282,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345762.jpg?fitin=700:700,16042.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃５０　１０ｍｍＸ２０Ｍ【650S-50-10X20】(4306678) 受注単位8,環境安全用品\テープ用品\特殊用途テープ,"430-6678<br><br><br><br><br><br><br>●色:茶褐色<br>●(mm):10<br>●長さ(m):20<br>●厚み(mm):0.08<br>●切断にはカッターが要<br>●粘着力:5.3Ｎ/25mm<br>●引張強度:122.6N/25mm<br>●芯径:3インチ(76mm）<br>●UL510FR、UL温度定格200℃<br>●基材:カプトン[[(R)]]フィルム<br>●粘着剤:シリコーン系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐熱性、耐ハンダ性に優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃５０　１０ｍｍＸ２０Ｍ【650S-50-10X20】(4306678) 受注単位8：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃５０　１０ｍｍＸ２０Ｍ【650S-50-10X20】(4306678) 受注単位8,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃５０　１０ｍｍＸ２０Ｍ【650S-50-10X20】(4306678) 受注単位8[rn]
7-8283,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004346147.jpg?fitin=700:700,4950.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　導電性銅箔テープ５０ｍｍ【870100-20-50X20】(3519180) 受注単位1,環境安全用品\テープ用品\特殊用途テープ,"351-9180<br><br><br><br><br><br><br>●色:ブロンズ<br>●(mm):50<br>●長さ(m):20<br>●厚み(mm):0.08<br>●切断にはカッターが要<br>●粘着力:4.7N/10mm（対ステンレス）<br>●引張強度:44N/10mm<br>●使用温度範囲:-10〜130℃<br>●はく離紙付<br>●基材:圧延箔<br>●粘着剤:導電性のあるアクリル系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●被着体との導電を可能とし、厚さ方向、長さ方向に導電が得られます。<br>●打ち抜き加工もできます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　導電性銅箔テープ５０ｍｍ【870100-20-50X20】(3519180) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　導電性銅箔テープ５０ｍｍ【870100-20-50X20】(3519180) 受注単位1,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　導電性銅箔テープ５０ｍｍ【870100-20-50X20】(3519180) 受注単位1[rn]
7-8284,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345767.jpg?fitin=700:700,19284.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔両面テープＮＯ．７９１　２５ｍｍＸ２０Ｍ【791 25X20】(4306708) 受注単位5,環境安全用品\テープ用品\特殊用途テープ,"430-6708<br><br><br><br><br><br><br>●色:ブラック<br>●(mm):25<br>●長さ(m):20<br>●厚み(mm):0.13<br>●切断にはカッターが要<br>●粘着力:14.71N/25mm<br>●芯径:3インチ(76mm）<br>●基材:アルミ箔<br>●粘着剤:アクリル系導電性<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●貼るだけで垂直方向（厚さ方向）、面方向共に高い導電性・熱伝導性が得られます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔両面テープＮＯ．７９１　２５ｍｍＸ２０Ｍ【791 25X20】(4306708) 受注単位5：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔両面テープＮＯ．７９１　２５ｍｍＸ２０Ｍ【791 25X20】(4306708) 受注単位5,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔両面テープＮＯ．７９１　２５ｍｍＸ２０Ｍ【791 25X20】(4306708) 受注単位5[rn]
7-8285,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345766.jpg?fitin=700:700,24685.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性布テープＮＯ．１８２５　２０ｍｍＸ２０Ｍ【1825 20X20】(4306571) 受注単位5,環境安全用品\テープ用品\特殊用途テープ,"430-6571<br><br><br><br><br><br><br>●色:グレー<br>●(mm):20<br>●長さ(m):20<br>●厚み(mm):0.12<br>●切断にはカッターが要<br>●粘着力:11.03Ｎ/25mm<br>●引張強度:264.8N/25mm<br>●芯径:3インチ(76mm）<br>●基材:ニッケル/被覆ポリエステル織布<br>●粘着剤:アクリル系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●柔軟性に富み、折り曲げに強く、軽量です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性布テープＮＯ．１８２５　２０ｍｍＸ２０Ｍ【1825 20X20】(4306571) 受注単位5：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性布テープＮＯ．１８２５　２０ｍｍＸ２０Ｍ【1825 20X20】(4306571) 受注単位5,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性布テープＮＯ．１８２５　２０ｍｍＸ２０Ｍ【1825 20X20】(4306571) 受注単位5[rn]
7-8286,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345765.jpg?fitin=700:700,23146.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔粘着テープＮＯ．８３０３　２５ｍｍＸ２０Ｍ【8303 25X20】(4306767) 受注単位10,環境安全用品\テープ用品\特殊用途テープ,"430-6767<br><br><br><br><br><br><br>●色:シルバー<br>●(mm):25<br>●長さ(m):20<br>●厚み(mm):0.85<br>●切断にはカッターが要<br>●粘着力:9.81Ｎ/25mm<br>●引張強度:80.9N/25mm<br>●芯径:3インチ(76mm）<br>●基材:アルミ箔<br>●粘着剤:アクリル系導電性<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●厚さ方向にも高い導電性、背面にハンダ付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔粘着テープＮＯ．８３０３　２５ｍｍＸ２０Ｍ【8303 25X20】(4306767) 受注単位10：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔粘着テープＮＯ．８３０３　２５ｍｍＸ２０Ｍ【8303 25X20】(4306767) 受注単位10,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性アルミ箔粘着テープＮＯ．８３０３　２５ｍｍＸ２０Ｍ【8303 25X20】(4306767) 受注単位10[rn]
7-8287,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345455.jpg?fitin=700:700,24693.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃１２　１０ｍｍＸ２０Ｍ【650S-12-10X20】(4306635) 受注単位10,環境安全用品\テープ用品\特殊用途テープ,"430-6635<br><br><br><br><br><br><br>●色:茶褐色<br>●(mm):10<br>●長さ(m):20<br>●厚み(mm):0.035<br>●切断にはカッターが要<br>●粘着力:4.1Ｎ/25mm<br>●引張強度:78.5N/25mm<br>●芯径:3インチ(76mm）<br>●UL510FR、UL温度定格200℃<br>●基材:カプトン[[(R)]]フィルム<br>●粘着剤:シリコーン系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐熱性に優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃１２　１０ｍｍＸ２０Ｍ【650S-12-10X20】(4306635) 受注単位10：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃１２　１０ｍｍＸ２０Ｍ【650S-12-10X20】(4306635) 受注単位10,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃１２　１０ｍｍＸ２０Ｍ【650S-12-10X20】(4306635) 受注単位10[rn]
7-8288,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345762.jpg?fitin=700:700,16206.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃２５　１０ｍｍＸ２０Ｍ【650S-25-10X20】(4306643) 受注単位15,環境安全用品\テープ用品\特殊用途テープ,"430-6643<br><br><br><br><br><br><br>●色:茶褐色<br>●(mm):10<br>●長さ(m):20<br>●厚み(mm):0.05<br>●切断にはカッターが要<br>●粘着力:5.3Ｎ/25mm<br>●引張強度:122.6N/25mm<br>●芯径:3インチ(76mm）<br>●UL510FR、UL温度定格200℃<br>●基材:カプトン[[(R)]]フィルム<br>●粘着剤:シリコーン系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●耐熱性、耐ハンダ性に優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃２５　１０ｍｍＸ２０Ｍ【650S-25-10X20】(4306643) 受注単位15：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃２５　１０ｍｍＸ２０Ｍ【650S-25-10X20】(4306643) 受注単位15,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　カプトン粘着テープＮＯ．６５０Ｓ　＃２５　１０ｍｍＸ２０Ｍ【650S-25-10X20】(4306643) 受注単位15[rn]
7-8289,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345763.jpg?fitin=700:700,15428.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性銅箔粘着テープＮＯ．８３２３　２５ｍｍＸ２０Ｍ【8323 25X20】(4306821) 受注単位5,環境安全用品\テープ用品\特殊用途テープ,"430-6821<br><br><br><br><br><br><br>●色:茶褐色<br>●(mm):25<br>●長さ(m):20<br>●厚み(mm):0.07<br>●切断にはカッターが要<br>●粘着力:8.85Ｎ/25mm<br>●引張強度:98.1N/25mm<br>●芯径:3インチ(76mm）<br>●基材:圧延箔<br>●粘着剤:アクリル系導電性<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●厚さ方向にも高い導電性、背面にハンダ付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性銅箔粘着テープＮＯ．８３２３　２５ｍｍＸ２０Ｍ【8323 25X20】(4306821) 受注単位5：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性銅箔粘着テープＮＯ．８３２３　２５ｍｍＸ２０Ｍ【8323 25X20】(4306821) 受注単位5,環境安全用品\テープ用品\特殊用途テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　導電性銅箔粘着テープＮＯ．８３２３　２５ｍｍＸ２０Ｍ【8323 25X20】(4306821) 受注単位5[rn]
7-8290,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005462469.jpg?fitin=700:700,2160.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミテープ【817100-20-50X20】(4112393) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"411-2393<br><br><br><br><br><br><br>●色:シルバー<br>●(mm):50<br>●長さ(m):20<br>●厚み(mm):0.22<br>●切断にはカッターが要<br>●粘着力:7.5N/10mm（対ステンレス）<br>●引張強度:70.1N/10mm<br>●基材:アルミ箔(0.1ｍm）<br>●粘着剤:ゴム系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●厚さ0.1mmのアルミ箔は強度があり、柔軟性にも優れています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミテープ【817100-20-50X20】(4112393) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミテープ【817100-20-50X20】(4112393) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミテープ【817100-20-50X20】(4112393) 受注単位1[rn]
7-8291,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002903526.jpg?fitin=700:700,27648.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒古藤工業/フルトー　シーリングＳＴダクト黄１．０ｍｍ×４０ｍｍ×５ｍ【ST-1.0405-YE】(3251594) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"325-1594<br><br><br><br><br><br><br>●色:イエロー<br>●(mm):40<br>●長さ(m):5<br>●厚み(mm):1<br>●切断にはカッターが要<br>●粘着力:14.82N/10mm<br>●耐熱温度:80℃<br>●難燃タイプ<br>●基材:基材レス<br>●粘着剤:ブチルゴム系（自己融着性非加硫）<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ダクト継目部を簡単な作業で確実にシーリングが可能です。<br>●乾燥硬化しないので、目減りの心配がありません。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒古藤工業/フルトー　シーリングＳＴダクト黄１．０ｍｍ&times;４０ｍｍ&times;５ｍ【ST-1.0405-YE】(3251594) 受注単位1：クローバー資材館,『カード対応OK！』■〒古藤工業/フルトー　シーリングＳＴダクト黄１．０ｍｍ&times;４０ｍｍ&times;５ｍ【ST-1.0405-YE】(3251594) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒古藤工業/フルトー　シーリングＳＴダクト黄１．０ｍｍ&times;４０ｍｍ&times;５ｍ【ST-1.0405-YE】(3251594) 受注単位1[rn]
7-8292,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002992090.jpg?fitin=700:700,1255.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ５０ｍｍ【980000-20-50X90】(3519279) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"351-9279<br><br><br><br><br><br><br>●色:シルバー<br>●(mm):50<br>●長さ(m):90<br>●厚み(mm):0.11<br>●切断にはカッターが要<br>●粘着力:6.2N/10mm（対ステンレス）<br>●引張強度:39N/10mm<br>●使用温度範囲:-10〜80℃<br>●はく離紙付<br>●基材:アルミ箔に上質紙を貼り合わせ<br>●粘着剤:ゴム系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●粘着力大で、重ね貼りができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ５０ｍｍ【980000-20-50X90】(3519279) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ５０ｍｍ【980000-20-50X90】(3519279) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ５０ｍｍ【980000-20-50X90】(3519279) 受注単位1[rn]
7-8293,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005345462.jpg?fitin=700:700,385.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　アルミ箔粘着テープ　ＮＯ．８３７１　５０ｍｍＸ１０Ｍ【8371 50X10】(4196457) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"419-6457<br><br><br><br><br><br><br>●色:シルバー<br>●(mm):50<br>●長さ(m):10<br>●厚み(mm):0.1<br>●手で切断可能<br>●粘着力:22.06N/25mm<br>●引張強度:78.5/25mm<br>●芯径:3インチ(76mm）<br>●基材:アルミ箔<br>●粘着剤:アクリル系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●表面ツヤ有りタイプです。<br>●アルミ箔基材に耐候性・耐熱性・耐寒性に優れた強粘着力アクリル系粘着剤を塗布したテープです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　アルミ箔粘着テープ　ＮＯ．８３７１　５０ｍｍＸ１０Ｍ【8371 50X10】(4196457) 受注単位1：クローバー資材館,『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　アルミ箔粘着テープ　ＮＯ．８３７１　５０ｍｍＸ１０Ｍ【8371 50X10】(4196457) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒寺岡製作所/ＴＥＲＡＯＫＡ　アルミ箔粘着テープ　ＮＯ．８３７１　５０ｍｍＸ１０Ｍ【8371 50X10】(4196457) 受注単位1[rn]
7-8294,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002992090.jpg?fitin=700:700,1879.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ７５ｍｍ【980000-20-75X90】(3519295) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"351-9295<br><br><br><br><br><br><br>●色:シルバー<br>●(mm):75<br>●長さ(m):90<br>●厚み(mm):0.11<br>●切断にはカッターが要<br>●粘着力:6.2N/10mm（対ステンレス）<br>●引張強度:39N/10mm<br>●使用温度範囲:-10〜80℃<br>●はく離紙付<br>●基材:アルミ箔に上質紙を貼り合わせ<br>●粘着剤:ゴム系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●粘着力大で、重ね貼りができます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ７５ｍｍ【980000-20-75X90】(3519295) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ７５ｍｍ【980000-20-75X90】(3519295) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒日立マクセル　スリオンテック/スリオン　アルミクラフト粘着テープ７５ｍｍ【980000-20-75X90】(3519295) 受注単位1[rn]
7-8295,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002885885.jpg?fitin=700:700,760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オカモト粘着製品部/オカモト　ハウス救急番【417】(3562298) 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"356-2298<br><br><br><br><br><br><br>●色:透明（乳白色）<br>●(mm):80<br>●長さ(m):20<br>●厚み(mm):0.17<br>●手で切断可能<br>●粘着力:3.3N/10mm<br>●引張強度:68N/10mm<br>●使用温度範囲:5〜40℃<br>●基材:ポリエチレン織布<br>●粘着剤:アクリル系<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●優れた耐候性です。<br>●強い粘着力です。<br>●優れた耐水性です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オカモト粘着製品部/オカモト　ハウス救急番【417】(3562298) 受注単位1：クローバー資材館,『カード対応OK！』■〒オカモト粘着製品部/オカモト　ハウス救急番【417】(3562298) 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒オカモト粘着製品部/オカモト　ハウス救急番【417】(3562298) 受注単位1[rn]
7-8296,,1065.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒テサテープ【4665-48-25】(4945476) 補修テープ 受注単位1,環境安全用品\テープ用品\配管・補修テープ,"4665-48-25<br><p><p align=""center""><font size=""4""><b>↓↓↓↓↓↓商品はこちら↓↓↓↓↓↓</font></b><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●耐候性に優れ屋外でも使用可能です。<br>●透明性が必要な箇所への貼り付けに最適です。<br>●手切れ性が良く複雑な形状にも良くなじみます。<br><br>●ビニールハウスの補修。<br>●ビニールフィルム・POフィルムの補修。<br>●気密シートや透湿シートの固定。<br>●ホースの修理。<br>●屋外品の包装。<br><br>●色：透明<br>●幅(mm)：48<br>●長さ(m)：25<br>●厚み(mm)：0.21<br>●使用温度範囲(℃)：95(30分)<br><br>●粘着力：9N/10mm<br>●引張強度：43N/10mm<br>●使用温度範囲：0～95℃(30分)<br>●総厚(mm)：0.21<br><br>●基材：PE布<br>●粘着剤：合成ゴム系<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒テサテープ【4665-48-25】(4945476) 補修テープ 受注単位1：クローバー資材館,『カード対応OK！』■〒テサテープ【4665-48-25】(4945476) 補修テープ 受注単位1,環境安全用品\テープ用品\配管・補修テープ。『カード対応OK！』■〒テサテープ【4665-48-25】(4945476) 補修テープ 受注単位1[rn]
